,title_x,day_x,date,place_cd,place_x,race_no,race_type_x,distance_x,toban_1_x,toban_2_x,toban_3_x,toban_4_x,toban_5_x,toban_6_x,name_1_x,name_2_x,name_3_x,name_4_x,name_5_x,name_6_x,moter_no_1_x,moter_no_2_x,moter_no_3_x,moter_no_4_x,moter_no_5_x,moter_no_6_x,boat_no_1_x,boat_no_2_x,boat_no_3_x,boat_no_4_x,boat_no_5_x,boat_no_6_x,ET_1_x,ET_2_x,ET_3_x,ET_4_x,ET_5_x,ET_6_x,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari,title_y,day_y,date_x,place_y,race_type_y,distance_y,deadline,toban_1_y,toban_2_y,toban_3_y,toban_4_y,toban_5_y,toban_6_y,name_1_y,name_2_y,name_3_y,name_4_y,name_5_y,name_6_y,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1_y,moter_no_2_y,moter_no_3_y,moter_no_4_y,moter_no_5_y,moter_no_6_y,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1_y,boat_no_2_y,boat_no_3_y,boat_no_4_y,boat_no_5_y,boat_no_6_y,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,date_y,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,デイリースポーツカップ,1,2021-01-14,24,大村,1,予選,1800,3843,4632,4948,4969,5105,3372,上之晃弘,長尾京志郎,木場悠介,町田洸希,富田恕生,加藤雅之,28,41,60,64,24,45,28,58,43,75,18,45,6.92,6.99,6.92,6.94,6.94,6.89,1,2,3,4,6,5,0.12,0.15,0.21,0.68,0.29,0.28,109.5,110.4,111.3,,,112.5,1,2,3,5,6,4,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.3,1.0,1.3,2.5,2.9,1.5,2.0,2.8,5.3,2.7,1,2,2,3,4,1,1,逃げ,0,デイリースポーツカップ,1,2021-01-14,大村,予選,1800,15:17,3843,4632,4948,4969,5105,3372,上之晃弘,長尾京志,木場悠介,町田洸希,富田恕生,加藤雅之,長崎,福岡,長崎,長崎,福岡,広島,B1,B1,B1,B1,B2,B1,44,31,28,29,22,54,52,51,52,54,53,52,5.52,4.84,4.6,4.29,2.1,3.52,39.81,26.83,23.15,18.52,2.82,10.96,5.93,3.95,4.56,3.35,0.0,0.0,43.79,13.64,22.63,16.22,0.0,0.0,28,41,60,64,24,45,24.07,20.69,33.85,28.15,28.1,34.56,28,58,43,75,18,45,33.88,30.0,40.8,42.54,30.08,38.28,2021-1-14,6.92,6.99,6.92,6.94,6.94,6.89,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,0.05,0.07,0.24,0.16,0.22,0.12,1,2,3,4,6,5,晴,11.0,3,1.0,7.0,1.0
1,デイリースポーツカップ,1,2021-01-14,24,大村,2,予選,1800,4603,4553,5048,4574,4567,5158,谷川将太,坪口竜也,眞鳥康太,東潤樹,上村慎太郎,宮脇遼太,16,31,70,57,19,47,30,66,21,63,70,24,6.91,6.95,6.87,6.98,6.89,6.95,1,2,3,4,5,6,0.18,0.21,0.2,0.24,0.25,0.17,112.6,109.8,110.9,110.8,,,4,1,3,2,5,6,2,2,4,2-4,2-4,2-4,2-3,3-4,2-4-3,2-3-4,3.2,1.2,7.5,19.9,12.0,1.3,2.5,3.5,61.7,13.1,5,5,2,5,7,17,6,差し,1,デイリースポーツカップ,1,2021-01-14,大村,予選,1800,15:41,4603,4553,5048,4574,4567,5158,谷川将太,坪口竜也,眞鳥康太,東潤樹,上村慎太,宮脇遼太,長崎,長崎,長崎,広島,山口,福岡,B1,A2,B1,B1,B1,B2,33,31,26,32,33,22,53,55,54,53,50,52,4.66,6.04,3.87,4.92,4.35,1.06,26.09,41.96,13.73,26.92,18.56,0.0,5.09,6.14,3.41,5.35,3.33,0.0,27.48,41.06,10.13,30.61,13.33,0.0,16,31,70,57,19,47,20.91,27.59,37.8,34.59,27.12,26.19,30,66,21,63,70,24,23.58,39.02,34.92,32.8,38.02,26.05,2021-1-14,6.91,6.95,6.87,6.98,6.89,6.95,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,-0.01,-0.02,0.09,0.06,0.07,0.15,1,2,3,4,5,6,晴,15.0,3,1.0,7.0,1.0
2,デイリースポーツカップ,1,2021-01-14,24,大村,3,予選,1800,3212,3682,3284,3627,4143,3574,亀本勇樹,切田潤二,渡邊伸太郎,井上恵一,浦田晃嗣,大神康司,53,35,56,13,75,66,20,72,29,34,36,27,7.0,6.88,6.91,6.93,6.93,6.98,1,2,3,4,6,5,0.13,0.15,0.17,0.18,0.13,0.25,,113.1,112.1,110.8,109.6,,5,4,3,2,1,6,5,5,4,5-4,4-5,4-5,3-5,3-4,5-4-3,3-4-5,9.3,5.5,1.7,174.3,49.8,17.3,3.7,2.5,566.3,24.2,29,12,15,6,2,96,9,まくり,0,デイリースポーツカップ,1,2021-01-14,大村,予選,1800,16:05,3212,3682,3284,3627,4143,3574,亀本勇樹,切田潤二,渡邊伸太,井上恵一,浦田晃嗣,大神康司,広島,山口,佐賀,福岡,佐賀,福岡,B2,B1,A1,B1,B1,A2,58,47,53,51,39,48,59,50,53,52,56,53,4.53,3.96,5.87,5.25,4.31,5.35,21.82,13.75,38.4,35.85,17.14,37.38,4.16,3.69,6.5,4.79,3.98,5.72,26.32,12.5,36.67,32.56,15.25,43.86,53,35,56,13,75,66,36.43,36.07,25.66,45.38,49.11,26.89,20,72,29,34,36,27,35.66,30.16,40.17,25.81,37.9,37.98,2021-1-14,7.0,6.88,6.91,6.93,6.93,6.98,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.07,-0.06,0.02,0.27,0.15,0.21,1,2,3,4,6,5,晴,16.0,1,1.0,7.0,1.0
3,デイリースポーツカップ,1,2021-01-14,24,大村,4,予選,1800,3444,4761,4257,4561,4487,4236,香月大介,山田晃大,古川健,藤山翔大,三原司,松村敏,46,29,51,55,76,39,57,68,22,15,76,74,6.9,6.91,6.96,6.94,6.92,6.9,1,2,3,4,5,6,0.16,0.14,0.15,0.19,0.15,0.09,,110.6,,113.1,109.1,111.6,5,2,6,4,1,3,5,5,2,5-2,2-5,2-5,5-6,2-6,5-2-6,2-5-6,18.2,9.1,2.3,176.7,59.4,20.8,5.8,2.8,681.7,35.1,29,14,15,10,4,114,14,まくり,1,デイリースポーツカップ,1,2021-01-14,大村,予選,1800,16:34,3444,4761,4257,4561,4487,4236,香月大介,山田晃大,古川健,藤山翔大,三原司,松村敏,福岡,滋賀,広島,大阪,福岡,福岡,B1,B1,B1,A2,B1,B1,51,31,37,29,34,37,53,53,52,54,52,53,4.12,5.08,5.56,5.61,4.02,7.09,20.19,27.0,39.78,40.34,20.31,53.25,3.71,4.11,5.23,4.73,3.77,7.67,28.57,11.11,35.48,27.27,13.64,73.33,46,29,51,55,76,39,26.4,35.77,22.76,29.46,28.37,33.33,57,68,22,15,76,74,28.57,38.71,22.94,38.89,32.03,29.37,2021-1-14,6.9,6.91,6.96,6.94,6.92,6.9,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.01,0.2,0.08,0.12,0.01,0.06,1,2,3,4,5,6,晴,16.0,3,1.0,7.0,1.0
4,デイリースポーツカップ,1,2021-01-14,24,大村,5,予選,1800,3873,4119,4820,4213,4632,4089,別府昌樹,泥谷一毅,上野励,重富伸也,長尾京志郎,妹尾忠幸,34,74,62,65,41,23,55,14,32,44,58,23,6.99,7.04,6.93,6.96,6.97,6.91,1,2,3,4,5,6,0.15,0.24,0.14,0.08,0.05,0.02,108.8,,,110.6,113.2,111.5,1,5,6,2,4,3,1,1,4,1-4,1-4,1-4,1-6,4-6,1-4-6,1-4-6,1.1,1.0,2.9,6.3,5.8,2.2,1.5,3.4,13.3,6.4,3,3,3,1,7,4,3,逃げ,1,デイリースポーツカップ,1,2021-01-14,大村,予選,1800,16:58,3873,4119,4820,4213,4632,4089,別府昌樹,泥谷一毅,上野励,重富伸也,長尾京志,妹尾忠幸,広島,大阪,福岡,長崎,福岡,岡山,A2,B1,B2,B1,B1,A1,44,39,29,36,31,40,52,58,56,53,51,54,6.04,5.63,3.17,4.1,4.84,6.13,44.62,33.87,14.08,15.0,26.83,42.42,5.31,5.16,3.0,4.75,3.95,6.83,36.11,31.58,12.0,26.92,13.64,47.83,34,74,62,65,41,23,23.08,26.23,37.61,28.32,20.69,43.75,55,14,32,44,58,23,25.21,22.95,30.08,23.33,30.0,25.81,2021-1-14,6.99,7.04,6.93,6.96,6.97,6.91,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.06,0.02,0.12,0.03,0.13,0.12,1,2,3,4,5,6,晴,15.0,3,1.0,7.0,1.0
5,デイリースポーツカップ,1,2021-01-14,24,大村,6,予選,1800,4051,4574,3843,4659,5092,4015,清水敦揮,東潤樹,上之晃弘,木下翔太,篠原晟弥,前野竜一,49,57,28,21,48,54,64,63,28,37,11,48,6.96,6.94,6.93,6.98,6.88,6.91,1,2,3,4,5,6,0.07,0.15,0.13,0.17,0.14,0.24,108.0,110.9,,110.1,,112.2,1,3,5,2,6,4,1,1,4,1-4,1-4,1-4,1-2,2-4,1-4-2,1-2-4,1.3,1.0,1.5,2.5,2.7,1.2,1.8,1.3,8.3,3.7,1,1,1,3,2,2,2,逃げ,1,デイリースポーツカップ,1,2021-01-14,大村,予選,1800,17:33,4051,4574,3843,4659,5092,4015,清水敦揮,東潤樹,上之晃弘,木下翔太,篠原晟弥,前野竜一,岡山,広島,長崎,大阪,福岡,山口,A2,B1,B1,A1,B1,A2,39,32,44,29,20,41,55,53,52,54,51,60,6.03,4.92,5.52,7.18,3.28,6.53,43.84,26.92,39.81,55.86,12.5,50.0,5.45,5.35,5.93,6.94,1.78,4.18,45.45,30.61,43.79,50.0,0.0,17.65,49,57,28,21,48,54,35.16,34.59,24.07,25.6,36.09,26.27,64,63,28,37,11,48,28.93,32.8,33.88,28.33,27.64,45.53,2021-1-14,6.96,6.94,6.93,6.98,6.88,6.91,-0.5,-0.5,-0.5,0.0,0.0,-0.5,0.17,0.01,0.08,0.23,0.21,0.32,1,2,3,4,5,6,晴,14.0,3,1.0,7.0,1.0
6,デイリースポーツカップ,1,2021-01-14,24,大村,7,予選,1800,4173,4143,4504,4603,3882,5105,岡谷健吾,浦田晃嗣,前田将太,谷川将太,新田智彰,富田恕生,68,75,33,16,40,24,31,36,19,30,69,18,6.9,6.9,6.94,6.89,6.89,6.87,1,2,3,4,5,6,0.08,0.11,0.11,0.16,0.21,0.25,108.8,,109.6,111.6,113.7,,1,5,2,3,4,6,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.4,1.2,1.7,2.1,1.7,1.2,2.8,3.4,8.1,4.4,1,1,1,5,7,3,3,逃げ,1,デイリースポーツカップ,1,2021-01-14,大村,予選,1800,18:01,4173,4143,4504,4603,3882,5105,岡谷健吾,浦田晃嗣,前田将太,谷川将太,新田智彰,富田恕生,広島,佐賀,福岡,長崎,大阪,福岡,A2,B1,A1,B1,A2,B2,38,39,32,33,47,22,58,56,55,53,56,53,5.45,4.31,7.29,4.66,6.12,2.1,39.37,17.14,53.62,26.09,48.39,2.82,5.68,3.98,7.3,5.09,5.71,0.0,35.59,15.25,60.0,27.48,28.57,0.0,68,75,33,16,40,24,30.15,49.11,26.27,20.91,23.02,28.1,31,36,19,30,69,18,23.21,37.9,38.18,23.58,21.24,30.08,2021-1-14,6.9,6.9,6.94,6.89,6.89,6.87,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.1,-0.01,0.01,-0.03,0.17,0.07,1,2,3,4,5,6,晴,14.0,15,1.0,7.0,1.0
7,デイリースポーツカップ,1,2021-01-14,24,大村,8,予選,1800,4561,5048,3212,4866,4826,4500,藤山翔大,眞鳥康太,亀本勇樹,橋本英一,井上一輝,山田康二,55,70,53,22,72,36,15,21,20,50,54,46,6.87,6.87,6.97,6.91,6.9,6.88,1,2,3,4,5,6,0.17,0.11,0.15,0.21,0.13,0.08,109.0,112.3,,,110.1,111.7,1,4,5,6,2,3,1,1,5,1-5,1-5,1-5,1-6,5-6,1-5-6,1-5-6,1.2,1.0,3.1,5.6,4.6,1.4,1.3,2.5,11.6,3.5,3,3,2,1,4,4,2,逃げ,1,デイリースポーツカップ,1,2021-01-14,大村,予選,1800,18:30,4561,5048,3212,4866,4826,4500,藤山翔大,眞鳥康太,亀本勇樹,橋本英一,井上一輝,山田康二,大阪,長崎,広島,福岡,大阪,佐賀,A2,B1,B2,B1,A2,A1,29,26,58,30,26,33,54,54,59,54,50,54,5.61,3.87,4.53,4.86,6.06,7.3,40.34,13.73,21.82,28.81,41.05,59.48,4.73,3.41,4.16,4.73,5.88,7.36,27.27,10.13,26.32,27.27,50.0,55.56,55,70,53,22,72,36,29.46,37.8,36.43,37.6,39.84,42.22,15,21,20,50,54,46,38.89,34.92,35.66,24.62,31.93,33.07,2021-1-14,6.87,6.87,6.97,6.91,6.9,6.88,-0.5,-0.5,0.0,-0.5,-0.5,0.0,0.09,0.11,0.24,0.31,0.21,0.09,1,2,3,4,5,6,晴,13.0,3,1.0,7.0,1.0
8,デイリースポーツカップ,1,2021-01-14,24,大村,9,予選特賞,1800,4624,3574,4861,3444,3873,4948,高田明,大神康司,田中宏樹,香月大介,別府昌樹,木場悠介,63,66,12,46,34,60,17,27,65,57,55,43,6.9,7.01,6.89,6.93,6.98,6.85,1,2,3,4,5,6,0.13,0.17,0.16,0.15,0.14,0.14,113.7,117.6,,,120.1,115.0,1,3,6,5,4,2,1,1,6,1-6,1-6,1-6,1-2,2-6,1-6-2,1-2-6,1.0,1.0,7.4,28.2,22.7,4.3,1.9,16.9,76.0,17.2,8,5,7,2,14,21,6,逃げ,1,デイリースポーツカップ,1,2021-01-14,大村,予選特賞,1800,19:00,4624,3574,4861,3444,3873,4948,高田明,大神康司,田中宏樹,香月大介,別府昌樹,木場悠介,佐賀,福岡,福岡,福岡,広島,長崎,A1,A2,B1,B1,A2,B1,35,48,32,51,44,28,49,53,53,53,52,52,5.99,5.35,4.82,4.12,6.04,4.6,40.32,37.38,30.88,20.19,44.62,23.15,4.84,5.72,4.19,3.71,5.31,4.56,24.44,43.86,19.23,28.57,36.11,22.63,63,66,12,46,34,60,29.13,26.89,51.2,26.4,23.08,33.85,17,27,65,57,55,43,40.98,37.98,31.62,28.57,25.21,40.8,2021-1-14,6.9,7.01,6.89,6.93,6.98,6.85,-0.5,-0.5,0.0,0.0,-0.5,0.0,-0.03,0.02,0.06,0.02,0.02,-0.07,1,2,3,4,5,6,晴,12.0,3,1.0,7.0,1.0
9,デイリースポーツカップ,1,2021-01-14,24,大村,10,予選特賞,1800,3882,3627,4015,4761,4119,4553,新田智彰,井上恵一,前野竜一,山田晃大,泥谷一毅,坪口竜也,40,13,54,29,74,31,69,34,48,68,14,66,6.9,6.93,6.9,6.9,6.95,6.91,1,2,3,4,5,6,0.16,0.27,0.28,0.16,0.24,0.24,108.3,112.2,110.2,109.4,,,1,4,3,2,6,5,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.0,1.0,3.9,6.9,6.2,1.8,1.3,3.4,19.6,4.9,3,3,2,1,7,7,2,逃げ,1,デイリースポーツカップ,1,2021-01-14,大村,予選特賞,1800,19:32,3882,3627,4015,4761,4119,4553,新田智彰,井上恵一,前野竜一,山田晃大,泥谷一毅,坪口竜也,大阪,福岡,山口,滋賀,大阪,長崎,A2,B1,A2,B1,B1,A2,47,51,41,31,39,31,56,52,60,53,58,55,6.12,5.25,6.53,5.08,5.63,6.04,48.39,35.85,50.0,27.0,33.87,41.96,5.71,4.79,4.18,4.11,5.16,6.14,28.57,32.56,17.65,11.11,31.58,41.06,40,13,54,29,74,31,23.02,45.38,26.27,35.77,26.23,27.59,69,34,48,68,14,66,21.24,25.81,45.53,38.71,22.95,39.02,2021-1-14,6.9,6.93,6.9,6.9,6.95,6.91,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.13,0.07,-0.01,0.01,-0.09,-0.04,1,2,3,4,5,6,晴,12.0,3,1.0,7.0,1.0
