,date,place_cd,race_no,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari,title_y,day_y,place_y,race_type_y,distance_y,deadline,toban_1_y,toban_2_y,toban_3_y,toban_4_y,toban_5_y,toban_6_y,name_1_y,name_2_y,name_3_y,name_4_y,name_5_y,name_6_y,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1_y,moter_no_2_y,moter_no_3_y,moter_no_4_y,moter_no_5_y,moter_no_6_y,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1_y,boat_no_2_y,boat_no_3_y,boat_no_4_y,boat_no_5_y,boat_no_6_y,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,date_y,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,2021-05-04,10,1,1,2,3,4,5,6,0.12,0.15,0.14,0.14,0.18,0.15,110.4,113.4,112.6,,111.5,,1,4,3,5,2,6,1,1,5,1-5,1-5,1-5,1-3,3-5,1-5-3,1-3-5,1.2,1.0,1.9,7.5,4.0,1.0,1.0,1.5,9.9,2.4,4,2,1,2,3,2,1,逃げ,1,GW三国ボートフェスタ,5,三国,みくにあさイ,1800,08:50,4210,3697,4449,5074,4520,5091,松村康太,勝野竜司,中嶋達也,大澤誠也,高倉孝太,為本智也,福井,兵庫,兵庫,愛知,福井,福井,A1,B2,B1,B1,B1,B1,38,48,33,25,34,20,53,52,52,55,51,55,5.85,2.89,4.22,3.18,5.09,3.79,32.64,12.77,19.54,10.0,33.91,19.05,6.01,1.67,4.67,1.71,5.26,3.41,35.0,0.0,22.22,0.0,31.31,14.71,13,36,61,55,42,23,64.71,47.37,56.25,44.44,23.53,28.57,18,61,38,57,71,39,40.0,58.33,43.75,23.53,53.33,35.0,2021-5-4,6.79,6.76,6.66,6.81,6.73,6.77,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,0.19,0.27,0.06,0.22,0.07,-0.02,1,2,3,4,5,6,晴,22.0,2,2.0,16.0,1.0
1,2021-05-04,10,2,1,2,3,4,5,6,0.09,0.17,0.15,0.15,0.19,0.16,109.5,108.5,111.1,112.0,,,2,1,3,4,5,6,2,2,1,2-1,1-2,1-2,2-3,1-3,2-1-3,1-2-3,1.8,1.0,1.0,5.6,1.5,1.0,1.4,1.6,10.8,1.8,3,1,1,2,3,5,1,差し,1,GW三国ボートフェスタ,5,三国,みくにあさガ,1800,09:19,3912,4067,3409,3507,4711,5024,川原正明,永井源,三好一,藤井徹,前出達吉,古場健也,福井,愛知,福井,大阪,福井,福井,A2,A1,B1,B1,B1,B2,47,41,51,49,31,26,50,53,55,53,51,53,5.71,6.36,4.38,4.76,4.85,2.9,37.84,45.29,26.45,26.8,26.36,10.45,6.43,0.0,5.05,5.26,4.96,1.76,50.0,0.0,33.14,30.43,28.48,4.6,29,21,69,60,18,17,7.69,40.0,33.33,25.0,12.5,31.58,54,45,47,14,46,32,33.33,17.65,31.25,17.65,33.33,29.41,2021-5-4,6.71,6.72,6.75,6.77,6.81,6.78,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.13,0.06,0.09,0.08,0.18,0.27,1,2,3,4,5,6,晴,15.0,14,5.0,15.0,4.0
2,2021-05-04,10,3,1,2,3,4,5,6,0.23,0.21,0.25,0.35,0.16,0.23,113.8,118.7,,,122.2,123.9,1,2,6,5,3,4,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,1.0,1.0,1.5,3.3,2.8,1.7,3.3,6.9,21.3,12.3,2,2,2,5,8,8,4,逃げ,1,GW三国ボートフェスタ,5,三国,みくにあさズ,1800,09:48,4409,4381,3654,3170,3620,3922,坂元浩仁,田路朋史,武田光史,谷口勝,信濃由行,菅沼佳昭,愛知,兵庫,福井,大阪,福井,愛知,A1,B1,A1,B2,B1,B1,35,36,47,58,47,45,56,52,54,52,56,50,6.64,5.87,6.34,2.92,4.67,4.52,50.0,42.86,45.05,7.81,27.62,23.48,6.63,5.04,7.06,2.29,4.11,4.41,50.0,30.43,53.46,0.0,19.3,27.03,43,67,70,49,26,45,29.41,40.0,78.57,16.67,28.57,11.76,19,11,24,23,68,49,33.33,23.53,50.0,16.67,56.25,36.84,2021-5-4,6.72,6.65,6.7,6.8,6.82,6.66,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.05,0.03,0.08,0.19,0.11,0.05,1,2,3,4,5,6,晴,17.0,14,4.0,15.0,3.0
3,2021-05-04,10,4,1,3,2,4,5,6,0.16,0.15,0.15,0.13,0.17,0.21,108.9,112.4,109.8,110.4,,,1,4,2,3,5,6,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.5,1.1,2.1,3.8,2.9,1.2,1.0,1.2,6.4,1.6,1,2,2,1,3,1,1,逃げ,0,GW三国ボートフェスタ,5,三国,みくにあさ推,1800,10:19,3814,4285,3946,4013,4725,5038,金子貴志,伴将典,赤岩善生,中島孝平,佐竹太一,金田智博,福井,愛知,愛知,福井,兵庫,福井,A2,B1,A1,A1,B1,B1,45,36,45,41,34,23,48,60,54,51,52,51,5.45,4.27,7.31,7.56,4.26,4.41,35.62,20.83,54.82,54.93,24.42,24.22,5.88,5.0,8.49,7.73,3.13,3.49,38.5,30.61,67.92,62.76,12.5,16.78,22,25,37,50,66,68,42.86,14.29,25.0,23.08,42.86,13.33,66,36,26,16,64,34,47.37,47.37,20.0,46.67,14.29,20.0,2021-5-4,6.78,6.8,6.72,6.76,6.74,6.65,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,0.06,0.15,0.08,-0.01,-0.06,-0.12,1,3,2,4,5,6,晴,18.0,14,5.0,15.0,4.0
4,2021-05-04,10,7,1,2,3,4,5,6,0.19,0.24,0.23,0.28,0.23,0.52,108.8,111.0,112.3,,112.6,,1,2,3,5,4,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.3,1.0,2.0,4.2,4.0,1.4,1.4,1.3,7.0,2.6,2,2,2,2,1,2,1,逃げ,1,GW三国ボートフェスタ,5,三国,一般,1800,11:52,4664,3620,4520,5024,4876,5114,東口晃,信濃由行,高倉孝太,古場健也,梅木敬太,小林孝彰,福井,福井,福井,福井,福井,福井,B1,B1,B1,B2,B1,B1,37,47,34,26,26,21,54,56,51,53,53,53,3.69,4.67,5.09,2.9,4.94,2.52,15.0,27.62,33.91,10.45,32.99,8.0,4.42,4.11,5.26,1.76,4.97,1.93,24.42,19.3,31.31,4.6,28.65,2.41,15,26,42,17,62,48,52.0,28.57,23.53,31.58,31.82,30.77,70,68,71,32,31,51,25.0,56.25,53.33,29.41,73.68,30.77,2021-5-4,6.72,6.77,6.72,6.76,6.75,6.78,-0.5,-0.5,0.5,-0.5,0.0,-0.5,0.09,0.01,-0.08,0.05,0.09,0.08,1,2,3,4,5,6,晴,20.0,14,4.0,15.0,3.0
5,2021-05-04,10,9,1,2,3,4,5,6,0.11,0.17,0.01,0.22,0.22,0.19,110.4,,108.4,111.5,,112.7,2,5,1,3,6,4,3,3,1,3-1,1-3,1-3,3-4,1-4,3-1-4,1-3-4,8.2,1.7,1.0,18.4,2.7,1.6,6.1,1.6,41.9,3.2,5,2,3,7,4,12,1,まくり,1,GW三国ボートフェスタ,5,三国,一般,1800,12:56,4369,3170,4725,4587,4021,3635,丹下将,谷口勝,佐竹太一,木田峰由,吉田健太,石田政吾,愛知,大阪,兵庫,福井,愛知,福井,A2,B2,B1,A2,B1,A1,35,58,34,30,41,50,58,52,52,54,52,54,6.31,2.92,4.26,5.13,4.78,5.86,46.46,7.81,24.42,34.92,33.04,44.35,5.76,2.29,3.13,5.44,4.24,6.31,43.9,0.0,12.5,34.25,24.44,50.98,27,49,66,57,31,32,30.77,16.67,42.86,39.13,25.0,47.37,33,23,64,35,13,21,60.0,16.67,14.29,45.0,55.56,50.0,2021-5-4,6.86,6.87,6.82,6.8,6.83,6.83,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.04,0.08,0.08,0.01,-0.01,0.09,1,2,3,4,5,6,晴,21.0,2,2.0,16.0,1.0
6,2021-05-04,10,10,1,2,3,4,5,6,0.04,0.08,0.11,0.15,0.14,0.16,107.9,109.6,,111.2,112.9,,1,2,5,3,4,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.0,1.0,1.0,2.0,1.3,1.4,1.8,2.3,4.6,3.1,1,1,2,3,4,1,2,逃げ,1,GW三国ボートフェスタ,5,三国,準優勝戦,1800,13:33,3833,3654,4210,4067,3814,3967,中辻博訓,武田光史,松村康太,永井源,金子貴志,鈴木茂高,福井,福井,福井,愛知,福井,愛知,A1,A1,A1,A1,A2,B1,46,47,38,41,45,41,53,54,53,53,48,57,6.25,6.34,5.85,6.36,5.45,4.66,45.28,45.05,32.64,45.29,35.62,27.41,7.13,7.06,6.01,0.0,5.88,5.24,58.19,53.46,35.0,0.0,38.5,41.38,44,70,13,21,22,47,66.67,78.57,64.71,40.0,42.86,40.0,58,56,18,45,66,44,30.77,66.67,40.0,17.65,47.37,30.77,2021-5-4,6.84,6.77,6.91,6.81,6.81,6.92,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.03,0.02,0.07,0.05,0.09,0.12,1,2,3,4,5,6,晴,22.0,2,1.0,16.0,1.0
7,2021-05-04,10,12,1,2,3,4,5,6,0.19,0.15,0.15,0.17,0.12,0.14,107.4,109.1,110.2,,111.6,,1,2,3,5,4,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.1,1.0,1.0,1.8,1.3,1.1,1.1,2.1,2.9,1.8,1,1,2,1,4,1,1,逃げ,1,GW三国ボートフェスタ,5,三国,準優勝戦,1800,14:50,4061,3946,4269,4381,3409,4664,萩原秀人,赤岩善生,杉山裕也,田路朋史,三好一,東口晃,福井,愛知,愛知,兵庫,福井,福井,A1,A1,A1,B1,B1,B1,41,45,35,36,51,37,55,54,54,52,55,54,7.22,7.31,6.59,5.87,4.38,3.69,57.72,54.82,47.22,42.86,26.45,15.0,7.53,8.49,6.5,5.04,5.05,4.42,57.8,67.92,60.0,30.43,33.14,24.42,16,37,28,67,69,15,44.44,25.0,15.38,40.0,33.33,52.0,40,26,67,11,47,70,71.43,20.0,42.86,23.53,31.25,25.0,2021-5-4,6.81,6.86,6.77,6.76,6.81,6.86,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.03,-0.01,-0.03,-0.01,0.19,0.12,1,2,3,4,5,6,晴,23.0,2,2.0,16.0,1.0
8,2021-09-14,10,1,1,2,3,4,5,6,0.16,0.19,0.22,0.32,0.27,0.21,108.8,,110.5,112.4,,113.4,1,6,2,3,5,4,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.1,1.0,1.9,2.9,2.7,1.5,8.0,11.7,33.8,21.0,1,1,2,9,12,12,7,逃げ,1,道の駅みくに・ふれあいパーク三里浜杯,6,三国,みくにあさイ,1800,08:59,4131,4232,4228,5054,4587,4697,原豊土,笠雅雄,吉田慎二,佐々木大,木田峰由,國弘翔平,静岡,福岡,愛知,大阪,福井,福岡,A2,B1,B1,B2,B1,B1,41,38,38,25,30,35,55,60,59,52,54,49,6.15,2.84,4.94,2.96,5.92,4.48,40.21,6.67,34.23,10.53,42.37,25.56,5.92,3.38,4.26,2.6,5.74,3.94,39.47,6.25,26.09,5.26,37.18,11.76,39,29,26,18,58,67,22.73,33.01,21.74,27.96,32.71,51.04,63,29,21,47,64,43,38.3,28.26,42.42,30.85,20.24,35.92,2021-9-14,6.62,6.65,6.63,6.67,6.67,6.64,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.15,0.18,0.17,0.24,0.29,-0.01,1,2,3,4,5,6,曇り,24.0,2,1.0,24.0,1.0
9,2021-09-14,10,2,1,2,3,4,5,6,0.17,0.15,0.14,0.16,0.13,0.19,108.8,109.9,,111.0,111.5,,1,2,6,3,4,5,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.5,1.0,1.2,2.0,1.3,1.0,1.5,1.7,4.4,1.8,1,1,1,2,4,1,1,逃げ,1,道の駅みくに・ふれあいパーク三里浜杯,6,三国,みくにあさガ,1800,09:28,4769,4049,5046,4389,4623,5035,馬場剛,荒川健太,松山裕基,伊藤喜智,中北将史,櫻井優,東京,三重,大阪,大阪,三重,埼玉,A2,A2,B1,B1,B1,B1,29,40,27,35,36,23,51,56,53,52,53,55,5.84,5.71,4.0,5.25,4.64,3.31,42.15,40.38,17.57,31.25,25.0,16.33,6.04,6.59,2.83,5.2,3.55,0.0,37.04,57.14,8.33,28.89,4.55,0.0,49,13,66,45,15,21,37.0,55.0,36.54,23.33,38.38,30.93,34,35,39,59,72,66,23.6,29.59,37.11,26.97,32.18,43.43,2021-9-14,6.74,6.64,6.69,6.68,6.64,6.68,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.05,0.01,0.25,0.19,0.09,0.13,1,2,3,4,5,6,曇り,20.0,14,2.0,23.0,2.0
