,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,日本モーターボート選手会会長杯GW特選,4,2021-05-04,19,下関,1,シーモ戦,1800,3684,4871,3539,5027,5145,3819,清水攻二,菊池宏志,金子順一,重冨勇哉,島川海輝,大内裕樹,15,25,43,53,30,73,17,13,70,16,41,62,6.74,6.8,6.8,6.84,6.83,6.87,1,2,3,4,6,5,0.06,0.15,-0.02,-0.02,0.08,0.04,109.9,114.2,,,115.1,112.1,1,3,5,6,4,2,1,1,6,1-6,1-6,1-6,1-2,2-6,1-6-2,1-2-6,1.0,1.0,2.8,4.6,4.7,1.0,1.0,1.3,3.7,1.3,2,2,1,2,5,2,1,逃げ,0
1,日本モーターボート選手会会長杯GW特選,4,2021-05-04,19,下関,2,一般,1800,3925,4846,4041,5067,3989,4226,大田誠,佐藤駿介,小林基樹,山田真聖,熊本英一,村田浩司,47,40,31,68,70,63,19,66,24,64,48,43,6.81,6.79,6.75,6.79,6.83,6.85,1,2,3,4,5,6,0.13,0.16,0.14,0.12,0.18,0.16,119.9,,,122.2,124.6,129.6,1,5,6,2,3,4,1,1,4,1-4,1-4,1-4,1-5,4-5,1-4-5,1-4-5,1.4,1.2,1.8,12.3,6.5,3.1,12.8,7.0,77.3,17.9,4,3,5,14,11,28,9,逃げ,1
2,日本モーターボート選手会会長杯GW特選,4,2021-05-04,19,下関,3,一般,1800,3036,4009,3427,3708,3567,5106,吉本正昭,小林一樹,大賀広幸,岡部貴司,吉岡誠,山崎祥,23,24,57,46,66,62,68,11,71,31,15,61,6.78,6.78,6.79,6.78,6.86,6.83,1,2,3,4,5,6,0.13,0.09,0.12,0.31,0.16,0.14,110.8,113.3,112.6,111.9,,,1,4,3,2,5,6,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,3.0,1.6,1.7,10.5,9.0,2.1,2.6,2.5,24.8,4.6,6,5,2,6,5,10,3,逃げ,1
3,日本モーターボート選手会会長杯GW特選,4,2021-05-04,19,下関,4,一般,1800,4567,3961,3643,4970,4842,4594,上村慎太郎,谷村一哉,米田隆弘,井町泰,山下昂大,谷川祐一,29,65,51,27,16,20,46,30,34,49,56,54,6.76,6.8,6.81,6.86,6.84,6.81,1,4,5,3,6,2,0.09,0.24,0.24,0.12,0.23,0.1,110.4,111.5,113.3,,,112.5,1,2,4,5,6,3,1,1,2,1-2,1-2,1-2,1-6,2-6,1-2-6,1-2-6,2.1,1.4,1.2,6.1,3.6,1.7,2.7,1.9,13.7,4.1,2,1,2,5,3,3,2,逃げ,0
4,日本モーターボート選手会会長杯GW特選,4,2021-05-04,19,下関,5,一般,1800,4475,4718,3581,4179,4871,5145,末永祐輝,北川太一,加木郁,広次修,菊池宏志,島川海輝,21,64,41,54,25,30,12,33,72,51,13,41,6.72,6.78,6.78,6.7,6.77,6.8,1,2,3,4,5,6,0.24,0.25,0.21,0.16,0.21,0.26,112.2,109.9,113.1,111.2,,,3,1,4,2,5,6,2,2,4,2-4,2-4,2-4,1-2,1-4,2-4-1,1-2-4,6.0,2.9,1.7,55.0,18.3,1.3,1.0,1.1,87.9,1.9,10,4,3,1,2,20,1,差し,1
5,日本モーターボート選手会会長杯GW特選,4,2021-05-04,19,下関,6,一般,1800,3976,4106,3925,4846,4237,3539,内田圭,坂井康嗣,大田誠,佐藤駿介,大峯豊,金子順一,11,33,47,40,59,43,73,18,19,23,39,70,6.85,6.81,6.8,6.82,6.78,6.82,1,2,3,4,5,6,0.15,0.21,0.21,0.18,0.18,0.27,109.8,111.2,114.0,112.7,,,1,2,4,3,5,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.3,1.3,1.0,5.6,3.0,1.9,4.3,2.3,26.4,11.0,1,1,3,8,4,9,6,逃げ,1
6,日本モーターボート選手会会長杯GW特選,4,2021-05-04,19,下関,7,ふく〜る戦,1800,3903,3989,4817,4009,4295,4041,白石健,熊本英一,渡邉翼,小林一樹,小坂尚哉,小林基樹,13,70,42,24,49,31,65,48,37,11,60,42,6.78,6.86,6.77,6.8,6.75,6.82,1,2,3,4,5,6,0.09,0.19,0.12,0.09,0.14,0.16,108.7,,113.3,112.3,110.4,,1,5,4,3,2,6,1,1,5,1-5,1-5,1-5,1-4,4-5,1-5-4,1-4-5,1.2,1.0,1.0,4.0,5.3,2.0,2.1,6.7,17.3,8.3,2,2,2,3,8,7,3,逃げ,1
7,日本モーターボート選手会会長杯GW特選,4,2021-05-04,19,下関,8,一般,1800,4703,3036,4567,5106,5067,3858,森永隆,吉本正昭,上村慎太郎,山崎祥,山田真聖,織田猛,39,23,29,62,68,52,29,68,46,61,64,45,6.83,6.85,6.85,6.87,6.78,6.79,1,2,3,4,5,6,0.27,0.21,0.17,0.15,0.18,0.25,109.6,112.0,112.3,,,114.4,1,2,3,6,5,4,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.1,1.0,1.6,3.6,2.5,1.3,1.2,2.4,6.2,2.7,2,1,2,1,5,1,1,逃げ,1
8,日本モーターボート選手会会長杯GW特選,4,2021-05-04,19,下関,9,シーモ特選,1800,3427,4226,4594,4475,5027,4179,大賀広幸,村田浩司,谷川祐一,末永祐輝,重冨勇哉,広次修,57,63,20,21,53,54,71,43,54,12,16,51,6.85,6.84,6.84,6.78,6.86,6.76,1,2,3,4,5,6,0.17,0.19,0.12,0.23,0.18,0.22,110.4,111.4,112.9,113.8,,,1,2,3,4,5,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.9,1.0,4.6,8.2,6.8,2.8,1.4,2.4,18.0,4.0,4,3,5,1,4,7,2,逃げ,1
9,日本モーターボート選手会会長杯GW特選,4,2021-05-04,19,下関,10,特別選抜B戦,1800,3708,3581,4718,4842,3643,3684,岡部貴司,加木郁,北川太一,山下昂大,米田隆弘,清水攻二,46,41,64,16,51,15,31,72,33,56,34,17,6.75,6.75,6.78,6.78,6.79,6.82,1,2,3,4,5,6,0.15,0.12,0.23,0.19,0.26,0.31,109.9,111.0,113.2,112.9,,,1,2,4,3,5,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.8,1.4,3.3,4.0,3.9,1.9,3.0,7.0,17.0,8.3,2,2,2,4,11,6,4,逃げ,1
