,date,place_cd,race_no,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari,title_y,day_y,place_y,race_type_y,distance_y,deadline,toban_1_y,toban_2_y,toban_3_y,toban_4_y,toban_5_y,toban_6_y,name_1_y,name_2_y,name_3_y,name_4_y,name_5_y,name_6_y,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1_y,moter_no_2_y,moter_no_3_y,moter_no_4_y,moter_no_5_y,moter_no_6_y,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1_y,boat_no_2_y,boat_no_3_y,boat_no_4_y,boat_no_5_y,boat_no_6_y,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,date_y,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,2021-05-04,15,1,1,2,3,4,5,6,0.08,0.18,0.14,0.17,0.23,0.19,117.3,116.2,112.7,113.5,111.4,113.8,6,5,2,3,1,4,5,5,3,5-3,3-5,3-5,4-5,3-4,5-3-4,3-4-5,113.2,16.1,1.0,222.5,35.2,6.3,14.6,5.1,1112.6,65.9,29,11,9,13,7,111,19,抜き,1,安岐真人杯争奪瀬戸の大魔神大賞,4,丸亀,一般,1800,15:25,5037,3753,4821,3234,3855,4739,田頭虎親,河上哲也,妻鳥晋也,金森史吉,大熊辰弥,中村晃朋,香川,香川,香川,香川,香川,香川,B1,B1,A2,B1,B1,A2,23,49,29,54,48,29,54,54,57,56,52,52,4.84,4.11,6.05,3.58,3.88,6.62,32.17,22.33,45.78,13.89,14.29,49.61,2.99,4.37,5.92,4.25,4.29,6.44,12.99,21.95,39.58,24.62,22.22,44.16,14,61,29,24,20,64,38.05,31.25,43.4,47.0,48.15,35.87,61,43,56,65,40,60,41.95,31.75,36.0,41.53,40.33,31.84,2021-5-4,6.72,6.82,6.76,6.76,6.72,6.65,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.28,0.14,0.01,0.2,0.25,0.25,1,2,3,4,5,6,曇り,17.0,15,1.0,15.0,1.0
1,2021-05-04,15,2,1,2,3,4,5,6,0.2,0.2,0.15,0.16,0.24,0.13,110.2,114.6,113.9,113.6,114.9,111.0,1,5,4,3,6,2,1,1,6,1-6,1-6,1-6,1-4,4-6,1-6-4,1-4-6,2.0,1.1,3.5,11.3,8.0,1.8,1.1,2.3,22.7,4.0,5,4,2,1,5,7,1,逃げ,1,安岐真人杯争奪瀬戸の大魔神大賞,4,丸亀,一般,1800,15:53,4034,3660,3187,3832,3701,5043,西原明生,長谷川親,篠原俊夫,下田哲也,大西隆洋,中村日向,香川,香川,香川,香川,香川,香川,B1,B1,B1,B1,B1,B1,42,51,60,46,48,22,55,59,53,54,58,53,4.55,4.23,4.4,5.42,4.04,5.52,26.37,20.95,23.08,33.61,23.33,33.33,4.38,4.18,4.46,5.34,4.39,4.16,27.27,16.67,23.76,30.47,26.09,19.1,60,50,13,52,48,17,44.86,41.96,42.72,49.57,36.52,29.29,44,14,45,6,11,23,39.56,38.32,30.85,32.43,37.16,39.57,2021-5-4,6.67,6.93,6.89,6.68,6.83,6.75,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.04,-0.06,0.22,-0.03,0.11,0.08,1,2,3,4,5,6,曇り,19.0,13,2.0,15.0,2.0
2,2021-05-04,15,3,1,2,3,6,4,5,0.13,0.11,0.09,0.19,0.12,0.12,116.7,109.8,111.3,115.4,113.1,112.7,6,1,2,5,4,3,2,2,3,2-3,2-3,2-3,2-6,3-6,2-3-6,2-3-6,2.6,1.5,1.0,10.1,5.1,1.4,5.3,4.8,32.1,8.2,5,3,1,9,8,13,2,抜き,0,安岐真人杯争奪瀬戸の大魔神大賞,4,丸亀,一般,1800,16:21,5032,3543,4776,4020,3710,4260,谷口知優,福田雅一,竹田和哉,川上清人,吉永泰弘,中越博紀,香川,香川,香川,香川,香川,香川,B1,A2,A1,B1,B1,A2,23,52,27,41,46,37,53,54,53,64,56,54,3.51,6.04,6.87,5.58,4.13,5.83,14.29,45.45,54.62,40.0,20.19,39.37,2.47,6.09,6.26,5.3,4.31,6.44,5.56,42.52,44.09,35.64,21.48,47.88,9,62,15,36,35,8,46.85,32.48,36.61,40.18,38.6,43.4,38,16,4,28,32,17,30.11,33.15,34.24,38.59,32.79,39.46,2021-5-4,6.78,6.81,6.74,6.9,6.85,6.91,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.02,-0.04,0.04,0.17,0.04,0.08,1,2,3,4,5,6,曇り,19.0,13,2.0,15.0,2.0
3,2021-05-04,15,4,1,2,3,4,5,6,0.11,0.12,0.09,0.13,0.16,0.17,110.0,114.2,112.9,111.2,116.8,114.8,1,4,3,2,6,5,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,2.1,1.5,1.2,3.9,2.0,1.5,1.8,2.1,10.7,3.4,1,1,1,2,3,2,1,逃げ,1,安岐真人杯争奪瀬戸の大魔神大賞,4,丸亀,一般,1800,16:49,4331,3910,4583,4459,4010,4931,三好勇人,松下知幸,古田祐貴,片岡雅裕,越智照浩,木谷賢太,香川,香川,香川,香川,香川,香川,B1,B1,A2,A1,B1,A2,37,47,31,35,41,25,56,50,51,52,55,54,4.97,4.93,5.76,7.07,3.91,6.34,30.38,29.82,36.84,50.82,12.2,44.35,5.27,4.52,6.07,7.39,4.41,5.95,29.77,24.67,39.86,58.46,20.33,37.27,16,2,26,30,55,49,29.27,27.43,32.2,33.33,36.84,41.82,10,59,24,2,13,35,36.16,35.96,36.07,41.11,34.64,37.29,2021-5-4,6.76,6.79,6.79,6.86,6.84,6.77,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.04,-0.01,-0.04,0.16,-0.05,-0.02,1,2,3,4,5,6,曇り,19.0,13,1.0,15.0,1.0
4,2021-05-04,15,5,1,2,3,4,5,6,0.15,0.14,0.15,0.09,0.08,0.11,109.2,111.3,114.7,112.3,113.5,115.0,1,2,5,3,4,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.5,1.0,1.0,2.5,2.7,2.0,7.8,18.0,29.6,18.0,1,2,2,9,13,11,7,逃げ,1,安岐真人杯争奪瀬戸の大魔神大賞,4,丸亀,一般,1800,17:17,4220,4348,4894,3578,4772,3975,深川和仁,宮崎奨,原村拓也,塩田雄一,石丸海渡,小野寺智,香川,香川,香川,香川,香川,香川,B1,A2,B1,B1,A1,A2,39,35,30,48,27,44,56,55,52,51,55,52,5.87,5.62,5.69,4.47,6.36,5.74,42.31,35.45,37.0,25.42,37.39,33.82,6.05,5.92,4.57,5.01,6.31,6.05,47.06,39.37,25.32,27.81,44.72,34.23,7,21,3,33,47,6,40.0,30.85,31.4,33.03,35.29,31.09,31,41,30,8,20,33,39.55,31.72,30.39,44.07,38.3,34.24,2021-5-4,6.69,6.77,6.72,6.76,6.77,6.73,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,0.12,0.04,0.02,0.21,0.09,0.07,1,2,3,4,5,6,曇り,19.0,13,1.0,15.0,1.0
5,2021-05-04,15,6,1,2,3,4,5,6,0.18,0.14,0.11,0.12,0.14,0.14,109.9,110.2,111.3,114.0,113.0,114.8,1,2,3,5,4,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,2.0,1.0,1.3,3.6,1.9,1.4,1.5,2.0,6.0,2.8,2,1,1,2,5,1,1,逃げ,1,安岐真人杯争奪瀬戸の大魔神大賞,4,丸亀,カチ勝ち6,1800,17:46,4154,3541,4452,4852,3401,4946,森安弘雅,三嶌誠司,松尾祭,川原祐明,上田隆章,船越健吾,香川,香川,香川,香川,香川,香川,A2,A1,A2,A1,B1,B1,40,52,33,26,53,29,52,54,54,51,53,52,5.65,6.62,5.56,6.12,5.25,2.57,40.86,47.75,38.82,37.84,35.0,0.0,5.3,6.19,5.95,6.05,5.71,3.13,34.85,40.65,41.35,38.71,41.67,12.28,43,51,31,54,63,32,41.82,38.68,36.21,36.36,31.78,37.5,19,52,7,64,18,29,36.87,33.69,30.86,31.91,29.83,29.95,2021-5-4,6.71,6.72,6.71,6.76,6.81,6.74,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.16,0.12,0.12,0.19,0.3,0.25,1,2,3,4,5,6,曇り,19.0,13,1.0,15.0,1.0
6,2021-05-04,15,7,1,2,3,4,5,6,0.13,0.11,0.08,0.1,0.11,0.12,109.9,115.7,111.9,110.7,114.3,113.3,1,6,3,2,5,4,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.6,1.0,3.5,4.1,3.3,1.1,1.1,2.1,11.3,4.2,2,2,2,1,4,3,1,逃げ,1,安岐真人杯争奪瀬戸の大魔神大賞,4,丸亀,穴ガチ7,1800,18:16,3849,3187,5043,3907,4821,4643,中岡正彦,篠原俊夫,中村日向,村越篤,妻鳥晋也,近江翔吾,香川,香川,香川,香川,香川,香川,A1,B1,B1,A2,A2,A1,43,60,22,43,29,28,53,53,53,57,57,52,6.37,4.4,5.52,5.94,6.05,6.33,51.06,23.08,33.33,39.81,45.78,45.37,6.49,4.46,4.16,5.69,5.92,6.77,48.63,23.76,19.1,37.5,39.58,49.73,41,13,17,53,29,57,37.5,42.72,29.29,39.29,43.4,36.21,21,45,23,46,56,47,33.15,30.85,39.57,34.78,36.0,45.0,2021-5-4,6.8,6.9,6.77,6.74,6.78,6.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.11,0.47,0.15,0.08,0.16,0.13,1,2,3,4,5,6,曇り,18.0,13,2.0,15.0,2.0
7,2021-05-04,15,8,1,2,3,4,5,6,0.16,0.19,0.17,0.11,0.18,0.29,109.6,113.0,115.8,110.9,114.1,116.1,1,3,5,2,4,6,1,1,4,1-4,1-4,1-4,1-2,2-4,1-4-2,1-2-4,1.4,1.0,1.3,3.1,2.8,1.0,1.1,1.4,4.7,1.4,2,2,1,2,3,2,1,逃げ,1,安岐真人杯争奪瀬戸の大魔神大賞,4,丸亀,ガチ勝゛ち8,1800,18:46,3837,4583,3753,4437,3660,5136,秋山広一,古田祐貴,河上哲也,中田元泰,長谷川親,濱野斗馬,香川,香川,香川,香川,香川,香川,A1,A2,B1,A2,B1,B2,45,31,49,34,51,21,51,51,54,56,59,53,6.0,5.76,4.11,7.12,4.23,2.13,40.38,36.84,22.33,59.09,20.95,0.0,6.97,6.07,4.37,6.78,4.18,1.16,48.65,39.86,21.95,51.52,16.67,0.0,40,26,61,22,50,66,32.2,32.2,31.25,30.53,41.96,31.68,51,24,43,48,14,26,45.98,36.07,31.75,40.22,38.32,37.3,2021-5-4,6.76,6.74,6.83,6.78,6.8,6.78,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.06,-0.04,-0.07,0.05,-0.1,-0.09,1,2,3,4,5,6,曇り,18.0,1,1.0,15.0,1.0
8,2021-05-04,15,9,1,2,3,4,5,6,0.18,0.07,0.05,0.13,0.18,0.21,113.8,114.1,110.7,110.0,115.1,112.0,4,5,2,1,6,3,4,4,3,4-3,3-4,3-4,4-6,3-6,4-3-6,3-4-6,4.7,1.6,1.9,100.0,36.0,9.0,8.5,22.9,598.6,161.2,17,11,11,10,15,76,19,差し,1,安岐真人杯争奪瀬戸の大魔神大賞,4,丸亀,準優勝戦,1800,19:18,4931,4220,5032,4776,4348,4154,木谷賢太,深川和仁,谷口知優,竹田和哉,宮崎奨,森安弘雅,香川,香川,香川,香川,香川,香川,A2,B1,B1,A1,A2,A2,25,39,23,27,35,40,54,56,53,53,55,52,6.34,5.87,3.51,6.87,5.62,5.65,44.35,42.31,14.29,54.62,35.45,40.86,5.95,6.05,2.47,6.26,5.92,5.3,37.27,47.06,5.56,44.09,39.37,34.85,49,7,9,15,21,43,41.82,40.0,46.85,36.61,30.85,41.82,35,31,38,4,41,19,37.29,39.55,30.11,34.24,31.72,36.87,2021-5-4,6.68,6.69,6.84,6.76,6.84,6.79,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.07,0.09,0.11,0.21,-0.01,0.01,1,2,3,4,5,6,曇り,18.0,1,1.0,15.0,1.0
9,2021-05-04,15,10,1,2,3,6,4,5,0.11,0.16,0.08,0.19,0.31,0.17,109.0,114.4,109.9,112.6,112.0,116.6,1,5,2,4,3,6,1,1,3,1-3,1-3,1-3,1-5,3-5,1-3-5,1-3-5,1.4,1.1,1.4,2.0,2.2,1.4,1.4,4.3,6.9,3.7,1,1,2,1,8,1,1,逃げ,0,安岐真人杯争奪瀬戸の大魔神大賞,4,丸亀,準優勝戦,1800,19:48,4772,3710,4459,4452,3543,3849,石丸海渡,吉永泰弘,片岡雅裕,松尾祭,福田雅一,中岡正彦,香川,香川,香川,香川,香川,香川,A1,B1,A1,A2,A2,A1,27,46,35,33,52,43,55,56,52,54,54,53,6.36,4.13,7.07,5.56,6.04,6.37,37.39,20.19,50.82,38.82,45.45,51.06,6.31,4.31,7.39,5.95,6.09,6.49,44.72,21.48,58.46,41.35,42.52,48.63,47,35,30,31,62,41,35.29,38.6,33.33,36.21,32.48,37.5,20,32,2,7,16,21,38.3,32.79,41.11,30.86,33.15,33.15,2021-5-4,6.68,6.77,6.8,6.81,6.74,6.89,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.09,0.02,0.09,0.09,0.02,0.06,1,2,3,6,4,5,曇り,18.0,15,1.0,15.0,1.0
