,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,第31回アサヒビールカップ,4,2020-07-03,12,住之江,1,予選,1800,3680,4912,3385,4824,4302,4039,森林太,中山将太,渡邉睦広,松井洪弥,西野翔太,村上功祐,28,20,75,67,19,77,72,10,75,38,66,33,6.92,6.77,6.85,6.87,6.89,6.94,1,2,3,4,5,6,0.17,0.21,0.18,0.07,0.15,0.18,113.1,115.9,113.6,108.9,111.2,114.0,3,6,4,1,2,5,4,4,5,4-5,4-5,4-5,1-4,1-5,4-5-1,1-4-5,5.3,1.8,5.1,17.2,11.8,3.0,2.8,2.3,50.7,10.8,9,8,7,5,3,21,8,まくり,1
1,第31回アサヒビールカップ,4,2020-07-03,12,住之江,2,予選,1800,4761,3538,2903,4653,3629,4230,山田晃大,菊池峰晴,山崎毅,小野達哉,浅見昌克,濱崎直矢,37,73,68,58,55,31,36,31,77,64,14,27,6.86,6.93,6.97,6.85,6.89,6.83,1,2,3,4,5,6,0.15,0.08,0.07,0.02,0.02,0.04,113.6,109.4,113.3,112.0,116.4,109.9,5,1,4,3,6,2,2,2,6,2-6,2-6,2-6,2-4,4-6,2-6-4,2-4-6,8.1,6.5,1.7,60.5,29.5,9.1,4.0,1.4,175.8,13.4,19,10,11,5,2,59,5,まくり,1
2,第31回アサヒビールカップ,4,2020-07-03,12,住之江,3,予選,1800,4062,4375,4437,4686,4427,4555,後藤陽介,照屋厚仁,中田元泰,丸野一樹,秦英悟,富永大一,34,63,38,83,14,22,53,25,84,23,80,65,6.85,6.92,6.86,6.77,6.86,6.86,1,2,3,4,5,6,0.11,0.12,0.13,0.34,0.16,0.27,113.6,108.8,113.3,110.0,112.2,114.4,5,1,4,2,3,6,2,2,4,2-4,2-4,2-4,2-5,4-5,2-4-5,2-4-5,6.9,2.1,1.1,19.9,7.4,2.4,5.3,1.6,52.7,6.3,10,4,4,9,1,23,3,差し,1
3,第31回アサヒビールカップ,4,2020-07-03,12,住之江,4,予選,1800,3508,3828,3833,4719,3905,4367,久富政弘,明石正之,中辻博訓,上條暢嵩,天野友和,山口修路,62,76,82,53,59,29,79,37,86,60,28,17,6.98,6.88,6.92,6.8,6.91,6.98,1,2,3,4,5,6,0.26,0.1,0.05,0.12,0.11,0.27,118.0,113.5,109.1,109.8,113.4,111.9,6,5,1,2,4,3,3,3,4,3-4,3-4,3-4,3-6,4-6,3-4-6,3-4-6,3.7,3.4,2.4,7.7,3.8,2.1,8.4,5.8,43.5,13.3,1,1,2,12,10,15,8,まくり差し,1
4,第31回アサヒビールカップ,4,2020-07-03,12,住之江,5,住之江ファイ,1800,3200,3663,4962,3804,3878,4042,熊谷直樹,木山和幸,畑竜生,中渡修作,胡本悟志,丸岡正典,79,39,36,57,71,54,54,32,21,78,59,20,6.9,6.92,6.89,6.9,6.9,6.88,1,2,3,4,5,6,0.13,0.06,0.07,0.16,0.17,0.19,108.9,110.4,113.0,113.7,115.6,111.5,1,2,4,5,6,3,1,1,2,1-2,1-2,1-2,1-6,2-6,1-2-6,1-2-6,1.9,1.3,2.5,4.8,4.4,3.3,1.7,1.4,12.4,4.7,2,3,6,3,2,3,2,逃げ,1
5,第31回アサヒビールカップ,4,2020-07-03,12,住之江,6,予選,1800,3538,2841,4524,3662,3680,4179,菊池峰晴,吉田稔,深谷知博,大庭元明,森林太,広次修,73,17,64,81,28,35,31,81,57,39,72,73,6.77,6.84,6.91,6.79,6.93,6.87,1,2,3,4,5,6,0.09,0.07,0.04,0.05,0.1,0.1,111.0,112.9,115.1,109.1,114.0,110.6,3,4,6,1,5,2,4,4,6,4-6,4-6,4-6,1-4,1-6,4-6-1,1-4-6,10.3,2.1,7.7,62.7,41.9,4.6,2.5,2.4,176.1,19.2,13,9,7,4,3,39,7,差し,1
6,第31回アサヒビールカップ,4,2020-07-03,12,住之江,7,予選,1800,3807,4013,4529,4718,4912,4653,岡部哲,中島孝平,嶋義信,北川太一,中山将太,小野達哉,66,74,21,11,20,58,85,11,50,51,10,64,6.93,6.92,6.94,6.94,6.91,6.9,1,2,3,4,5,6,0.13,0.1,0.08,0.19,0.12,0.18,112.2,109.1,115.0,110.3,116.3,113.1,3,1,5,2,6,4,2,2,4,2-4,2-4,2-4,1-2,1-4,2-4-1,1-2-4,4.0,2.3,2.4,13.7,7.4,1.9,1.4,1.9,41.3,4.1,6,3,3,1,2,16,2,差し,1
7,第31回アサヒビールカップ,4,2020-07-03,12,住之江,8,トワイライト,1800,3828,4405,3773,4205,4761,4263,明石正之,南野利騰,津留浩一郎,山口剛,山田晃大,武重雄介,76,32,12,16,37,78,37,71,22,69,36,15,6.88,6.91,6.95,6.89,6.88,6.98,1,2,3,4,5,6,0.24,0.15,0.21,0.08,0.08,0.11,115.4,109.1,118.5,113.8,112.9,111.4,5,1,6,4,3,2,2,2,6,2-6,2-6,2-6,2-5,5-6,2-6-5,2-5-6,4.5,1.4,6.1,111.3,56.7,13.6,4.7,23.2,556.0,108.2,16,12,12,7,14,75,18,まくり,1
8,第31回アサヒビールカップ,4,2020-07-03,12,住之江,9,予選,1800,3629,4686,3776,4367,3478,3385,浅見昌克,丸野一樹,横井健太,山口修路,嶋田貴支,渡邉睦広,55,83,18,29,52,75,14,23,30,17,13,75,6.95,6.86,6.9,6.87,6.94,6.89,1,2,3,4,5,6,0.07,0.14,0.16,0.21,0.17,0.14,113.2,110.2,110.0,117.8,114.1,111.4,4,2,1,6,5,3,3,3,2,3-2,2-3,2-3,3-6,2-6,3-2-6,2-3-6,10.7,19.8,1.6,115.7,23.6,4.6,18.2,4.7,778.0,73.2,19,8,6,15,8,81,18,まくり,1
9,第31回アサヒビールカップ,4,2020-07-03,12,住之江,10,予選特別B戦,1800,4437,4302,4719,3200,4505,3662,中田元泰,西野翔太,上條暢嵩,熊谷直樹,島田賢人,大庭元明,38,19,53,79,50,81,84,66,60,54,61,39,6.82,6.87,6.89,6.91,6.96,6.83,1,2,3,4,5,6,0.13,0.1,0.09,0.11,0.13,0.15,113.0,111.3,108.9,111.8,117.7,114.6,4,2,1,3,6,5,3,3,2,3-2,2-3,2-3,3-4,2-4,3-2-4,2-3-4,4.0,1.3,2.9,27.4,12.7,3.4,3.8,4.4,69.5,16.7,7,4,4,5,6,23,6,まくり差し,1
