,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,第57回日刊スポーツ賞,4,2021-09-14,5,多摩川,1,まつりだon,1800,3801,4979,5091,4410,4728,3831,五反田忍,中野夢斗,為本智也,井上大輔,山口亮,安藤裕貴,71,51,47,33,36,46,47,63,72,71,60,64,6.7,6.84,6.78,6.76,6.8,6.66,1,2,3,4,5,6,0.1,0.0,0.0,0.08,0.16,0.12,,111.6,109.8,112.3,,108.7,5,3,2,4,6,1,6,6,3,6-3,3-6,3-6,2-6,2-3,6-3-2,2-3-6,8.0,3.4,3.8,88.5,24.7,4.6,8.1,8.7,340.2,64.9,21,10,7,11,13,91,18,まくり差し,1
1,第57回日刊スポーツ賞,4,2021-09-14,5,多摩川,2,一般,1800,4285,3611,4441,5110,3872,4619,伴将典,岩崎芳美,末永由楽,杉山喜一,岡田憲行,伏田裕隆,62,70,65,16,54,45,62,54,51,57,41,70,6.78,6.76,6.71,6.76,6.83,6.82,1,2,3,4,5,6,0.15,0.17,0.18,0.23,0.26,0.33,110.1,109.1,111.8,,113.0,,2,1,3,5,4,6,2,2,1,2-1,1-2,1-2,2-3,1-3,2-1-3,1-2-3,2.6,2.1,2.1,13.1,7.2,4.5,2.8,2.2,33.7,5.2,9,5,7,4,2,14,3,差し,1
2,第57回日刊スポーツ賞,4,2021-09-14,5,多摩川,3,一般,1800,5114,4439,4159,4828,4464,3583,小林孝彰,近藤友宝,向後龍一,松山将吾,山下友貴,齋藤智裕,40,21,13,58,52,55,28,68,87,61,22,59,6.68,6.74,6.67,6.69,6.67,6.83,1,2,3,4,5,6,0.27,0.12,0.09,0.05,0.05,0.06,,112.0,108.8,110.2,113.5,,6,3,1,2,4,5,3,3,4,3-4,3-4,3-4,2-3,2-4,3-4-2,2-3-4,2.0,1.2,1.2,3.4,2.9,1.4,2.4,2.6,27.0,6.0,1,1,1,4,5,9,3,まくり差し,1
3,第57回日刊スポーツ賞,4,2021-09-14,5,多摩川,4,一般,1800,4258,3606,4109,4103,5180,4889,関根彰人,川北浩貴,谷津幸宏,山崎善庸,藤本紗弥香,後藤盛也,73,53,61,20,50,28,31,76,86,49,26,67,6.7,6.81,6.78,6.81,6.77,6.78,1,2,3,4,6,5,0.12,0.11,0.06,0.12,0.08,0.13,109.6,,108.2,111.7,,113.1,2,5,1,3,6,4,3,3,1,3-1,1-3,1-3,3-4,1-4,3-1-4,1-3-4,6.9,3.2,3.5,13.8,4.8,3.9,6.3,5.8,77.0,16.1,8,3,6,10,9,31,6,まくり差し,0
4,第57回日刊スポーツ賞,4,2021-09-14,5,多摩川,5,一般,1800,5088,4306,3482,3990,4190,4269,高憧四季,畔柳俊吾,金子猛志,芹澤克彦,長嶋万記,杉山裕也,69,63,32,43,31,23,34,40,69,52,43,45,6.76,6.7,6.74,6.9,6.88,6.79,1,2,3,4,5,6,0.11,0.08,0.02,0.05,0.06,0.06,108.1,110.3,112.0,,,111.3,1,2,4,6,5,3,1,1,2,1-2,1-2,1-2,1-6,2-6,1-2-6,1-2-6,2.2,1.9,2.8,9.9,5.6,3.2,3.0,3.3,25.5,11.0,4,2,6,3,8,6,6,逃げ,1
5,第57回日刊スポーツ賞,4,2021-09-14,5,多摩川,6,一般,1800,4382,4489,4782,3557,4979,4138,高山智至,岩川仁士,浜崎準也,太田和美,中野夢斗,中井俊祐,26,66,56,37,51,59,73,39,48,79,63,75,6.85,6.68,6.72,6.71,6.86,6.77,1,2,3,4,5,6,0.13,0.14,0.15,0.29,0.34,0.19,109.0,109.9,112.7,110.3,,,1,2,4,3,5,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,2.2,1.7,3.1,13.4,9.1,2.1,1.0,1.4,23.3,3.7,6,5,4,1,2,7,2,逃げ,1
6,第57回日刊スポーツ賞,4,2021-09-14,5,多摩川,7,一般,1800,5091,3635,4550,4619,3583,3347,為本智也,石田政吾,石岡将太,伏田裕隆,齋藤智裕,矢後剛,47,39,38,45,55,19,72,37,55,70,59,58,6.75,6.82,6.8,6.8,6.85,6.88,1,2,3,4,5,6,0.27,0.3,0.3,0.24,0.21,0.23,109.8,110.4,113.0,,112.4,,1,2,4,6,3,5,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,1.6,1.0,1.1,3.2,2.3,1.2,8.0,7.7,47.8,25.3,1,1,1,12,11,15,10,逃げ,1
7,第57回日刊スポーツ賞,4,2021-09-14,5,多摩川,8,一般,1800,4086,4728,4580,4285,4439,5180,寺本重宣,山口亮,長谷川雅和,伴将典,近藤友宝,藤本紗弥香,44,36,74,62,21,50,74,60,25,62,68,26,6.81,6.81,6.82,6.91,6.75,6.8,1,2,3,4,5,6,0.2,0.24,0.25,0.22,0.17,0.23,110.1,112.5,,113.1,111.5,,1,3,5,4,2,6,1,1,5,1-5,1-5,1-5,1-2,2-5,1-5-2,1-2-5,1.8,1.4,5.4,9.0,5.4,2.8,1.4,5.9,30.7,7.2,4,3,4,1,9,14,4,逃げ,1
8,第57回日刊スポーツ賞,4,2021-09-14,5,多摩川,9,ターゲット9,1800,3933,3893,5114,4258,4306,5110,山地正樹,汐崎正則,小林孝彰,関根彰人,畔柳俊吾,杉山喜一,15,22,40,73,63,16,27,82,28,31,40,57,6.75,6.89,6.8,6.82,6.78,6.81,1,2,3,4,5,6,0.12,0.21,0.19,0.29,0.09,0.13,112.6,110.6,,,109.5,112.8,3,2,5,6,1,4,5,5,2,5-2,2-5,2-5,1-5,1-2,5-2-1,1-2-5,9.5,2.8,1.7,74.6,28.2,3.0,1.8,1.1,114.1,3.5,13,6,6,3,1,25,2,まくり,1
9,第57回日刊スポーツ賞,4,2021-09-14,5,多摩川,10,準優勝戦,1800,3831,3872,4828,4109,4489,5088,安藤裕貴,岡田憲行,松山将吾,谷津幸宏,岩川仁士,高憧四季,46,54,58,61,66,69,64,41,61,86,39,34,6.68,6.78,6.74,6.71,6.76,6.78,1,2,3,4,5,6,0.05,0.1,0.08,0.05,0.11,0.1,108.6,,112.3,109.2,110.3,,1,5,4,2,3,6,1,1,4,1-4,1-4,1-4,1-5,4-5,1-4-5,1-4-5,1.5,1.1,1.8,5.8,6.4,1.9,6.5,6.5,42.2,16.2,3,3,2,8,8,13,8,逃げ,1
