,date,place_cd,race_no,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari,title_y,day_y,place_y,race_type_y,distance_y,deadline,toban_1_y,toban_2_y,toban_3_y,toban_4_y,toban_5_y,toban_6_y,name_1_y,name_2_y,name_3_y,name_4_y,name_5_y,name_6_y,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1_y,moter_no_2_y,moter_no_3_y,moter_no_4_y,moter_no_5_y,moter_no_6_y,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1_y,boat_no_2_y,boat_no_3_y,boat_no_4_y,boat_no_5_y,boat_no_6_y,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,date_y,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,2021-10-08,24,1,1,2,3,4,5,6,0.09,0.07,0.13,0.13,0.15,0.2,109.2,,113.6,112.6,,111.1,1,5,4,3,6,2,1,1,6,1-6,1-6,1-6,1-4,4-6,1-6-4,1-4-6,1.5,1.1,7.5,31.4,17.2,6.9,4.2,23.2,214.0,39.5,10,9,11,7,15,58,12,逃げ,1,BTS由布開設2周年記念,5,大村,一般,1800,15:18,4711,5085,3875,4705,3747,5143,前出達吉,中村栄治,廣中良一,吉川勇作,國崎良春,常盤海心,福井,福井,山口,長崎,福岡,徳島,B1,B1,B1,B1,B1,B2,31,22,44,33,46,20,50,51,52,53,52,53,5.61,3.76,4.76,3.95,5.14,2.37,37.88,15.87,30.0,21.05,32.67,6.33,5.0,3.25,3.91,4.7,5.2,0.0,26.32,12.5,21.21,26.95,32.0,0.0,11,29,76,44,66,57,38.89,45.76,44.83,23.21,22.81,41.18,12,76,64,45,37,20,17.31,25.45,33.33,32.76,30.16,38.6,2021-10-8,6.91,6.88,6.91,6.97,6.89,6.83,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.18,0.11,0.22,-0.02,0.11,0.01,1,2,3,4,5,6,晴,28.0,17,0.0,25.0,0.0
1,2021-10-08,24,2,1,2,3,4,5,6,0.21,0.23,0.22,0.26,0.18,0.33,110.7,111.9,113.5,,113.3,,1,2,4,6,3,5,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,2.0,1.3,2.0,8.1,5.9,2.8,2.1,3.1,35.3,8.4,2,2,5,2,8,13,6,逃げ,1,BTS由布開設2周年記念,5,大村,一般,1800,15:39,4270,4562,4896,4363,4704,5152,岸本雄貴,阪本勇介,花本剛,大野芳顕,河野大,丸山祐也,三重,岡山,山口,福岡,徳島,福岡,B1,B1,B1,A2,A2,B2,39,33,29,36,33,26,61,54,54,53,51,52,4.42,4.82,4.47,6.0,6.39,1.08,23.88,24.27,20.83,54.29,43.85,0.0,0.0,4.93,0.0,6.35,5.53,1.5,0.0,22.73,0.0,40.0,33.33,0.0,16,69,65,61,55,62,17.24,23.81,32.73,29.41,26.42,29.63,49,21,30,18,59,50,35.85,46.3,41.07,37.29,45.9,29.82,2021-10-8,6.87,6.86,6.86,6.83,6.86,6.81,0.0,-0.5,0.0,0.0,0.0,-0.5,0.08,0.11,0.05,0.16,0.13,0.06,1,2,3,4,5,6,晴,32.0,7,1.0,25.0,1.0
2,2021-10-08,24,3,1,2,3,4,5,6,0.15,0.09,0.12,0.12,0.12,0.06,,112.4,110.5,109.5,112.9,,5,3,2,1,4,6,4,4,3,4-3,3-4,3-4,2-4,2-3,4-3-2,2-3-4,6.0,2.6,1.7,48.3,19.9,3.1,3.8,2.8,189.8,18.0,13,6,5,6,4,45,7,抜き,1,BTS由布開設2周年記念,5,大村,一般,1800,16:09,4182,4596,4143,4150,4241,5154,吉田和仁,葛原大陽,浦田晃嗣,山田雄太,大串重幸,村松栄太,滋賀,徳島,佐賀,静岡,長崎,広島,B1,A2,B1,A2,B1,B2,38,38,40,39,36,25,55,49,55,57,53,53,5.3,5.91,4.63,5.94,4.7,1.88,33.33,37.1,21.52,46.24,26.98,3.95,5.28,5.33,4.2,2.0,5.35,0.0,27.78,29.63,15.15,0.0,36.47,0.0,58,43,53,75,71,70,31.48,17.65,31.91,31.37,26.67,42.0,27,72,29,51,70,31,32.14,18.0,21.43,26.79,37.5,40.98,2021-10-8,6.91,6.93,6.92,6.94,6.92,6.9,-0.5,0.0,0.0,0.0,0.0,0.0,-0.09,0.11,0.01,0.11,0.08,0.13,1,2,3,4,5,6,曇り,31.0,9,1.0,25.0,1.0
3,2021-10-08,24,4,1,2,3,4,5,6,0.09,0.1,0.15,0.15,0.13,0.19,109.5,110.7,112.2,112.0,,,1,2,4,3,5,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.1,1.0,2.1,2.7,2.9,2.0,1.6,2.4,5.4,2.5,1,2,3,1,5,1,1,逃げ,1,BTS由布開設2周年記念,5,大村,一般,1800,16:58,4754,5092,4120,3841,4112,3682,松尾充,篠原晟弥,柘植政浩,佐々木和,大久保信,切田潤二,三重,福岡,滋賀,徳島,佐賀,山口,A2,B1,A2,A2,B1,B1,33,20,40,45,41,48,51,50,52,55,52,51,6.12,4.09,5.58,6.42,5.07,4.14,43.4,17.95,38.78,46.61,28.77,16.92,5.34,2.35,6.26,5.95,5.45,3.4,27.59,3.23,43.48,45.0,33.75,13.33,48,51,73,72,12,64,32.08,36.84,12.5,38.6,40.91,40.0,34,71,38,58,43,36,44.64,33.9,32.73,40.0,40.0,41.82,2021-10-8,6.89,6.88,6.89,6.92,6.9,6.88,0.0,0.0,0.0,-0.5,-0.5,0.0,-0.02,0.02,0.07,0.01,0.03,0.11,1,2,3,4,5,6,晴,31.0,9,1.0,25.0,1.0
4,2021-10-08,24,5,1,2,3,4,5,6,0.18,0.08,0.06,0.05,0.21,0.23,110.4,109.1,,111.9,112.1,,2,1,6,3,4,5,2,2,1,2-1,1-2,1-2,2-4,1-4,2-1-4,1-2-4,7.9,3.8,1.4,15.8,3.1,1.7,2.3,1.3,34.8,3.3,7,2,2,5,1,11,1,差し,1,BTS由布開設2周年記念,5,大村,一般,1800,17:25,3362,4498,4705,4402,4711,3874,間嶋仁志,宮本夏樹,吉川勇作,乙藤智史,前出達吉,山本寛久,三重,長崎,長崎,福岡,福井,岡山,A2,B1,B1,A1,B1,A1,52,34,33,36,31,45,53,53,53,53,50,52,5.6,5.46,3.95,6.6,5.61,6.63,33.33,37.84,21.05,50.0,37.88,48.87,7.14,5.53,4.7,6.49,5.0,6.6,71.43,38.33,26.95,50.0,26.32,48.57,23,68,44,45,11,49,29.82,25.93,23.21,37.5,38.89,46.43,60,65,45,19,12,69,33.93,29.31,32.76,49.12,17.31,27.27,2021-10-8,6.92,6.86,6.98,6.87,6.9,6.86,-0.5,-0.5,-0.5,0.0,0.0,-0.5,0.05,0.01,0.06,0.03,0.13,0.12,1,2,3,4,5,6,晴,31.0,9,2.0,25.0,1.0
5,2021-10-08,24,6,1,2,3,4,6,5,0.12,0.22,0.18,0.17,0.36,0.24,109.5,112.5,,113.2,,111.0,1,3,5,4,6,2,1,1,6,1-6,1-6,1-6,1-2,2-6,1-6-2,1-2-6,1.3,1.2,2.2,3.4,2.5,1.3,2.0,2.2,10.0,4.1,1,1,1,5,6,3,2,逃げ,0,BTS由布開設2周年記念,5,大村,一般,1800,17:52,4703,5143,4562,3747,5152,4171,森永隆,常盤海心,阪本勇介,國崎良春,丸山祐也,榎幸司,山口,徳島,岡山,福岡,福岡,長崎,A2,B2,B1,B1,B2,A1,33,20,33,46,26,39,50,53,54,52,52,53,6.11,2.37,4.82,5.14,1.08,6.95,38.6,6.33,24.27,32.67,0.0,50.93,5.6,0.0,4.93,5.2,1.5,7.09,31.11,0.0,22.73,32.0,0.0,55.61,30,57,69,66,62,50,55.0,41.18,23.81,22.81,29.63,37.04,74,20,21,37,50,66,43.55,38.6,46.3,30.16,29.82,16.0,2021-10-8,6.84,6.83,6.84,6.87,6.87,6.95,-0.5,0.0,-0.5,0.0,-0.5,-0.5,0.14,0.25,0.15,0.03,0.37,0.04,1,2,3,4,6,5,晴,30.0,9,2.0,25.0,1.0
6,2021-10-08,24,7,1,2,3,4,5,6,0.11,0.14,0.16,0.24,0.22,0.23,109.4,111.3,,,112.6,113.6,1,2,5,6,3,4,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,1.1,1.0,1.2,2.3,1.9,1.5,2.0,4.5,10.6,8.3,1,1,1,3,9,4,4,逃げ,1,BTS由布開設2周年記念,5,大村,一般,1800,18:21,4175,4811,4270,4596,4182,3265,川尻泰輔,向井田佑,岸本雄貴,葛原大陽,吉田和仁,今村暢孝,埼玉,広島,三重,徳島,滋賀,福岡,A2,B1,B1,A2,B1,A1,38,32,39,38,38,56,54,49,61,49,55,50,6.39,5.71,4.42,5.91,5.3,6.89,46.79,38.38,23.88,37.1,33.33,58.0,4.71,4.97,0.0,5.33,5.28,5.65,28.57,32.35,0.0,29.63,27.78,45.61,37,46,16,43,58,60,22.22,20.37,17.24,17.65,31.48,23.08,25,41,49,72,27,33,28.3,27.45,35.85,18.0,32.14,44.44,2021-10-8,6.85,6.87,6.9,6.93,6.93,6.91,-0.5,0.0,0.0,0.0,-0.5,0.0,0.02,0.02,0.16,0.12,0.02,0.11,1,2,3,4,5,6,晴,30.0,9,2.0,25.0,1.0
7,2021-10-08,24,8,1,2,3,4,6,5,0.19,0.25,0.27,0.24,0.13,0.15,111.8,110.5,,114.3,,111.2,3,1,5,4,6,2,2,2,6,2-6,2-6,2-6,1-2,1-6,2-6-1,1-2-6,9.6,3.1,2.0,116.1,41.0,5.2,1.2,2.2,265.7,6.3,24,10,10,1,3,58,4,差し,0,BTS由布開設2周年記念,5,大村,一般,1800,18:51,5112,4241,4363,4120,5154,3875,砂長知輝,大串重幸,大野芳顕,柘植政浩,村松栄太,廣中良一,埼玉,長崎,福岡,滋賀,広島,山口,B1,B1,A2,A2,B2,B1,21,36,36,40,25,44,52,53,53,52,53,52,4.83,4.7,6.0,5.58,1.88,4.76,27.55,26.98,54.29,38.78,3.95,30.0,0.0,5.35,6.35,6.26,0.0,3.91,0.0,36.47,40.0,43.48,0.0,21.21,33,71,61,73,70,76,42.62,26.67,29.41,12.5,42.0,44.83,54,70,18,38,31,64,38.6,37.5,37.29,32.73,40.98,33.33,2021-10-8,6.84,6.86,6.81,6.94,6.88,6.88,0.0,0.0,0.0,0.0,0.0,-0.5,0.02,0.15,0.22,0.06,0.07,-0.05,1,2,3,4,6,5,晴,29.0,9,3.0,25.0,2.0
8,2021-10-08,24,9,1,2,3,4,5,6,0.08,0.12,0.14,0.22,0.22,0.25,109.6,111.1,,112.3,,112.8,1,2,5,3,6,4,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.5,1.2,1.1,3.7,2.7,2.1,3.3,4.1,15.7,7.5,2,1,3,5,6,7,4,逃げ,1,BTS由布開設2周年記念,5,大村,一般特選,1800,19:19,4704,4150,4112,5085,4498,3576,河野大,山田雄太,大久保信,中村栄治,宮本夏樹,白水勝也,徳島,静岡,佐賀,福井,長崎,福岡,A2,A2,B1,B1,B1,A1,33,39,41,22,34,48,51,57,52,51,53,51,6.39,5.94,5.07,3.76,5.46,6.66,43.85,46.24,28.77,15.87,37.84,46.15,5.53,2.0,5.45,3.25,5.53,5.9,33.33,0.0,33.75,12.5,38.33,35.0,55,75,12,29,68,36,26.42,31.37,40.91,45.76,25.93,24.56,59,51,43,76,65,52,45.9,26.79,40.0,25.45,29.31,41.38,2021-10-8,6.87,6.91,6.9,6.82,6.85,6.89,0.0,0.0,-0.5,-0.5,-0.5,-0.5,-0.01,-0.01,0.05,0.07,0.12,0.07,1,2,3,4,5,6,晴,29.0,11,2.0,25.0,1.0
9,2021-10-08,24,10,1,3,4,5,2,6,0.16,0.02,0.03,0.06,0.22,0.13,111.6,108.6,109.9,,112.8,,3,1,2,5,4,6,2,2,3,2-3,2-3,2-3,1-2,1-3,2-3-1,1-2-3,6.3,1.7,2.2,21.4,10.4,3.4,1.6,1.4,55.0,4.9,7,5,7,3,1,20,2,まくり,0,BTS由布開設2周年記念,5,大村,特別選抜戦,1800,19:48,4171,4896,4175,5092,3362,4143,榎幸司,花本剛,川尻泰輔,篠原晟弥,間嶋仁志,浦田晃嗣,長崎,山口,埼玉,福岡,三重,佐賀,A1,B1,A2,B1,A2,B1,39,29,38,20,52,40,53,54,54,50,53,55,6.95,4.47,6.39,4.09,5.6,4.63,50.93,20.83,46.79,17.95,33.33,21.52,7.09,0.0,4.71,2.35,7.14,4.2,55.61,0.0,28.57,3.23,71.43,15.15,50,65,37,51,23,53,37.04,32.73,22.22,36.84,29.82,31.91,66,30,25,71,60,29,16.0,41.07,28.3,33.9,33.93,21.43,2021-10-8,6.91,6.87,6.88,6.9,6.86,6.91,-0.5,0.0,-0.5,0.0,-0.5,0.0,0.04,-0.08,-0.04,-0.04,0.18,0.0,1,3,4,5,2,6,晴,29.0,17,0.0,25.0,0.0
