,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,1,予選,1800,3891,4863,4570,4565,3945,5130,谷口健一,三浦裕貴,前田聖文,西村豪洋,橋口真樹,上野拓馬,40,9,51,48,34,14,38,60,56,58,59,50,6.74,6.76,6.71,6.72,6.72,6.77,1,2,3,4,5,6,0.18,0.19,0.16,0.15,0.12,0.13,111.7,,112.7,109.8,113.9,,2,5,3,1,4,6,4,4,1,4-1,1-4,1-4,3-4,1-3,4-1-3,1-3-4,3.2,1.5,1.2,17.8,8.9,1.5,1.2,1.0,37.1,3.7,9,5,3,2,1,16,1,差し,1
1,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,2,予選,1800,4231,3831,3022,4483,3776,5110,鈴木裕隆,安藤裕貴,西山昇一,北野輝季,横井健太,杉山喜一,10,19,37,33,26,21,66,37,29,17,71,52,6.71,6.71,6.74,6.68,6.63,6.77,1,2,3,4,5,6,0.14,0.29,0.15,0.13,0.14,0.1,107.8,,111.7,109.4,112.2,,1,5,3,2,4,6,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,6.8,1.5,1.0,8.2,7.3,1.9,2.2,1.6,22.7,6.3,2,5,2,4,1,4,2,逃げ,1
2,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,3,予選,1800,4215,4983,4084,3488,3231,3044,吉島祥之,前田篤哉,杉山正樹,柳田英明,吉田隆義,三宅爾士,12,59,56,1,60,24,75,53,20,65,30,54,6.72,6.73,6.65,6.69,6.74,6.8,1,3,4,5,2,6,0.24,0.11,0.11,0.08,0.33,0.17,,110.3,109.0,112.2,,113.9,5,2,1,3,6,4,3,3,2,3-2,2-3,2-3,3-4,2-4,3-2-4,2-3-4,2.3,1.2,1.0,6.3,3.6,1.3,2.5,4.5,18.9,6.1,2,2,1,4,7,8,2,まくり差し,0
3,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,4,予選,1800,4228,4337,4943,4118,4461,4161,吉田慎二郎,平本真之,八木治樹,宇佐見淳,安田吉宏,黒柳浩孝,6,28,31,43,58,32,33,15,16,74,12,40,6.71,6.67,6.7,6.67,6.7,6.7,1,2,3,4,5,6,0.09,0.09,0.26,0.1,0.11,0.08,109.8,107.9,,111.9,,114.2,2,1,6,3,5,4,2,2,1,2-1,1-2,1-2,2-4,1-4,2-1-4,1-2-4,1.5,1.0,3.3,3.1,2.1,1.3,1.0,1.4,5.4,2.3,1,2,2,1,3,1,1,差し,1
4,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,5,予選,1800,3286,4074,4837,4650,3891,3502,坂東満,柳沢一,酒井陽祐,中山雄太,谷口健一,渡邉英児,5,3,25,7,40,13,13,34,44,26,38,31,6.7,6.73,6.7,6.73,6.75,6.76,1,2,3,4,5,6,0.15,0.15,0.16,0.13,0.15,0.15,,,126.8,118.0,121.1,123.3,6,5,4,1,2,3,4,4,5,4-5,4-5,4-5,4-6,5-6,4-5-6,4-5-6,3.7,4.0,27.3,98.1,135.6,22.0,6.6,14.0,247.0,76.8,19,12,14,8,12,51,14,まくり,1
5,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,6,予選,1800,4921,3690,4960,3945,5110,3554,二宮博貴,河合三弘,黒野元基,橋口真樹,杉山喜一,仲口博崇,41,18,42,34,21,22,64,23,42,59,52,36,6.7,6.75,6.73,6.71,6.71,6.71,1,4,2,5,6,3,0.22,0.19,0.24,0.17,0.25,0.25,,114.0,109.3,,112.8,110.1,5,4,1,6,3,2,3,3,6,3-6,3-6,3-6,3-5,5-6,3-6-5,3-5-6,2.1,1.5,2.4,7.7,3.2,2.1,11.8,9.0,75.5,27.4,3,1,2,13,12,35,12,まくり,0
6,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,7,予選,1800,4492,3377,4565,3283,5002,3231,本多宏和,塚田修二,西村豪洋,窪田好弘,上田健太,吉田隆義,16,46,48,55,35,60,51,21,58,25,69,30,6.7,6.75,6.71,6.72,6.7,6.72,1,2,4,5,6,3,0.16,0.35,0.24,0.19,0.17,0.18,108.4,112.5,,113.8,,111.9,1,3,5,4,6,2,1,1,6,1-6,1-6,1-6,1-2,2-6,1-6-2,1-2-6,1.3,1.0,6.3,6.2,14.4,1.9,2.6,17.4,26.0,11.7,3,3,2,4,15,9,6,逃げ,0
7,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,8,予選,1800,4118,4139,4308,3921,3605,5169,宇佐見淳,丹下健,河村了,川村正輝,中村守成,堀本翔太,43,17,53,2,23,47,74,63,68,22,55,73,6.73,6.76,6.72,6.73,6.8,6.73,1,2,3,4,5,6,0.15,0.18,0.19,0.27,0.27,0.22,109.7,113.0,111.2,,,114.2,1,3,2,5,6,4,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,1.2,1.0,1.2,1.7,1.8,1.5,2.6,5.3,8.6,4.4,1,1,2,4,6,2,2,逃げ,1
8,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,9,予選,1800,4084,4161,3286,4231,5130,4062,杉山正樹,黒柳浩孝,坂東満,鈴木裕隆,上野拓馬,後藤陽介,56,32,5,10,14,57,20,40,13,66,50,39,6.66,6.73,,6.74,6.72,6.72,1,2,.,3,5,4,0.17,0.21,,0.28,0.12,0.14,112.5,111.4,,113.1,,110.0,3,2,6,4,5,1,6,6,2,6-2,2-6,2-6,1-6,1-2,6-2-1,1-2-6,11.2,3.2,1.2,56.7,22.1,1.1,1.0,1.1,83.1,1.7,8,4,2,1,3,17,1,まくり,0
9,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,10,予選,1800,4337,3502,3776,5120,3690,4863,平本真之,渡邉英児,横井健太,山本稔太朗,河合三弘,三浦裕貴,28,13,26,39,18,9,15,31,71,47,23,60,6.75,6.75,6.61,6.82,6.67,6.8,1,2,3,4,5,6,0.11,0.11,0.09,0.11,0.11,0.13,108.4,110.8,111.7,112.5,,,1,2,3,4,5,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.0,1.0,1.0,1.6,1.8,1.1,1.2,2.1,4.4,2.7,1,1,1,2,5,1,1,逃げ,1
