,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,1,予選,1800,4920,4945,4199,3319,5033,4660,桐村翔太,上村宏太,北川潤二,山崎義明,藤原孝斗,宇田川信一,34,36,74,70,55,32,40,57,69,37,50,25,6.84,6.91,6.86,6.85,6.89,6.9,1,2,3,4,5,6,0.19,0.14,0.07,0.07,0.05,0.14,,112.1,110.7,112.9,,115.6,6,2,1,3,5,4,3,3,2,3-2,2-3,2-3,3-4,2-4,3-2-4,2-3-4,2.5,1.0,1.3,11.7,7.3,1.6,1.4,2.0,17.8,2.7,6,4,2,1,4,4,1,まくり,1
1,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,2,予選,1800,4723,4438,4460,5112,3686,3231,寺島吉彦,森作雄大,後藤翔之,砂長知輝,鳥居塚孝博,吉田隆義,76,20,80,24,45,72,43,34,51,65,46,49,6.85,6.91,6.84,6.9,6.92,6.92,1,5,2,6,4,3,0.15,0.11,0.08,0.21,0.09,0.11,112.4,,111.3,114.4,,115.4,2,5,1,3,6,4,3,3,1,3-1,1-3,1-3,3-4,1-4,3-1-4,1-3-4,3.0,1.7,3.4,7.1,5.0,3.0,4.9,5.8,78.0,26.1,2,2,4,8,10,30,11,差し,0
2,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,3,予選,1800,4076,3848,4623,3653,3461,5135,杉田篤光,川上聡介,中北将史,品川賢次,渡邊哲也,仲航太,29,47,54,62,44,73,39,59,55,56,70,27,6.86,6.88,6.81,6.9,6.94,6.89,1,2,3,4,5,6,0.09,0.09,0.08,0.13,0.16,0.22,111.8,114.8,113.3,114.6,,,1,4,2,3,5,6,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.0,1.0,1.7,2.2,2.5,1.0,2.9,5.1,7.0,3.1,1,1,1,4,7,2,2,逃げ,1
3,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,4,予選,1800,4159,4645,3353,3637,2876,3641,向後龍一,上村純一,前田光昭,齋藤和政,鈴木幸夫,一瀬明,41,53,65,60,17,30,36,62,48,52,31,38,6.97,6.87,6.96,6.94,6.91,6.93,1,3,4,5,2,6,0.13,0.11,0.07,0.12,0.07,0.09,112.5,,,113.7,111.3,114.8,2,5,6,3,1,4,5,5,1,5-1,1-5,1-5,4-5,1-4,5-1-4,1-4-5,4.6,1.0,1.5,10.6,5.0,1.9,8.8,14.0,111.9,23.0,4,2,2,11,14,40,11,差し,0
4,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,5,予選,1800,3594,3792,4920,3888,3655,4358,塚原武之,田中豪,桐村翔太,山本英志,本橋克洋,松本庸平,56,77,34,13,16,35,68,28,40,67,26,45,6.86,6.9,6.91,6.88,6.9,6.9,1,2,3,4,5,6,0.2,0.27,0.24,0.14,0.14,0.18,113.7,115.6,,110.7,,112.6,3,4,6,1,5,2,4,4,6,4-6,4-6,4-6,1-4,1-6,4-6-1,1-4-6,4.9,1.4,5.9,30.1,29.8,9.2,3.1,6.3,95.0,18.2,12,9,11,4,9,36,8,まくり差し,1
5,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,6,予選,1800,4306,3310,3463,5033,3497,3362,畔柳俊吾,金澤一洋,乙津康志,藤原孝斗,後藤浩,間嶋仁志,50,14,15,55,59,19,75,35,32,50,64,54,6.9,6.86,6.82,6.89,6.89,6.93,1,2,3,6,5,4,0.17,0.19,0.12,0.22,0.18,0.17,111.6,,115.9,114.6,,113.5,1,5,4,3,6,2,1,1,6,1-6,1-6,1-6,1-4,4-6,1-6-4,1-4-6,1.7,15.2,11.6,12.0,5.3,1.4,8.6,17.1,110.4,27.7,7,3,1,9,13,44,12,逃げ,0
6,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,7,予選,1800,3813,4109,3653,3505,5112,3319,佐藤大介,谷津幸宏,品川賢次,山田竜一,砂長知輝,山崎義明,11,52,62,46,24,70,29,30,56,60,65,37,6.87,6.89,6.94,6.85,6.9,6.82,1,2,3,4,5,6,0.06,0.12,0.12,0.1,0.18,0.15,110.1,,113.4,112.0,,114.5,1,5,3,2,6,4,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.0,1.1,2.4,2.9,3.0,1.5,5.7,4.3,22.6,9.9,1,2,1,10,7,6,4,逃げ,1
7,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,8,予選,1800,4438,3637,4043,4199,4586,4113,森作雄大,齋藤和政,桐本康臣,北川潤二,磯部誠,木村浩士,20,60,48,74,71,67,34,52,58,69,41,33,6.87,6.87,6.99,6.81,6.79,6.87,1,2,3,4,5,6,0.14,0.19,0.18,0.14,0.16,0.19,111.5,,,112.4,113.1,113.1,1,6,5,2,4,3,1,1,4,1-4,1-4,1-4,1-6,4-6,1-4-6,1-4-6,4.2,2.8,2.0,13.0,9.4,5.2,16.2,10.5,77.3,27.7,8,6,6,15,12,39,14,抜き,1
8,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,9,予選特賞,1800,4460,4076,4945,2876,3792,3382,後藤翔之,杉田篤光,上村宏太,鈴木幸夫,田中豪,岩谷真,80,29,36,17,77,69,51,39,57,31,28,53,6.82,6.82,6.83,6.92,6.83,6.86,1,3,4,2,5,6,0.18,0.18,0.22,0.16,0.21,0.28,114.7,,118.5,,116.5,122.1,1,6,3,5,2,4,1,1,5,1-5,1-5,1-5,1-3,3-5,1-5-3,1-3-5,2.8,2.1,5.7,15.0,11.1,3.2,2.7,10.5,92.5,21.4,6,5,5,4,10,33,9,逃げ,0
9,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,10,予選特賞,1800,3655,3641,3569,4470,3556,3156,本橋克洋,一瀬明,増田進,平田健之佑,田中信一郎,金子良昭,16,30,78,23,40,12,26,38,66,61,44,47,6.84,6.86,6.89,6.9,6.82,6.86,1,2,3,5,6,4,0.07,0.11,0.13,0.13,0.09,0.15,112.6,110.9,,,114.3,115.1,2,1,5,6,3,4,2,2,1,2-1,1-2,1-2,2-5,1-5,2-1-5,1-2-5,5.4,1.7,1.0,10.7,2.4,1.9,2.8,2.8,30.6,5.5,4,1,1,5,5,8,1,差し,0
10,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,11,予選特選,1800,3686,3505,4358,4623,3362,4645,鳥居塚孝博,山田竜一,松本庸平,中北将史,間嶋仁志,上村純一,45,46,35,54,19,53,46,60,45,55,54,62,6.83,6.87,6.82,6.81,6.94,6.81,1,3,4,5,2,6,0.06,0.12,0.19,0.11,0.11,0.11,111.2,113.7,,112.3,113.7,,1,4,5,2,3,6,1,1,4,1-4,1-4,1-4,1-5,4-5,1-4-5,1-4-5,2.3,1.2,3.2,23.8,12.3,4.3,2.6,13.1,73.0,22.4,11,6,7,2,14,30,13,逃げ,0
11,第65回日刊スポーツ旗,2,2020-07-03,4,平和島,12,記者選抜,1800,3888,4159,3231,4043,3463,4109,山本英志,向後龍一,吉田隆義,桐本康臣,乙津康志,谷津幸宏,13,41,72,48,15,52,67,36,49,58,32,30,6.86,6.87,6.9,6.98,6.93,6.93,1,2,3,4,5,6,0.14,0.16,0.18,0.13,0.15,0.2,111.8,110.2,,114.1,115.0,,2,1,6,3,4,5,2,2,1,2-1,1-2,1-2,2-4,1-4,2-1-4,1-2-4,6.0,1.1,1.0,6.8,1.4,1.3,1.8,1.6,21.7,2.5,3,1,1,3,2,7,1,差し,1
12,第44回京急電鉄社長杯,2,2021-05-04,4,平和島,1,予選,1800,3419,5007,3256,3565,4077,5186,栗原謙治,近藤雄一郎,三角哲男,坂本徳克,品田直樹,遠藤圭吾,65,31,72,57,40,47,45,64,27,28,18,31,6.83,6.77,6.73,6.73,6.66,6.67,1,2,3,4,5,6,0.21,0.14,0.17,0.18,0.18,0.2,111.1,112.6,112.3,,113.7,,1,3,2,5,4,6,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,2.5,1.4,1.0,5.0,3.4,1.5,1.8,3.2,22.9,5.4,2,1,1,2,8,8,3,逃げ,1
13,第44回京急電鉄社長杯,2,2021-05-04,4,平和島,2,予選,1800,4036,3877,3790,3227,4031,5153,金田諭,松浦博人,佐口達也,長岡茂一,飯島誠,佐藤ほのか,55,23,18,70,53,44,39,47,69,50,63,25,6.64,6.71,6.81,6.78,6.8,6.6,1,2,3,4,5,6,0.01,0.02,0.03,0.07,0.06,0.05,110.1,112.9,,114.1,111.0,,1,3,5,4,2,6,1,1,5,1-5,1-5,1-5,1-2,2-5,1-5-2,1-2-5,1.1,1.0,7.3,16.6,12.0,3.5,1.6,6.0,56.5,12.0,4,4,5,2,8,12,5,逃げ,1
14,第44回京急電鉄社長杯,2,2021-05-04,4,平和島,3,予選,1800,4078,4836,3681,3277,4113,3911,渡辺史之,大谷健太,山谷央,齋藤勇,木村浩士,鈴木猛,10,60,20,61,37,69,12,43,73,46,76,40,6.74,6.78,6.8,6.77,6.67,6.7,1,2,3,4,5,6,0.06,0.07,0.11,0.15,0.11,0.11,112.2,110.6,,113.5,,114.3,2,1,6,3,5,4,2,2,1,2-1,1-2,1-2,2-4,1-4,2-1-4,1-2-4,9.9,2.2,3.1,17.6,5.8,4.2,7.7,3.8,79.3,18.2,7,4,7,12,5,33,9,差し,1
15,第44回京急電鉄社長杯,2,2021-05-04,4,平和島,4,予選,1800,4152,3863,3826,4093,4995,5051,深水慎一郎,海老澤泰行,村田修次,吉田宗弘,田邉亮蔵,松本純平,19,73,39,32,14,33,34,38,65,61,66,41,6.76,6.73,6.79,6.76,6.66,6.6,1,2,3,4,5,6,0.08,0.09,0.09,0.09,0.07,0.12,110.4,113.3,111.5,114.5,,,1,3,2,4,5,6,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,1.6,1.1,1.0,3.1,1.9,1.0,1.5,1.8,9.7,3.1,1,1,1,2,3,1,1,逃げ,1
16,第44回京急電鉄社長杯,2,2021-05-04,4,平和島,5,予選,1800,2538,4286,4110,4815,5186,3590,高橋二朗,平田さやか,小澤和也,伏島祐介,遠藤圭吾,濱野谷憲吾,17,34,16,29,47,24,57,60,58,70,31,30,6.72,6.78,6.77,6.77,6.82,6.85,1,2,3,4,6,5,0.2,0.17,0.11,0.11,0.17,0.11,113.5,113.6,110.7,,,112.9,3,4,1,6,5,2,3,3,6,3-6,3-6,3-6,1-3,1-6,3-6-1,1-3-6,14.7,2.5,1.5,16.1,6.3,2.2,3.2,2.0,48.0,6.3,9,4,4,5,3,22,3,まくり,0
17,第44回京急電鉄社長杯,2,2021-05-04,4,平和島,6,予選,1800,4031,3696,3716,4608,5007,4103,飯島誠,白井友晴,石渡鉄兵,荒井翔伍,近藤雄一郎,山崎善庸,53,30,56,75,31,74,63,54,80,24,64,55,6.79,6.7,6.76,6.85,6.79,6.84,1,2,3,4,5,6,0.17,0.19,0.12,0.15,0.18,0.19,,113.9,110.2,112.0,,113.4,6,4,1,2,5,3,3,3,4,3-4,3-4,3-4,3-6,4-6,3-4-6,3-4-6,1.2,1.4,3.1,5.0,4.6,1.7,2.0,8.7,23.6,12.2,2,3,3,4,11,9,4,まくり,1
