,date,place_cd,race_no,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari,title_y,day_y,place_y,race_type_y,distance_y,deadline,toban_1_y,toban_2_y,toban_3_y,toban_4_y,toban_5_y,toban_6_y,name_1_y,name_2_y,name_3_y,name_4_y,name_5_y,name_6_y,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1_y,moter_no_2_y,moter_no_3_y,moter_no_4_y,moter_no_5_y,moter_no_6_y,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1_y,boat_no_2_y,boat_no_3_y,boat_no_4_y,boat_no_5_y,boat_no_6_y,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,date_y,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,2021-05-04,18,1,1,2,3,4,5,6,0.22,0.16,0.15,0.17,0.21,0.18,109.8,112.1,113.1,114.9,,,1,2,3,4,5,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.5,1.0,1.2,2.5,2.8,1.6,1.3,2.2,5.5,2.6,1,2,3,1,4,1,1,逃げ,1,日本モーターボート選手会会長賞,4,徳山,モーニング予,1800,08:53,3024,3478,4264,4158,5143,4007,西島義則,嶋田貴支,長尾章平,木場雄二,常盤海心,榮田将彦,広島,香川,山口,山口,徳島,山口,A1,B1,B1,B1,B2,B1,59,50,36,39,20,42,55,52,54,57,54,48,6.74,4.6,5.91,4.46,1.61,2.92,46.62,25.0,40.0,28.13,3.03,11.11,7.1,5.5,6.01,5.91,1.13,4.36,47.92,32.5,42.0,42.45,0.0,27.66,59,53,26,11,45,51,53.85,44.44,12.5,55.56,26.32,61.11,74,62,73,49,33,58,36.36,31.11,19.05,37.27,43.75,35.09,2021-5-4,6.89,7.02,7.01,6.95,7.01,7.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,-0.01,0.1,0.13,0.01,0.05,-0.03,1,2,3,4,5,6,曇り,17.0,7,5.0,16.0,5.0
1,2021-05-04,18,2,1,2,3,4,5,6,0.16,0.33,0.12,0.16,0.18,0.21,111.4,,110.8,113.8,115.3,,2,6,1,3,4,5,3,3,1,3-1,1-3,1-3,3-4,1-4,3-1-4,1-3-4,1.8,1.1,1.0,4.5,2.0,1.1,1.7,1.9,13.1,3.0,2,1,1,2,5,4,2,まくり差し,1,日本モーターボート選手会会長賞,4,徳山,モーニング予,1800,09:22,3350,5083,4361,4390,3711,3815,藤本佳史,柳瀬幹太,柳生泰二,松本弓雄,江本真治,森岡満郎,山口,山口,山口,徳島,山口,岡山,A2,B1,A1,B1,A2,B1,53,22,36,35,46,45,54,54,54,51,53,54,6.27,2.38,6.59,4.86,5.86,4.81,46.23,1.32,49.15,33.65,39.83,22.94,5.51,1.7,6.8,5.29,6.05,5.04,35.96,2.0,54.14,35.71,43.55,30.36,65,72,66,13,61,15,30.77,25.0,16.67,33.33,10.0,12.5,75,14,23,32,42,64,28.57,31.19,34.23,33.64,36.13,36.75,2021-5-4,7.02,6.99,6.99,7.01,7.04,7.06,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,0.14,0.13,0.08,0.21,0.32,0.13,1,2,3,4,5,6,晴,17.0,7,1.0,15.0,1.0
2,2021-05-04,18,3,1,2,3,4,5,6,0.08,0.05,0.06,0.08,0.05,0.04,111.3,111.5,,114.8,,113.1,1,2,5,4,6,3,1,1,2,1-2,1-2,1-2,1-6,2-6,1-2-6,1-2-6,1.8,1.1,2.9,6.3,4.7,1.9,2.7,8.1,27.9,18.8,3,2,2,4,9,10,6,逃げ,1,日本モーターボート選手会会長賞,4,徳山,モーニング予,1800,09:51,4596,4396,3846,4108,3878,4263,葛原大陽,大田直弥,藤井理,吉村正明,胡本悟志,武重雄介,徳島,山口,山口,山口,山口,山口,A2,B1,B1,A1,B1,B1,37,34,44,41,43,36,48,52,61,51,52,55,5.7,5.08,3.92,7.09,4.47,5.29,34.48,30.14,15.58,62.04,23.6,34.82,5.77,5.34,3.74,7.24,4.93,5.77,38.46,29.85,18.32,59.26,30.61,43.75,18,56,68,71,16,63,0.0,23.08,25.0,28.57,25.0,28.57,51,27,44,54,31,48,33.05,41.75,30.0,41.18,36.79,25.69,2021-5-4,6.96,6.96,6.98,6.99,6.99,7.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.14,0.14,0.14,0.09,0.22,0.06,1,2,4,3,5,6,晴,18.0,7,2.0,15.0,2.0
3,2021-05-04,18,4,1,2,3,4,5,6,0.05,0.05,0.09,0.05,0.08,-0.02,111.0,112.4,113.6,114.7,,,1,2,3,4,5,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.0,1.0,1.0,1.5,1.1,1.0,1.1,1.4,2.7,1.6,1,1,1,2,3,1,1,逃げ,1,日本モーターボート選手会会長賞,4,徳山,モーニング予,1800,10:21,4025,3499,4116,3661,4952,4316,山本隆幸,市川哲也,川田正人,柳瀬興志,吉武真也,山口裕太,兵庫,広島,徳島,山口,福岡,広島,A1,A1,B1,B1,B1,B1,43,52,40,51,27,36,52,51,51,58,52,53,6.66,6.23,5.1,5.47,2.64,4.81,51.82,42.86,25.77,35.35,8.33,30.56,6.46,7.23,5.51,5.42,2.75,4.63,53.85,53.33,40.54,34.25,6.25,33.33,48,12,19,22,50,52,15.79,14.29,44.44,25.0,63.64,23.81,40,72,68,57,19,38,39.05,34.86,31.78,35.85,36.96,34.91,2021-5-4,6.93,7.0,6.96,7.0,6.95,7.03,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.18,-0.02,-0.06,-0.06,-0.15,-0.02,1,2,3,4,5,6,晴,18.0,9,2.0,16.0,2.0
4,2021-05-04,18,5,1,2,3,5,4,6,0.09,0.09,0.09,0.14,0.17,0.14,111.0,110.0,112.3,114.1,,,2,1,3,4,5,6,2,2,1,2-1,1-2,1-2,2-3,1-3,2-1-3,1-2-3,9.5,1.2,1.0,20.9,2.7,1.3,1.7,1.0,31.4,1.8,5,2,2,3,1,10,1,差し,0,日本モーターボート選手会会長賞,4,徳山,皐月選抜,1800,10:51,4064,4980,4601,4950,3572,4158,原田篤志,佐々木完,森野正弘,高岡竜也,安田政彦,木場雄二,山口,山口,山口,山口,兵庫,山口,A1,A2,A1,B1,A1,B1,41,24,36,27,49,39,52,51,52,52,53,57,6.2,6.34,6.56,4.71,5.69,4.46,39.71,44.64,44.54,26.72,33.33,28.13,7.11,5.3,6.74,4.42,6.35,5.91,53.9,28.71,49.28,24.56,44.12,42.45,49,69,47,24,20,11,45.45,50.0,34.78,12.5,25.0,55.56,50,52,39,18,66,49,38.83,36.36,37.86,36.36,39.0,37.27,2021-5-4,6.93,6.96,6.95,6.98,7.01,6.96,-0.5,-0.5,0.0,0.0,-0.5,-0.5,0.07,0.18,0.08,-0.04,-0.04,-0.01,1,2,3,5,4,6,晴,19.0,9,2.0,16.0,2.0
5,2021-05-04,18,6,1,2,3,4,5,6,0.16,0.13,0.16,0.21,0.12,0.14,112.2,113.3,114.6,,111.2,,2,3,4,6,1,5,5,5,1,5-1,1-5,1-5,2-5,1-2,5-1-2,1-2-5,2.7,1.0,1.6,11.2,4.8,1.7,1.3,1.1,21.5,2.3,6,2,3,2,1,10,1,抜き,1,日本モーターボート選手会会長賞,4,徳山,予選,1800,11:21,3553,4015,3282,3295,3897,5143,平池仁志,前野竜一,池本輝明,濱村芳宏,白井英治,常盤海心,香川,山口,広島,徳島,山口,徳島,B1,A2,B1,B1,A1,B2,49,41,54,54,44,20,54,59,51,54,55,54,4.5,5.89,5.66,5.2,7.72,1.61,20.27,38.32,37.38,35.0,57.14,3.03,5.2,6.41,5.49,4.25,8.9,1.13,26.67,44.9,36.73,18.75,76.52,0.0,67,23,25,14,57,45,38.46,50.0,55.56,0.0,25.0,26.32,70,61,43,12,45,33,27.45,35.79,43.36,38.46,35.78,43.75,2021-5-4,7.03,7.08,7.01,7.02,6.98,7.1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.06,0.0,0.05,0.01,0.22,0.09,1,2,3,4,5,6,晴,19.0,9,1.0,16.0,1.0
6,2021-05-04,18,7,1,2,3,4,5,6,0.08,0.1,0.11,0.13,0.26,0.42,110.4,114.2,112.0,115.4,,,1,3,2,4,5,6,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,1.6,1.0,1.0,4.7,4.5,1.2,1.1,1.5,9.6,2.0,2,3,2,1,4,2,1,逃げ,1,日本モーターボート選手会会長賞,4,徳山,予選,1800,11:51,4592,4108,3955,3930,4511,5126,小林孝弘,吉村正明,眞田英二,岸本隆,中岡健人,山下大輝,山口,山口,徳島,岡山,香川,兵庫,B1,A1,A2,A2,B1,B2,40,41,44,45,32,24,52,51,53,58,58,52,4.32,7.09,6.7,5.62,4.97,2.56,21.51,62.04,48.21,38.58,27.63,3.7,4.54,7.24,5.87,5.17,4.24,2.11,20.88,59.26,40.32,29.79,20.69,0.0,64,71,54,17,27,55,38.46,28.57,68.18,44.44,36.84,35.71,29,54,46,21,36,13,39.56,41.18,34.82,36.79,37.61,44.12,2021-5-4,6.99,7.06,7.02,7.04,7.03,7.06,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.06,0.04,0.03,0.01,-0.09,0.03,1,2,3,4,5,6,晴,19.0,7,2.0,16.0,2.0
7,2021-05-04,18,8,1,2,3,4,5,6,0.11,0.1,0.15,0.1,0.06,0.09,,112.1,116.6,114.7,111.2,,5,2,4,3,1,6,5,5,2,5-2,2-5,2-5,4-5,2-4,5-2-4,2-4-5,3.5,1.1,2.8,13.2,3.3,1.7,3.7,2.4,42.5,6.0,6,1,1,9,5,17,5,まくり差し,1,日本モーターボート選手会会長賞,4,徳山,予選,1800,12:25,3846,3484,3350,4264,4980,4952,藤井理,芝田浩治,藤本佳史,長尾章平,佐々木完,吉武真也,山口,兵庫,山口,山口,山口,福岡,B1,A1,A2,B1,A2,B1,44,49,53,36,24,27,61,54,54,54,51,52,3.92,6.06,6.27,5.91,6.34,2.64,15.58,44.25,46.23,40.0,44.64,8.33,3.74,6.91,5.51,6.01,5.3,2.75,18.32,63.64,35.96,42.0,28.71,6.25,68,60,65,26,69,50,25.0,25.0,30.77,12.5,50.0,63.64,44,28,75,73,52,19,30.0,42.72,28.57,19.05,36.36,36.96,2021-5-4,6.98,6.98,7.05,7.05,6.99,6.98,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.06,0.03,0.12,0.02,0.01,0.31,1,2,3,4,5,6,晴,19.0,7,2.0,16.0,2.0
8,2021-05-04,18,9,1,2,3,4,5,6,0.21,0.18,0.19,0.25,0.21,0.28,111.1,113.5,,,114.2,114.9,1,2,6,5,3,4,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,1.8,1.0,1.7,5.4,2.9,1.8,1.4,3.9,16.3,5.4,3,1,3,1,7,4,3,逃げ,1,日本モーターボート選手会会長賞,4,徳山,予選,1800,12:57,4390,4007,4023,4116,4155,3572,松本弓雄,榮田将彦,柴田友和,川田正人,長野壮志,安田政彦,徳島,山口,福岡,徳島,福岡,兵庫,B1,B1,B1,B1,A2,A1,35,42,43,40,40,49,51,48,52,51,58,53,4.86,2.92,4.09,5.1,5.54,5.69,33.65,11.11,14.58,25.77,35.2,33.33,5.29,4.36,4.22,5.51,5.92,6.35,35.71,27.66,11.11,40.54,46.15,44.12,13,51,46,19,21,20,33.33,61.11,28.57,44.44,25.0,25.0,32,58,34,68,53,66,33.64,35.09,32.17,31.78,44.25,39.0,2021-5-4,7.01,7.07,7.06,7.07,7.0,7.04,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.13,0.13,0.21,0.13,-0.04,-0.1,1,2,3,4,5,6,曇り,18.0,7,3.0,16.0,3.0
9,2021-05-04,18,10,1,2,3,4,5,6,0.17,0.18,0.15,0.23,0.16,0.13,113.6,111.4,115.4,,112.6,,3,1,4,5,2,6,2,2,5,2-5,2-5,2-5,1-2,1-5,2-5-1,1-2-5,2.4,1.0,12.3,44.7,52.4,9.4,1.7,6.0,282.2,25.6,11,9,12,2,8,48,8,差し,1,日本モーターボート選手会会長賞,4,徳山,予選,1800,13:32,3878,4601,4025,3282,5083,3478,胡本悟志,森野正弘,山本隆幸,池本輝明,柳瀬幹太,嶋田貴支,山口,山口,兵庫,広島,山口,香川,B1,A1,A1,B1,B1,B1,43,36,43,54,22,50,52,52,52,51,54,52,4.47,6.56,6.66,5.66,2.38,4.6,23.6,44.54,51.82,37.38,1.32,25.0,4.93,6.74,6.46,5.49,1.7,5.5,30.61,49.28,53.85,36.73,2.0,32.5,16,47,48,25,72,53,25.0,34.78,15.79,55.56,25.0,44.44,31,39,40,43,14,62,36.79,37.86,39.05,43.36,31.19,31.11,2021-5-4,6.99,6.97,7.0,7.03,7.01,7.07,-0.5,0.0,0.0,-0.5,-0.5,-0.5,0.16,0.22,0.09,0.02,-0.08,0.09,1,2,3,4,5,6,曇り,18.0,7,3.0,16.0,3.0
