,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,第32回ウインビーカップ,4,2021-05-04,2,戸田,1,予選,1800,4432,3406,5065,3353,4186,5191,黄金井力良,中里英夫,伊久間陽優,前田光昭,小川時光,飛田江己,57,7,42,6,4,62,62,19,20,16,24,68,6.69,6.74,6.76,6.75,6.74,6.68,1,2,3,4,5,6,0.21,0.31,0.27,0.25,0.24,0.21,109.4,112.9,,114.4,111.7,,1,3,5,4,2,6,1,1,5,1-5,1-5,1-5,1-2,2-5,1-5-2,1-2-5,1.7,1.2,1.8,6.4,5.5,1.8,1.1,2.5,15.6,3.8,2,2,3,1,5,4,2,逃げ,1
1,第32回ウインビーカップ,4,2021-05-04,2,戸田,2,予選,1800,3546,4037,4109,3066,5112,5147,中里昌志,別府正幸,谷津幸宏,田中定雄,砂長知輝,田中勇輔,49,37,47,27,19,30,73,29,33,67,35,54,6.72,6.8,6.84,6.79,6.77,6.73,1,2,3,4,5,6,0.01,0.07,0.09,0.09,0.06,0.16,109.7,,112.1,113.4,110.6,,1,5,3,4,2,6,1,1,5,1-5,1-5,1-5,1-3,3-5,1-5-3,1-3-5,1.5,1.0,2.4,14.5,8.1,2.1,1.3,1.5,24.9,4.0,5,4,5,1,2,9,2,逃げ,1
2,第32回ウインビーカップ,4,2021-05-04,2,戸田,3,予選,1800,3594,3679,4573,3629,3251,3807,塚原武之,飯島昌弘,佐藤翼,浅見昌克,平石和男,岡部哲,44,51,36,25,54,17,42,23,14,51,53,32,6.68,6.69,6.65,6.6,6.61,6.65,1,2,3,4,5,6,0.14,0.14,0.16,0.11,0.19,0.18,,111.9,108.8,110.3,,113.3,6,3,1,2,5,4,3,3,4,3-4,3-4,3-4,2-3,2-4,3-4-2,2-3-4,2.1,1.1,1.9,8.9,7.3,1.6,1.3,1.7,19.3,4.3,3,4,2,1,3,3,1,まくり,1
3,第32回ウインビーカップ,4,2021-05-04,2,戸田,4,予選,1800,4488,3319,4953,4090,4230,3860,小山勉,山崎義明,尾上雅也,中村尊,濱崎直矢,松本浩貴,23,28,16,13,40,58,55,60,59,65,77,25,6.63,6.69,6.65,6.67,6.68,6.66,1,2,3,4,5,6,0.13,0.15,0.16,0.21,0.25,0.26,108.9,,110.4,113.9,,112.5,1,5,2,4,6,3,1,1,3,1-3,1-3,1-3,1-6,3-6,1-3-6,1-3-6,2.0,1.0,2.2,10.4,6.5,3.0,9.8,22.9,78.1,42.3,3,3,5,13,15,29,15,逃げ,1
4,第32回ウインビーカップ,4,2021-05-04,2,戸田,5,ウインウイン,1800,3589,5066,3647,3952,4201,4973,西村勝,鈴木孝明,伊藤雄二,中澤和志,佐竹友樹,栗原直也,8,65,53,31,9,5,44,21,38,70,43,57,6.6,6.59,6.67,6.68,6.66,6.61,1,2,3,4,5,6,0.15,0.17,0.23,0.18,0.19,0.24,109.1,,,109.9,112.6,114.5,1,6,5,2,3,4,1,1,4,1-4,1-4,1-4,1-5,4-5,1-4-5,1-4-5,1.3,1.0,1.0,3.1,2.7,1.2,2.2,1.9,8.7,4.0,1,1,1,5,2,1,2,逃げ,1
5,第32回ウインビーカップ,4,2021-05-04,2,戸田,6,予選,1800,3406,4428,3983,4109,4809,4191,中里英夫,有賀達也,須藤博倫,谷津幸宏,外崎悟,赤羽克也,7,3,63,47,18,21,19,27,76,33,30,48,6.72,6.74,6.71,6.66,6.64,6.68,1,2,3,4,5,6,0.15,0.15,0.14,0.13,0.12,0.1,111.2,114.2,109.8,,,113.0,2,4,1,5,6,3,3,3,1,3-1,1-3,1-3,3-6,1-6,3-1-6,1-3-6,2.6,1.4,1.0,11.9,7.7,1.8,5.8,4.9,58.8,22.1,5,4,1,11,8,25,12,差し,1
6,第32回ウインビーカップ,4,2021-05-04,2,戸田,7,ウインウイン,1800,4144,4432,3583,3596,3482,5167,石塚久也,黄金井力良,齋藤智裕,河上年昭,金子猛志,小川竜太朗,46,57,38,24,52,1,72,62,52,22,69,50,6.61,6.62,6.7,6.64,6.72,6.66,1,2,3,4,5,6,0.11,0.08,0.08,0.13,0.11,0.09,108.7,112.6,112.2,,111.2,,1,4,3,6,2,5,1,1,5,1-5,1-5,1-5,1-3,3-5,1-5-3,1-3-5,1.1,1.3,5.0,7.8,7.7,2.7,2.3,8.4,55.2,23.9,4,3,4,3,11,16,7,逃げ,1
7,第32回ウインビーカップ,4,2021-05-04,2,戸田,8,予選,1800,3075,4444,4488,4258,4505,3629,中村裕将,桐生順平,小山勉,関根彰人,島田賢人,浅見昌克,22,11,23,15,32,25,34,15,55,74,75,51,6.76,6.74,6.63,6.69,6.63,6.65,1,2,3,4,5,6,0.14,0.12,0.13,0.15,0.08,0.1,,,109.4,112.9,111.4,113.4,6,5,1,3,2,4,3,3,5,3-5,3-5,3-5,3-4,4-5,3-5-4,3-4-5,5.6,2.5,4.7,30.7,18.1,3.9,9.0,16.0,258.5,49.6,11,7,5,12,14,59,17,まくり,1
8,第32回ウインビーカップ,4,2021-05-04,2,戸田,9,予選,1800,3952,3860,3679,4037,4203,4547,中澤和志,松本浩貴,飯島昌弘,別府正幸,小倉康典,中田竜太,31,58,51,37,60,43,70,25,23,29,31,46,6.65,6.71,6.71,6.77,6.78,6.74,1,2,3,4,5,6,0.19,0.2,0.12,0.15,0.14,0.15,109.0,112.7,111.2,,,110.0,1,4,3,5,6,2,1,1,6,1-6,1-6,1-6,1-3,3-6,1-6-3,1-3-6,1.4,1.2,2.9,8.5,7.3,1.9,1.3,2.4,14.6,3.7,4,3,3,1,5,5,2,逃げ,1
9,第32回ウインビーカップ,4,2021-05-04,2,戸田,10,予選特別,1800,4573,4191,3319,3065,3647,4233,佐藤翼,赤羽克也,山崎義明,増田弘喜,伊藤雄二,亀山雅幸,36,21,28,48,53,20,14,48,60,26,38,63,6.75,6.71,6.74,6.75,6.77,6.77,1,2,3,4,5,6,0.18,0.07,0.06,0.08,0.15,0.2,110.2,108.8,112.3,,,112.0,2,1,4,5,6,3,2,2,1,2-1,1-2,1-2,2-6,1-6,2-1-6,1-2-6,8.0,2.4,1.0,14.4,2.4,1.5,5.3,3.1,64.4,11.3,5,1,2,9,5,20,5,まくり,1
