,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,第48回上毛新聞社杯,5,2021-05-04,1,桐生,1,一般,1800,3310,4887,5006,5090,3235,4862,金澤一洋,富澤祐作,久保原秀人,生方靖亜,鈴木唯由,武藤直志,68,57,25,51,53,41,24,50,71,41,55,56,6.71,6.75,6.7,6.76,6.76,6.75,1,2,3,4,5,6,0.16,0.1,0.13,0.13,0.11,0.12,112.1,116.9,110.8,112.2,115.9,114.7,2,6,1,3,5,4,3,3,1,3-1,1-3,1-3,3-4,1-4,3-1-4,1-3-4,4.5,1.5,1.0,18.3,5.3,2.0,2.7,4.2,43.3,11.2,9,3,2,4,7,17,5,まくり差し,1
1,第48回上毛新聞社杯,5,2021-05-04,1,桐生,2,一般,1800,2841,3652,3850,3664,5150,4281,吉田稔,森下勇,小川知行,鈴木賢一,坂本雄紀,大澤大夢,61,30,55,22,45,39,62,43,36,72,61,67,6.66,6.75,6.61,6.7,6.82,6.75,1,5,2,3,6,4,0.13,0.2,0.15,0.08,0.21,0.12,114.8,111.7,117.6,113.8,115.8,109.9,4,2,6,3,5,1,6,6,2,6-2,2-6,2-6,4-6,2-4,6-2-4,2-4-6,8.0,7.5,14.3,141.4,55.6,9.1,2.9,4.4,280.6,16.8,23,11,10,5,7,62,8,まくり差し,0
2,第48回上毛新聞社杯,5,2021-05-04,1,桐生,3,一般,1800,3889,3653,4637,5103,3973,4888,須藤隆雄,品川賢次,中田友也,芝田京介,崎利仁,金児隆太,69,67,23,62,27,50,12,68,53,45,18,42,6.65,6.78,6.75,6.72,6.72,6.66,1,2,3,6,4,5,0.13,0.19,0.18,0.14,0.2,0.1,109.9,111.9,112.7,116.1,113.2,113.9,1,2,3,6,4,5,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.6,1.4,2.3,5.3,3.6,1.5,1.3,1.8,10.8,4.2,2,2,2,1,3,3,1,逃げ,0
3,第48回上毛新聞社杯,5,2021-05-04,1,桐生,4,一般,1800,3448,3947,3445,4177,4766,5087,高山秀雄,寺本昇平,加藤高史,萬正嗣,石井孝之,佐藤航,37,18,56,64,74,75,57,44,14,27,35,70,6.65,6.69,6.72,6.71,6.7,6.64,1,2,3,6,4,5,0.12,0.13,0.1,0.14,0.11,0.05,129.9,112.1,131.4,113.6,117.9,115.0,5,1,6,2,4,3,2,2,4,2-4,2-4,2-4,2-6,4-6,2-4-6,2-4-6,8.7,3.0,3.3,53.0,16.0,3.2,12.3,12.3,260.7,62.7,17,6,5,13,13,60,16,抜き,0
4,第48回上毛新聞社杯,5,2021-05-04,1,桐生,5,一般,1800,3619,3441,4281,5100,5006,4887,長谷川充,土屋太朗,大澤大夢,栗原一馬,久保原秀人,富澤祐作,71,28,39,48,25,57,69,51,67,16,71,50,6.68,6.69,6.71,6.79,6.7,6.76,1,2,3,4,5,6,0.17,0.21,0.22,0.3,0.16,0.19,114.2,112.0,112.1,115.9,111.5,110.5,5,3,4,6,2,1,6,6,5,6-5,5-6,5-6,2-6,2-5,6-5-2,2-5-6,7.7,3.4,3.2,205.0,46.9,23.6,14.0,6.4,952.9,127.8,29,14,15,13,9,119,20,まくり差し,1
5,第48回上毛新聞社杯,5,2021-05-04,1,桐生,6,一般,1800,4539,4888,4862,3850,3310,5150,金子賢志,金児隆太,武藤直志,小川知行,金澤一洋,坂本雄紀,52,50,41,55,68,45,66,42,56,36,24,61,6.76,6.64,6.76,6.7,6.77,6.72,1,2,3,4,5,6,0.16,0.12,0.14,0.13,0.23,0.22,110.8,109.5,114.3,113.1,115.9,116.7,2,1,4,3,5,6,2,2,1,2-1,1-2,1-2,2-4,1-4,2-1-4,1-2-4,3.5,1.3,1.1,5.7,2.1,1.1,1.9,1.3,11.6,2.1,3,1,1,5,2,4,1,差し,1
6,第48回上毛新聞社杯,5,2021-05-04,1,桐生,7,一般,1800,3664,4766,3414,3653,4637,5090,鈴木賢一,石井孝之,加瀬智宏,品川賢次,中田友也,生方靖亜,22,74,33,67,23,51,72,35,13,68,53,41,6.7,6.67,6.74,6.83,6.72,6.7,1,2,3,4,5,6,0.12,0.13,0.18,0.23,0.21,0.22,110.4,118.2,111.6,113.8,112.9,114.6,1,6,2,4,3,5,1,1,3,1-3,1-3,1-3,1-5,3-5,1-3-5,1-3-5,1.5,1.0,1.0,2.4,1.3,1.3,2.1,2.8,8.2,4.7,1,1,1,4,5,1,2,逃げ,1
7,第48回上毛新聞社杯,5,2021-05-04,1,桐生,8,一般,1800,3445,3235,3973,5087,3652,5103,加藤高史,鈴木唯由,崎利仁,佐藤航,森下勇,芝田京介,56,53,27,75,30,62,28,55,18,70,43,45,6.72,6.75,6.73,6.68,6.72,6.66,1,2,3,4,5,6,0.21,0.26,0.12,0.06,0.1,0.07,111.1,117.1,112.9,109.2,114.7,114.4,2,6,3,1,5,4,4,4,1,4-1,1-4,1-4,3-4,1-3,4-1-3,1-3-4,6.6,3.0,2.1,7.2,2.1,1.3,1.9,1.5,15.1,3.4,3,1,1,3,2,6,1,まくり差し,1
8,第48回上毛新聞社杯,5,2021-05-04,1,桐生,9,準優勝戦,1800,3622,3740,4091,4486,3880,4550,山崎智也,大澤普司,荒田泰明,野村誠,浅見宗孝,石岡将太,46,35,47,24,49,16,48,34,32,23,63,19,6.66,6.7,6.67,6.71,6.76,6.64,1,2,3,4,5,6,0.14,0.13,0.07,0.07,0.15,0.11,109.3,110.0,112.8,112.3,114.2,126.9,1,2,4,3,5,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.0,1.0,1.7,2.3,1.8,1.2,1.4,2.7,5.4,3.0,1,1,1,2,5,1,1,抜き,1
9,第48回上毛新聞社杯,5,2021-05-04,1,桐生,10,準優勝戦,1800,3686,3159,4851,4305,4532,3497,鳥居塚孝博,江口晃生,関浩哉,金子拓矢,秋元哲,後藤浩,29,60,43,20,13,73,20,26,33,52,17,22,6.7,6.72,6.68,6.73,6.71,6.71,1,2,3,4,5,6,0.13,0.15,0.24,0.12,0.15,0.28,112.0,112.5,109.5,108.9,116.1,114.2,3,4,2,1,6,5,4,4,3,4-3,3-4,3-4,1-4,1-3,4-3-1,1-3-4,22.8,8.3,6.6,45.3,21.8,4.5,2.4,1.9,148.9,5.6,13,6,6,5,2,38,3,まくり差し,1
