,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,江戸川634杯モーターボート大賞,3,2020-07-03,3,江戸川,1,予選,1800,4415,4093,4376,4610,4692,4580,下出卓矢,吉田宗弘,藤田靖弘,佐藤大佑,酒井俊弘,長谷川雅和,66,11,16,53,55,52,59,70,55,13,26,50,6.75,6.8,6.81,6.6,6.63,6.81,1,2,3,4,5,6,0.03,0.08,0.11,0.08,0.08,0.11,,,117.5,113.4,116.5,114.8,6,5,4,1,3,2,4,4,6,4-6,4-6,4-6,4-5,5-6,4-6-5,4-5-6,2.3,2.0,9.4,15.8,15.9,5.1,3.3,7.5,59.3,17.7,7,6,8,4,12,25,11,まくり,1
1,江戸川634杯モーターボート大賞,3,2020-07-03,3,江戸川,2,予選,1800,4210,4318,4486,4624,4598,4324,松村康太,桑原将光,野村誠,高田明,加藤政彦,海野康志郎,20,14,17,60,10,71,67,32,10,24,31,11,6.87,6.85,6.91,6.73,6.78,6.99,1,2,3,4,5,6,0.16,0.14,0.19,0.12,0.17,0.15,129.4,115.6,,118.7,,123.1,4,1,5,2,6,3,2,2,4,2-4,2-4,2-4,2-6,4-6,2-4-6,2-4-6,4.6,2.5,1.5,11.2,8.3,2.1,5.2,4.0,35.9,11.3,4,3,2,11,6,9,5,差し,1
2,江戸川634杯モーターボート大賞,3,2020-07-03,3,江戸川,3,予選,1800,4379,4067,4082,4793,4769,4601,桑島和宏,永井源,濱崎誠,金子萌,馬場剛,森野正弘,57,13,32,56,38,40,30,54,56,33,48,16,6.87,6.78,6.73,6.81,6.81,6.83,1,2,3,4,5,6,0.18,0.21,0.14,0.13,0.11,0.12,113.9,116.8,113.2,115.8,,,2,4,1,3,6,5,3,3,1,3-1,1-3,1-3,3-4,1-4,3-1-4,1-3-4,6.4,2.1,1.2,17.2,4.2,2.8,5.9,3.4,94.1,16.4,7,2,4,9,5,34,7,まくり差し,1
3,江戸川634杯モーターボート大賞,3,2020-07-03,3,江戸川,4,予選,1800,3699,3978,4734,4084,4818,4148,富永正人,齊藤仁,安河内将,杉山正樹,伏見俊介,枝尾賢,26,36,62,65,51,24,20,15,69,51,63,49,6.86,6.85,6.86,6.85,6.96,6.93,1,2,3,4,5,6,0.09,0.09,0.04,0.07,0.14,0.06,112.0,113.4,116.8,,115.4,,1,2,4,6,3,5,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,3.0,1.4,1.2,5.6,3.3,2.1,6.4,7.0,42.4,16.4,1,1,1,11,12,15,8,抜き,1
4,江戸川634杯モーターボート大賞,3,2020-07-03,3,江戸川,6,予選,1800,4692,4335,3685,4324,3679,4535,酒井俊弘,若林将,荒井輝年,海野康志郎,飯島昌弘,北山康介,55,58,61,71,34,23,26,43,60,11,38,47,6.79,6.87,6.87,6.83,6.93,6.98,1,2,3,4,5,6,0.17,0.21,0.18,0.21,0.26,0.24,113.7,116.7,114.7,,,115.9,1,4,2,6,5,3,1,1,3,1-3,1-3,1-3,1-6,3-6,1-3-6,1-3-6,2.1,1.6,2.4,11.1,6.7,3.9,5.4,8.7,59.9,30.5,4,2,6,9,12,23,15,逃げ,1
5,江戸川634杯モーターボート大賞,3,2020-07-03,3,江戸川,7,予選,1800,4798,4598,4759,4362,4388,4376,浜先真範,加藤政彦,今泉友吾,土屋智則,是澤孝宏,藤田靖弘,31,10,64,47,12,16,61,31,14,66,45,55,6.89,6.82,6.9,6.81,6.92,7.04,1,2,3,4,5,6,0.11,0.17,0.22,0.12,0.21,0.27,,,114.9,114.1,117.0,117.3,6,5,2,1,3,4,4,4,3,4-3,3-4,3-4,4-5,3-5,4-3-5,3-4-5,12.5,1.9,1.5,17.6,6.3,2.2,4.5,2.6,51.6,7.6,8,3,2,10,4,18,4,まくり,1
6,江戸川634杯モーターボート大賞,3,2020-07-03,3,江戸川,8,予選,1800,4793,4384,4468,4297,4093,4486,金子萌,鶴本崇文,大池佑来,山田哲也,吉田宗弘,野村誠,56,69,41,45,11,17,33,21,28,12,70,10,6.94,6.92,6.87,6.89,6.87,7.09,1,2,3,4,5,6,0.1,0.14,0.05,0.08,0.09,0.35,116.1,,111.3,114.2,114.8,,4,6,1,2,3,5,3,3,4,3-4,3-4,3-4,3-5,4-5,3-4-5,3-4-5,10.0,5.0,5.9,15.5,8.8,3.0,5.9,5.2,55.9,14.2,7,5,6,10,9,23,8,まくり,1
7,江戸川634杯モーターボート大賞,3,2020-07-03,3,江戸川,9,予選,1800,4430,4608,4311,3876,3966,4624,永田秀二,荒井翔伍,岡村仁,中辻崇人,作間章,高田明,30,50,37,48,19,60,57,29,27,64,71,24,6.76,6.91,6.85,6.79,6.87,6.82,1,2,3,4,5,6,0.14,0.09,0.09,0.07,0.22,0.19,113.1,,112.7,115.9,,114.5,2,5,1,4,6,3,3,3,1,3-1,1-3,1-3,3-6,1-6,3-1-6,1-3-6,12.8,1.0,1.2,16.4,4.6,2.4,5.6,6.6,100.6,15.3,6,3,3,11,12,34,7,まくり差し,1
8,江戸川634杯モーターボート大賞,3,2020-07-03,3,江戸川,10,予選,1800,4682,3996,4210,4535,4148,3256,大上卓人,秋山直之,松村康太,北山康介,枝尾賢,三角哲男,35,33,20,23,24,18,46,58,67,47,49,17,6.87,6.93,6.83,6.91,6.93,6.94,1,2,3,4,5,6,0.21,0.23,0.19,0.25,0.14,0.36,,124.9,128.1,,120.6,129.3,5,2,3,6,1,4,5,5,2,5-2,2-5,2-5,3-5,2-3,5-2-3,2-3-5,12.7,1.6,4.1,56.1,22.6,3.8,6.1,5.6,355.3,49.2,22,12,6,13,11,115,18,まくり,1
9,江戸川634杯モーターボート大賞,3,2020-07-03,3,江戸川,11,予選,1800,4388,3874,4335,4614,4379,4084,是澤孝宏,山本寛久,若林将,石倉洋行,桑島和宏,杉山正樹,12,49,58,59,57,65,45,37,43,62,30,51,6.79,6.67,6.75,6.77,6.79,6.74,1,2,3,4,5,6,0.16,0.12,0.11,0.36,0.14,0.27,,115.2,112.6,,114.9,114.1,6,4,1,5,3,2,3,3,6,3-6,3-6,3-6,3-5,5-6,3-6-5,3-5-6,4.3,2.9,8.3,28.4,16.2,4.5,3.9,7.5,90.6,17.9,14,9,10,7,13,36,9,差し,1
