,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,浜松市長杯争奪戦やらまいかカップ,6,2021-05-04,6,浜名湖,1,一般,1800,4209,4740,3796,4216,4131,4073,藤田竜弘,齋藤達希,長野道臣,星栄爾,原豊土,大橋純一郎,40,26,21,33,5,39,21,72,28,76,73,52,6.65,6.71,6.69,6.67,6.71,6.66,1,2,3,4,5,6,0.16,0.1,0.07,0.16,0.16,0.15,111.2,110.2,113.7,,112.5,,2,1,4,5,3,6,2,2,1,2-1,1-2,1-2,2-5,1-5,2-1-5,1-2-5,6.6,2.5,1.1,39.2,8.4,5.4,27.0,2.5,258.8,23.0,14,4,10,15,2,62,11,差し,1
1,浜松市長杯争奪戦やらまいかカップ,6,2021-05-04,6,浜名湖,2,一般,1800,3461,3995,4076,5079,4524,4360,渡邊哲也,重野哲之,杉田篤光,大石真央,深谷知博,庄司孝輔,1,13,35,11,23,25,57,61,69,65,75,56,6.63,6.67,6.69,6.71,6.76,6.7,1,2,3,4,5,6,0.17,0.09,0.09,0.12,0.12,0.2,,111.5,114.6,112.3,112.6,,5,1,4,2,3,6,2,2,4,2-4,2-4,2-4,2-5,4-5,2-4-5,2-4-5,2.0,2.8,17.6,43.9,24.8,5.9,1.4,10.0,168.0,29.3,15,7,9,1,12,46,11,まくり,1
2,浜松市長杯争奪戦やらまいかカップ,6,2021-05-04,6,浜名湖,3,一般,1800,3294,4793,3474,4124,4033,5076,野中義生,金子萌,松瀬弘美,池田雄一,伊藤将吉,石原光,37,56,45,22,19,20,62,49,36,24,55,53,6.63,6.6,6.66,6.67,6.63,6.68,1,2,3,4,5,6,0.03,0.07,0.1,0.2,0.16,0.35,111.7,115.0,,115.4,113.3,,1,3,5,4,2,6,1,1,5,1-5,1-5,1-5,1-2,2-5,1-5-2,1-2-5,1.8,1.9,4.2,11.3,9.0,3.3,1.6,2.0,26.3,2.6,5,4,6,1,3,8,1,逃げ,1
3,浜松市長杯争奪戦やらまいかカップ,6,2021-05-04,6,浜名湖,4,ランチタイム,1800,4207,3981,3422,5080,3839,2014,松下一也,今坂晃広,服部幸男,鈴木慶太,川合理司,高塚清一,8,51,57,28,17,29,17,74,51,59,32,15,6.59,6.64,6.69,6.72,6.69,6.76,1,2,3,4,5,6,0.18,0.2,0.21,0.22,0.2,0.12,111.6,112.8,113.8,,,113.3,1,2,4,6,5,3,1,1,2,1-2,1-2,1-2,1-6,2-6,1-2-6,1-2-6,1.0,1.0,2.3,2.8,2.7,1.6,2.1,2.6,13.9,9.5,2,2,2,3,5,5,4,逃げ,1
4,浜松市長杯争奪戦やらまいかカップ,6,2021-05-04,6,浜名湖,5,一般,1800,4417,3489,3960,3987,4150,3630,服部剛,大場敏,菊地孝平,後藤正宗,山田雄太,黒田誠司,15,30,43,6,65,10,68,47,70,48,18,64,6.63,6.64,6.67,6.64,6.65,6.67,1,2,3,4,5,6,0.08,0.07,0.09,0.12,0.13,0.09,110.5,114.4,113.2,,110.1,,2,4,3,6,1,5,5,5,1,5-1,1-5,1-5,3-5,1-3,5-1-3,1-3-5,18.5,8.8,4.3,42.5,11.9,4.7,2.9,2.4,114.1,9.8,17,6,8,5,3,41,4,抜き,1
5,浜松市長杯争奪戦やらまいかカップ,6,2021-05-04,6,浜名湖,6,一般,1800,4989,4933,3956,3909,4740,4058,石原翼,板橋侑我,横澤剛治,佐々木康幸,齋藤達希,野末智一,38,34,14,9,26,44,19,50,39,54,72,25,6.68,6.68,6.73,6.71,6.62,6.76,1,2,3,4,5,6,0.2,0.18,0.15,0.16,0.22,0.27,111.6,114.3,114.2,113.2,,,1,4,3,2,6,5,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.4,1.0,1.8,6.0,4.5,2.6,1.9,2.3,17.0,4.9,3,3,6,3,5,6,3,逃げ,1
6,浜松市長杯争奪戦やらまいかカップ,6,2021-05-04,6,浜名湖,7,ブレイクタイ,1800,3563,4360,3294,3744,3796,4068,堤昇,庄司孝輔,野中義生,徳増秀樹,長野道臣,幸田智裕,41,25,37,27,21,7,27,56,62,16,28,58,6.73,6.65,6.72,6.63,6.69,6.71,1,2,3,4,5,6,0.2,0.19,0.22,0.13,0.17,0.17,115.5,114.6,,112.5,,113.3,4,3,6,1,5,2,4,4,6,4-6,4-6,4-6,2-4,2-6,4-6-2,2-4-6,3.0,1.7,3.2,27.6,27.6,3.4,2.8,10.8,119.3,27.7,9,9,5,4,13,35,8,まくり差し,1
7,浜松市長杯争奪戦やらまいかカップ,6,2021-05-04,6,浜名湖,8,一般,1800,4131,3474,3811,3959,3990,5080,原豊土,松瀬弘美,石田章央,坪井康晴,芹澤克彦,鈴木慶太,5,45,3,24,2,28,73,36,13,22,14,59,6.6,6.65,6.68,6.57,6.64,6.69,1,2,3,4,5,6,0.11,0.16,0.11,0.38,0.21,0.25,110.5,114.8,,114.9,112.8,,1,3,5,4,2,6,1,1,5,1-5,1-5,1-5,1-2,2-5,1-5-2,1-2-5,1.8,1.6,7.6,20.4,18.0,4.6,5.4,11.7,130.4,32.9,7,7,6,9,10,33,10,逃げ,1
8,浜松市長杯争奪戦やらまいかカップ,6,2021-05-04,6,浜名湖,9,一般,1800,3839,4342,4124,4076,4417,4376,川合理司,谷野錬志,池田雄一,杉田篤光,服部剛,藤田靖弘,17,16,22,35,15,4,32,67,24,69,68,40,6.65,6.69,6.69,6.69,6.64,6.71,1,2,3,4,5,6,0.11,0.12,0.13,0.12,0.13,0.11,,111.3,,112.2,113.8,114.4,5,1,6,2,3,4,2,2,4,2-4,2-4,2-4,2-5,4-5,2-4-5,2-4-5,1.5,1.0,2.3,4.7,6.0,2.2,3.7,4.4,28.4,12.6,1,2,2,6,9,9,6,差し,1
9,浜松市長杯争奪戦やらまいかカップ,6,2021-05-04,6,浜名湖,10,準優勝戦,1800,4033,4524,4150,3422,4209,3956,伊藤将吉,深谷知博,山田雄太,服部幸男,藤田竜弘,横澤剛治,19,23,65,57,40,14,55,75,18,51,21,39,6.62,6.71,6.65,6.68,6.68,6.7,1,2,3,4,5,6,0.07,0.11,0.11,0.13,0.14,0.14,110.7,,111.9,113.3,113.9,,1,5,2,3,4,6,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.2,1.0,2.6,3.9,4.3,1.8,2.3,2.4,12.4,9.3,2,2,2,4,5,4,3,逃げ,1
