,date,place_cd,race_no,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari,title_y,day_y,place_y,race_type_y,distance_y,deadline,toban_1_y,toban_2_y,toban_3_y,toban_4_y,toban_5_y,toban_6_y,name_1_y,name_2_y,name_3_y,name_4_y,name_5_y,name_6_y,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1_y,moter_no_2_y,moter_no_3_y,moter_no_4_y,moter_no_5_y,moter_no_6_y,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1_y,boat_no_2_y,boat_no_3_y,boat_no_4_y,boat_no_5_y,boat_no_6_y,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,date_y,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,2021-05-04,11,1,1,2,3,4,5,6,0.1,0.11,0.11,0.19,0.1,0.14,109.8,111.6,,,108.8,114.0,2,3,6,5,1,4,5,5,1,5-1,1-5,1-5,2-5,1-2,5-1-2,1-2-5,9.1,2.4,1.0,16.6,5.5,1.5,2.3,1.1,48.5,2.6,7,2,2,5,1,19,1,まくり,1,びわこヴィーナス!第2回酒処京都新京極スタンド杯,6,琵琶湖,一般,1800,10:36,4900,3994,4940,3355,4909,5069,中田夕貴,茶谷桜,白石有美,橋谷田佳,薮内瑞希,山崎小葉,埼玉,滋賀,東京,東京,岡山,群馬,B1,A2,B2,B1,B1,B1,28,42,22,52,25,20,48,46,56,42,44,44,5.53,4.73,1.74,3.7,4.54,2.31,36.59,25.0,0.0,1.85,19.67,4.76,3.07,5.61,1.08,4.72,5.0,1.64,13.33,36.36,0.0,20.0,16.67,0.0,24,17,57,32,61,46,26.59,31.25,44.4,27.84,32.19,35.48,17,28,25,13,51,55,42.42,35.42,31.41,31.32,32.98,33.33,2021-5-4,6.72,6.84,6.82,6.83,6.78,6.78,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,0.03,0.07,0.05,0.11,0.08,-0.04,1,2,3,4,5,6,晴,22.0,15,3.0,17.0,3.0
1,2021-05-04,11,2,1,2,3,4,5,6,0.25,0.24,0.27,0.25,0.17,0.14,110.7,,113.3,111.7,114.0,,1,5,3,2,4,6,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.2,1.2,3.4,11.2,6.5,2.5,2.5,5.1,42.2,15.0,4,2,3,4,8,16,6,逃げ,1,びわこヴィーナス!第2回酒処京都新京極スタンド杯,6,琵琶湖,一般,1800,11:04,4569,3801,4738,4882,4791,5173,中澤宏奈,五反田忍,清埜翔子,瀧川千依,黒澤めぐ,谷口佳蓮,東京,大阪,埼玉,広島,東京,香川,B1,A2,B1,B1,B1,B2,33,47,29,25,31,19,46,50,48,47,49,46,4.82,5.49,4.8,4.47,5.01,1.34,24.56,39.29,28.57,28.92,25.88,0.0,4.32,4.77,2.06,4.25,0.0,0.0,20.59,28.21,0.0,6.25,0.0,0.0,41,67,43,26,22,16,35.06,37.23,35.8,41.39,34.36,32.74,15,26,56,23,58,34,36.95,34.0,35.68,30.34,32.34,36.79,2021-5-4,6.75,6.72,6.82,6.83,6.91,6.79,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.11,0.08,0.06,0.04,-0.23,-0.13,1,2,3,4,5,6,晴,16.0,7,2.0,18.0,2.0
2,2021-05-04,11,3,1,2,3,4,6,5,0.11,0.11,0.18,0.1,0.08,0.07,110.4,112.2,,115.0,,113.8,1,2,6,4,5,3,1,1,2,1-2,1-2,1-2,1-6,2-6,1-2-6,1-2-6,1.6,1.0,1.2,3.7,2.9,1.6,3.9,4.7,23.7,13.0,2,2,2,6,7,8,5,逃げ,0,びわこヴィーナス!第2回酒処京都新京極スタンド杯,6,琵琶湖,一般,1800,11:34,4730,4519,5030,4589,5171,5144,土屋実沙,清水沙樹,金子千穂,塩崎桐加,清水未唯,中尾彩香,静岡,東京,群馬,三重,滋賀,福岡,A2,B1,B1,A1,B2,B2,32,34,23,29,20,19,45,49,45,50,47,48,5.66,5.26,1.94,6.21,1.47,1.27,39.68,35.29,3.88,42.48,0.0,0.0,6.3,0.0,1.5,6.75,0.78,0.0,50.0,0.0,0.0,52.17,0.0,0.0,25,55,12,56,28,13,30.4,35.87,31.85,29.15,27.62,34.4,57,53,54,35,39,63,41.38,29.84,36.92,29.94,38.73,31.11,2021-5-4,6.85,6.83,6.84,6.89,6.87,6.82,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.11,0.11,0.16,-0.04,-0.06,-0.11,1,2,3,4,6,5,晴,17.0,7,3.0,18.0,3.0
3,2021-05-04,11,4,1,2,3,4,5,6,0.09,0.07,0.06,0.04,0.05,0.13,109.5,111.6,113.5,114.1,,,1,2,3,4,5,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.3,1.0,2.4,4.0,3.0,1.3,1.2,1.6,7.2,2.1,2,2,2,1,3,2,1,逃げ,1,びわこヴィーナス!第2回酒処京都新京極スタンド杯,6,琵琶湖,一般,1800,12:04,4313,5088,4853,5078,5129,4536,西村美智,高憧四季,前原哉,山川波乙,山口真喜,喜井つか,香川,大阪,岡山,三重,長崎,岡山,A2,B1,B1,B1,B2,B2,37,21,26,23,24,31,49,46,47,46,50,46,6.24,4.32,3.98,2.51,2.34,0.0,42.86,25.44,16.06,4.48,5.21,0.0,5.68,3.08,2.5,1.25,2.11,5.55,36.84,19.23,12.5,0.0,0.0,36.36,30,21,27,29,31,59,43.18,40.09,32.75,38.34,36.02,38.49,44,62,60,45,68,64,42.11,35.53,32.85,42.33,40.0,36.76,2021-5-4,6.86,6.9,6.74,6.87,6.93,6.9,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.16,0.09,-0.03,0.0,0.12,0.11,1,2,3,4,5,6,晴,17.0,7,2.0,18.0,3.0
4,2021-05-04,11,5,1,2,3,4,6,5,0.26,0.33,0.19,0.25,0.14,0.11,108.7,114.6,111.4,,,114.6,1,3,2,6,5,4,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,1.0,1.2,2.3,1.9,1.6,1.1,1.5,2.2,3.1,1.9,1,1,1,2,5,1,1,逃げ,0,びわこヴィーナス!第2回酒処京都新京極スタンド杯,6,琵琶湖,一般,1800,12:34,4482,3355,4819,4940,5163,5140,守屋美穂,橋谷田佳,蜂須瑞生,白石有美,清水愛海,吉田彩乃,岡山,東京,群馬,東京,山口,静岡,A1,B1,B1,B2,B2,B2,32,52,29,22,21,20,45,42,45,56,47,53,6.94,3.7,5.33,1.74,2.14,1.48,50.74,1.85,34.91,0.0,2.86,2.38,6.78,4.72,4.27,1.08,0.0,0.0,51.22,20.0,20.0,0.0,0.0,0.0,18,32,64,57,14,66,39.75,27.84,25.81,44.4,33.77,40.25,19,13,30,25,73,27,37.2,31.32,39.51,31.41,38.0,34.15,2021-5-4,6.71,6.8,6.81,6.96,6.82,6.91,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.13,0.25,0.29,0.43,-0.06,0.03,1,2,3,4,6,5,晴,18.0,7,3.0,18.0,3.0
5,2021-05-04,11,6,1,2,3,4,5,6,0.23,0.31,0.33,0.37,0.28,0.24,109.7,113.3,114.1,,,111.3,1,3,4,5,6,2,1,1,6,1-6,1-6,1-6,1-2,2-6,1-6-2,1-2-6,3.0,1.0,4.3,41.9,36.7,8.0,1.5,15.3,165.8,20.3,6,10,9,1,12,31,7,逃げ,1,びわこヴィーナス!第2回酒処京都新京極スタンド杯,6,琵琶湖,一般,1800,13:04,4642,3334,4338,4791,5069,5174,松尾夏海,角ひとみ,飯田佳江,黒澤めぐ,山崎小葉,川井萌,香川,広島,滋賀,東京,群馬,静岡,A2,A2,B1,B1,B1,B2,29,52,36,31,20,19,46,45,46,49,44,43,6.24,5.3,3.97,5.01,2.31,1.66,48.84,35.67,8.57,25.88,4.76,1.61,0.0,6.22,3.36,0.0,1.64,0.0,0.0,55.56,11.9,0.0,0.0,0.0,34,38,35,22,46,60,33.33,39.08,29.1,34.36,35.48,39.77,50,41,69,58,55,12,43.2,32.22,33.51,32.34,33.33,33.01,2021-5-4,6.71,6.84,6.76,6.96,6.78,6.71,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.08,0.07,0.02,0.06,0.05,-0.09,1,2,3,4,5,6,晴,19.0,7,3.0,18.0,3.0
6,2021-05-04,11,7,1,2,3,4,5,6,0.31,0.25,0.26,0.29,0.32,0.26,111.1,,111.8,113.5,115.8,,1,5,2,3,4,6,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.0,1.0,1.1,2.8,2.5,1.4,1.6,2.9,7.2,3.2,1,1,1,3,5,2,1,逃げ,1,びわこヴィーナス!第2回酒処京都新京極スタンド杯,6,琵琶湖,一般,1800,13:36,4678,4994,4909,3994,5144,5162,水野望美,山本梨菜,薮内瑞希,茶谷桜,中尾彩香,松尾怜実,愛知,佐賀,岡山,滋賀,福岡,福岡,A2,B1,B1,A2,B2,B2,32,23,25,42,19,21,45,49,44,46,48,47,5.63,4.03,4.54,4.73,1.27,1.29,36.09,15.22,19.67,25.0,0.0,0.0,6.4,3.61,5.0,5.61,0.0,0.0,40.0,11.11,16.67,36.36,0.0,0.0,58,11,61,17,13,23,29.66,26.43,32.19,31.25,34.4,41.64,18,22,51,28,63,66,34.36,33.89,32.98,35.42,31.11,31.6,2021-5-4,6.78,6.72,6.72,6.81,6.71,6.7,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,0.09,0.33,0.18,0.33,0.38,0.28,1,2,3,4,5,6,晴,22.0,11,2.0,18.0,3.0
7,2021-05-04,11,8,1,2,3,6,4,5,0.17,0.25,0.17,0.22,0.13,0.32,111.7,114.6,110.7,,113.8,,2,4,1,5,3,6,3,3,1,3-1,1-3,1-3,3-5,1-5,3-1-5,1-3-5,4.9,1.2,1.0,7.6,1.9,1.3,1.7,1.4,16.2,2.2,4,1,1,3,2,7,1,まくり,0,びわこヴィーナス!第2回酒処京都新京極スタンド杯,6,琵琶湖,一般,1800,14:10,4011,4738,4589,5171,4313,5129,堀之内紀,清埜翔子,塩崎桐加,清水未唯,西村美智,山口真喜,岡山,埼玉,三重,滋賀,香川,長崎,A2,B1,A1,B2,A2,B2,41,29,29,20,37,24,45,48,50,47,49,50,5.85,4.8,6.21,1.47,6.24,2.34,43.51,28.57,42.48,0.0,42.86,5.21,6.77,2.06,6.75,0.78,5.68,2.11,51.61,0.0,52.17,0.0,36.84,0.0,49,43,56,28,30,31,24.84,35.8,29.15,27.62,43.18,36.02,16,56,35,39,44,68,37.23,35.68,29.94,38.73,42.11,40.0,2021-5-4,6.66,6.69,6.74,6.72,6.76,6.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.03,0.05,0.21,0.35,0.01,0.11,1,2,3,6,4,5,晴,24.0,15,4.0,18.0,4.0
8,2021-05-04,11,9,1,2,3,4,5,6,0.28,0.16,0.19,0.18,0.18,0.18,,111.6,109.7,113.4,,113.9,5,2,1,3,6,4,3,3,2,3-2,2-3,2-3,3-4,2-4,3-2-4,2-3-4,4.8,2.1,1.2,24.7,10.8,3.7,3.4,4.8,73.5,13.8,9,5,6,5,9,29,7,差し,1,びわこヴィーナス!第2回酒処京都新京極スタンド杯,6,琵琶湖,ヴィーナス特,1800,14:44,4882,4525,4746,3175,4819,4519,瀧川千依,真子奈津,大豆生蒼,渡辺千草,蜂須瑞生,清水沙樹,広島,福岡,埼玉,東京,群馬,東京,B1,B1,B1,B1,B1,B1,25,32,26,57,29,34,47,47,48,47,45,49,4.47,4.41,5.39,5.39,5.33,5.26,28.92,23.62,37.23,32.14,34.91,35.29,4.25,4.6,5.96,6.92,4.27,0.0,6.25,30.0,51.85,56.0,20.0,0.0,26,53,40,19,64,55,41.39,36.14,33.74,29.3,25.81,35.87,23,29,14,20,30,53,30.34,29.73,38.34,32.52,39.51,29.84,2021-5-4,6.68,6.68,6.67,6.81,6.66,6.61,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.16,0.05,0.16,0.04,0.24,-0.01,1,2,3,4,5,6,晴,24.0,13,3.0,18.0,3.0
9,2021-05-04,11,10,1,2,3,4,5,6,0.13,0.19,0.17,0.21,0.21,0.18,110.4,,114.3,111.1,,112.8,1,6,4,2,5,3,1,1,4,1-4,1-4,1-4,1-6,4-6,1-4-6,1-4-6,1.7,1.2,2.1,11.7,7.3,3.5,4.9,10.4,55.7,21.2,5,4,5,8,14,24,9,逃げ,1,びわこヴィーナス!第2回酒処京都新京極スタンド杯,6,琵琶湖,選抜戦,1800,15:20,3334,4853,4730,4900,4569,4678,角ひとみ,前原哉,土屋実沙,中田夕貴,中澤宏奈,水野望美,広島,岡山,静岡,埼玉,東京,愛知,A2,B1,A2,B1,B1,A2,52,26,32,28,33,32,45,47,45,48,46,45,5.3,3.98,5.66,5.53,4.82,5.63,35.67,16.06,39.68,36.59,24.56,36.09,6.22,2.5,6.3,3.07,4.32,6.4,55.56,12.5,50.0,13.33,20.59,40.0,38,27,25,24,41,58,39.08,32.75,30.4,26.59,35.06,29.66,41,60,57,17,15,18,32.22,32.85,41.38,42.42,36.95,34.36,2021-5-4,6.7,6.75,6.68,6.72,6.76,6.79,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,0.01,0.14,0.09,0.07,0.02,-0.03,1,2,3,4,5,6,晴,24.0,13,3.0,17.0,4.0
