,date,place_cd,race_no,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari,title_y,day_y,place_y,race_type_y,distance_y,deadline,toban_1_y,toban_2_y,toban_3_y,toban_4_y,toban_5_y,toban_6_y,name_1_y,name_2_y,name_3_y,name_4_y,name_5_y,name_6_y,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1_y,moter_no_2_y,moter_no_3_y,moter_no_4_y,moter_no_5_y,moter_no_6_y,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1_y,boat_no_2_y,boat_no_3_y,boat_no_4_y,boat_no_5_y,boat_no_6_y,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,date_y,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,2021-05-04,21,2,1,3,4,2,5,6,0.14,0.15,0.14,0.14,0.1,0.19,107.1,112.2,,107.5,110.4,,1,4,5,2,3,6,1,1,4,1-4,1-4,1-4,1-5,4-5,1-4-5,1-4-5,3.0,1.0,1.0,3.0,1.5,1.1,2.5,1.8,7.6,2.5,2,1,1,5,4,2,1,逃げ,0,日本財団会長杯争奪戦,1,芦屋,予選,1800,09:16,3616,3722,4720,3573,4374,5031,中村真,西村秀樹,西澤日花,前本泰和,永田義紘,渡辺空依,福岡,福岡,長崎,広島,広島,福岡,A2,B1,B1,A1,B1,B1,48,50,26,49,37,23,54,52,45,51,50,53,5.08,4.25,4.9,8.49,5.04,2.93,30.89,16.92,33.33,71.0,28.57,8.99,6.09,3.83,4.45,7.68,4.41,1.88,45.71,11.11,15.0,58.0,23.53,0.0,65,51,15,50,4,5,37.44,36.53,27.91,32.39,34.56,37.68,56,11,14,27,52,41,54.55,22.22,62.5,22.22,37.5,33.33,2021-5-4,6.86,6.78,6.75,6.77,6.82,6.78,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.06,0.39,0.05,0.16,0.07,0.09,1,3,4,2,5,6,晴,20.0,15,1.0,17.0,1.0
1,2021-05-04,21,4,1,2,3,4,5,6,0.17,0.18,0.19,0.29,0.13,0.33,107.7,108.8,,,111.9,111.4,1,2,6,5,4,3,1,1,2,1-2,1-2,1-2,1-6,2-6,1-2-6,1-2-6,1.1,1.0,1.2,2.0,1.8,1.3,5.0,7.5,14.5,9.1,1,1,1,7,9,5,4,逃げ,1,日本財団会長杯争奪戦,1,芦屋,予選,1800,10:15,4468,3558,3501,4173,4841,5073,大池佑来,山本浩次,川上昇平,岡谷健吾,高橋悠花,上原健次,東京,岡山,長崎,広島,岡山,福岡,A1,A2,B1,A2,B1,B1,34,48,51,38,29,25,52,52,55,57,46,53,6.75,5.29,4.77,5.68,4.38,3.09,46.3,30.23,25.32,39.17,17.5,7.29,0.0,4.83,5.18,6.52,2.17,2.27,0.0,16.67,32.0,45.45,0.0,0.0,30,10,56,63,7,13,29.1,34.31,36.15,33.02,27.62,46.26,44,39,17,12,68,47,22.22,11.11,11.11,44.44,11.11,44.44,2021-5-4,6.81,6.73,6.81,6.82,6.8,6.78,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.05,0.07,0.12,0.13,0.16,0.14,1,2,3,4,5,6,晴,22.0,13,2.0,17.0,2.0
2,2021-05-04,21,5,1,2,3,4,5,6,0.11,0.1,0.15,0.1,0.13,0.21,110.9,109.0,,108.0,112.7,,3,2,5,1,4,6,4,4,2,4-2,2-4,2-4,1-4,1-2,4-2-1,1-2-4,5.5,3.5,1.4,33.9,15.0,2.5,1.2,1.0,96.8,4.9,11,5,6,2,1,27,3,まくり,1,日本財団会長杯争奪戦,1,芦屋,予選,1800,10:45,4292,4535,3430,5022,3054,5148,麻生慎介,北山康介,角浜修,伊藤尚汰,北川幸典,松本怜,広島,東京,広島,福岡,広島,福岡,A2,A1,B1,B1,A2,B2,36,31,53,26,58,27,51,55,54,49,57,47,6.57,6.59,4.97,4.14,5.56,1.06,47.27,51.06,30.77,27.12,39.0,0.0,6.07,0.0,5.23,2.17,4.25,0.0,38.6,0.0,25.64,5.56,25.0,0.0,17,24,29,38,12,62,38.86,31.22,33.81,42.27,35.24,35.59,37,16,38,74,34,15,88.89,40.0,22.22,22.22,27.78,44.44,2021-5-4,6.82,6.76,6.75,6.71,6.81,6.77,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.23,0.07,0.18,0.05,-0.06,0.07,1,2,3,4,5,6,晴,23.0,5,3.0,17.0,3.0
3,2021-05-04,21,6,1,2,3,4,5,6,0.24,0.23,0.23,0.25,0.24,0.3,110.0,111.7,,,108.6,111.2,2,4,6,5,1,3,5,5,1,5-1,1-5,1-5,5-6,1-6,5-1-6,1-5-6,2.1,1.3,1.5,16.9,5.6,2.7,6.7,6.4,60.0,13.4,7,3,3,9,8,22,7,まくり差し,1,日本財団会長杯争奪戦,1,芦屋,予選,1800,11:16,3680,4051,3883,3357,4171,4111,森林太,清水敦揮,山根大樹,福島陽子,榎幸司,奥田誠,長崎,岡山,広島,岡山,長崎,広島,B1,A2,B1,B1,A1,B1,48,40,47,52,38,40,53,55,56,47,51,53,4.67,6.54,4.39,3.83,6.43,5.6,27.0,48.75,25.53,15.91,42.42,37.72,5.48,6.61,0.0,3.58,8.18,6.17,33.33,46.34,0.0,15.79,81.82,44.44,52,27,57,43,64,58,27.66,38.1,32.09,38.79,34.1,39.62,19,67,32,35,54,66,17.65,10.0,22.22,33.33,33.33,36.36,2021-5-4,6.85,6.87,6.83,6.79,6.84,6.82,-0.5,0.0,-0.5,-0.5,-0.5,0.0,0.06,-0.04,0.0,0.11,0.01,0.06,1,2,3,4,5,6,晴,23.0,1,2.0,17.0,2.0
4,2021-05-04,21,9,1,2,3,4,5,6,0.1,0.08,0.12,0.11,0.12,0.09,,110.6,,106.9,112.5,108.2,5,3,6,1,4,2,4,4,6,4-6,4-6,4-6,2-4,2-6,4-6-2,2-4-6,6.3,3.0,2.1,23.5,12.1,1.9,1.3,1.7,34.5,3.7,11,4,3,1,2,13,1,まくり差し,1,日本財団会長杯争奪戦,1,芦屋,予選特賞,1800,12:51,2958,3158,4841,3616,3430,4886,井川正人,島川光男,高橋悠花,中村真,角浜修,入海馨,長崎,広島,岡山,福岡,広島,岡山,B1,A1,B1,A2,B1,A2,63,56,29,48,53,25,52,54,46,54,54,54,2.71,5.59,4.38,5.08,4.97,7.38,2.86,38.58,17.5,30.89,30.77,60.63,3.45,6.7,2.17,6.09,5.23,7.35,7.89,45.28,0.0,45.71,25.64,69.23,23,59,7,65,29,45,33.82,34.13,27.62,37.44,33.81,33.81,46,13,68,56,38,75,33.33,50.0,11.11,54.55,22.22,33.33,2021-5-4,6.85,6.77,6.85,6.9,6.83,6.85,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.02,-0.02,-0.01,0.21,0.11,0.08,1,2,3,4,5,6,曇り,22.0,1,3.0,17.0,3.0
5,2021-05-04,21,10,1,2,3,4,5,6,0.22,0.18,0.11,0.08,0.17,0.14,107.8,109.0,,111.7,,110.4,1,2,5,4,6,3,1,1,2,1-2,1-2,1-2,1-6,2-6,1-2-6,1-2-6,1.3,1.0,5.8,9.4,4.1,3.3,6.6,18.8,99.2,37.0,5,2,3,10,15,32,11,逃げ,1,日本財団会長杯争奪戦,1,芦屋,予選特賞,1800,13:26,3663,4088,3558,4374,4051,5008,木山和幸,野田祥子,山本浩次,永田義紘,清水敦揮,羽野諒,広島,長崎,岡山,広島,岡山,福岡,A2,B1,A2,B1,A2,B1,51,40,48,37,40,24,50,47,52,50,55,52,4.98,3.72,5.29,5.04,6.54,4.08,28.91,17.65,30.23,28.57,48.75,12.99,5.31,3.16,4.83,4.41,6.61,3.09,32.31,9.68,16.67,23.53,46.34,8.28,2,49,10,4,27,53,36.67,35.29,34.31,34.56,38.1,37.16,72,65,39,52,67,18,11.11,11.11,11.11,37.5,10.0,55.56,2021-5-4,6.83,6.79,6.79,6.86,6.89,6.82,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.01,-0.02,0.04,0.09,0.11,0.09,1,2,3,4,5,6,曇り,20.0,9,2.0,17.0,2.0
6,2021-05-04,21,11,1,2,3,4,5,6,0.31,0.15,0.06,0.05,0.17,0.16,,108.6,107.6,110.2,110.5,,6,2,1,3,4,5,3,3,2,3-2,2-3,2-3,3-4,2-4,3-2-4,2-3-4,5.4,4.7,2.8,89.3,22.3,6.1,3.1,3.2,315.4,23.6,18,10,8,4,5,67,12,まくり差し,1,日本財団会長杯争奪戦,1,芦屋,予選特選,1800,14:03,3054,4619,4372,4640,3680,4173,北川幸典,伏田裕隆,原田佑実,山ノ内雅,森林太,岡谷健吾,広島,東京,大阪,福岡,長崎,広島,A2,B1,A2,A2,B1,A2,58,38,33,30,48,38,57,53,46,55,53,57,5.56,4.89,5.55,6.39,4.67,5.68,39.0,29.29,37.93,52.1,27.0,39.17,4.25,6.4,0.0,5.13,5.48,6.52,25.0,40.0,0.0,34.78,33.33,45.45,12,41,37,31,52,63,35.24,35.32,33.5,32.29,27.66,33.02,34,25,49,28,19,12,27.78,75.0,30.77,50.0,17.65,44.44,2021-5-4,6.84,6.78,6.83,6.79,6.82,6.77,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.16,0.2,0.07,0.05,0.08,0.06,1,2,3,4,5,6,曇り,20.0,9,2.0,17.0,2.0
7,2021-10-08,21,1,1,2,3,4,5,6,0.13,0.17,0.14,0.2,0.2,0.3,107.7,112.0,113.0,110.2,,,1,3,4,2,5,6,1,1,4,1-4,1-4,1-4,1-2,2-4,1-4-2,1-2-4,1.0,1.0,2.2,3.5,3.8,1.5,1.0,1.9,6.2,1.9,2,2,2,1,3,2,1,逃げ,1,住信SBIネット銀行賞,1,芦屋,予選,1800,08:50,4736,3485,3234,3627,3501,3607,高倉和士,竹村祥司,金森史吉,井上恵一,川上昇平,原田智和,福岡,大阪,香川,福岡,長崎,大阪,A1,B1,B2,B1,B1,B1,30,49,54,52,52,49,54,52,57,54,54,51,7.17,3.87,2.98,5.03,4.84,4.39,57.28,22.06,15.0,31.03,26.53,24.3,6.37,4.87,2.5,4.93,4.86,4.42,42.86,33.33,10.0,31.87,30.16,26.92,17,25,9,21,29,4,30.12,35.29,38.75,30.23,17.72,32.53,52,69,15,28,49,19,32.41,26.04,37.14,36.36,34.95,33.01,2021-10-8,6.82,6.74,6.83,6.86,6.8,6.79,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,0.12,-0.02,0.07,0.18,0.17,0.22,1,2,3,4,5,6,晴,28.0,13,3.0,26.0,3.0
8,2021-10-08,21,2,1,2,3,4,5,6,0.09,0.19,0.19,0.07,0.04,0.06,108.4,,,107.6,111.9,110.9,2,6,5,1,4,3,4,4,1,4-1,1-4,1-4,4-6,1-6,4-1-6,1-4-6,2.3,1.0,1.0,4.3,1.4,1.0,8.8,8.3,37.8,13.8,2,1,1,11,9,14,5,まくり差し,1,住信SBIネット銀行賞,1,芦屋,予選,1800,09:19,3462,4567,3553,4831,4007,3869,竹上真司,上村慎太,平池仁志,羽野直也,榮田将彦,井芹大志,岡山,山口,香川,福岡,山口,福岡,A2,B1,B1,A1,B2,B1,54,33,49,26,42,46,52,51,54,53,47,54,4.97,4.34,5.09,7.42,5.06,4.39,36.52,17.91,32.22,48.31,35.82,21.62,6.17,4.53,4.56,6.66,3.75,3.34,38.57,23.26,25.93,45.93,25.0,6.9,22,2,30,35,16,39,60.53,33.73,54.17,36.36,23.94,24.66,58,30,34,36,38,17,30.43,39.09,27.88,34.95,31.13,30.77,2021-10-8,6.75,6.71,6.72,6.77,6.74,6.77,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.09,0.09,0.03,0.01,0.03,0.09,1,2,3,4,5,6,晴,22.0,17,0.0,26.0,1.0
9,2021-10-08,21,3,1,2,3,4,5,6,0.18,0.25,0.19,0.25,0.11,0.21,108.7,112.2,111.2,,110.0,,1,4,3,6,2,5,1,1,5,1-5,1-5,1-5,1-3,3-5,1-5-3,1-3-5,1.5,1.0,1.3,5.9,2.8,1.7,1.0,1.9,7.8,1.7,2,2,3,1,4,2,1,逃げ,1,住信SBIネット銀行賞,1,芦屋,予選,1800,09:48,4033,4727,4302,3224,4593,4966,伊藤将吉,安部慎一,西野翔太,栗山繁洋,小坂宗司,田川大貴,静岡,福岡,広島,佐賀,大阪,長崎,A1,B1,A1,B1,A2,B1,43,34,38,56,40,23,52,53,52,53,52,54,6.47,3.91,6.09,5.53,6.58,4.49,45.83,18.89,42.52,36.84,47.3,27.54,7.28,3.1,6.9,5.07,7.56,4.26,61.11,10.26,56.63,32.56,61.11,22.86,23,24,51,12,5,63,22.5,40.0,32.93,25.61,36.14,25.0,55,39,16,50,41,64,33.94,23.47,53.33,26.79,32.11,24.04,2021-10-8,6.72,6.78,6.73,6.85,6.8,6.83,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.06,0.12,0.05,0.16,0.01,0.04,1,2,3,4,5,6,晴,23.0,17,0.0,26.0,1.0
