,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,公営レーシングプレス杯,5,2020-07-03,20,若松,1,一般戦,1800,4853,4368,4632,3846,3871,3668,前原哉,山口隆史,長尾京志郎,藤井理,池田紫乃,市川猛,4,28,24,57,40,39,42,37,20,24,15,23,6.96,6.94,7.01,7.06,7.0,7.01,1,2,3,4,5,6,0.11,0.15,0.07,0.09,0.13,0.12,112.8,115.9,,112.6,,114.5,2,4,5,1,6,3,4,4,1,4-1,1-4,1-4,4-6,1-6,4-1-6,1-4-6,4.7,3.0,2.2,145.9,20.7,5.9,9.5,15.0,229.7,62.0,25,9,10,12,14,70,19,まくり差し,1
1,公営レーシングプレス杯,5,2020-07-03,20,若松,2,一般戦,1800,5019,4004,3998,4635,3567,4183,柴田百恵,山本浩輔,冨成謙児,峰重力也,吉岡誠,宇野弥生,59,17,13,48,22,20,71,70,73,58,48,49,7.02,7.13,7.05,6.99,7.13,6.99,2,1,3,4,5,6,0.23,0.37,0.19,0.09,0.13,0.21,113.3,,,112.4,115.1,115.6,2,6,5,1,3,4,4,4,1,4-1,1-4,1-4,4-5,1-5,4-1-5,1-4-5,4.0,2.0,2.1,29.9,11.2,4.6,8.0,10.9,95.7,30.7,16,6,5,11,13,51,16,まくり,0
2,公営レーシングプレス杯,5,2020-07-03,20,若松,3,一般戦,1800,4890,3036,3187,4638,3527,4072,石川諒,吉本正昭,篠原俊夫,小林遼太,中嶋誠一郎,森永淳,49,31,37,6,29,27,30,67,59,17,25,69,6.98,7.01,7.17,7.0,7.08,6.94,1,2,5,6,3,4,0.18,0.18,0.17,0.19,0.13,0.11,115.5,115.0,,,113.0,111.7,4,3,5,6,2,1,6,6,5,6-5,5-6,5-6,2-6,2-5,6-5-2,2-5-6,4.0,2.0,2.3,17.9,7.0,2.9,3.1,4.4,61.3,8.9,8,2,3,4,8,24,5,まくり,0
3,公営レーシングプレス杯,5,2020-07-03,20,若松,4,一般戦,1800,4657,4471,4222,4173,4007,4193,江崎一雄,新田泰章,山口高志,岡谷健吾,榮田将彦,郷原章平,8,1,5,15,58,45,44,74,66,35,64,41,7.09,7.07,6.99,7.07,7.02,,1,2,3,4,5,.,0.03,0.11,0.09,0.12,0.09,,111.3,114.3,112.0,115.5,,,1,3,2,4,5,6,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,1.8,3.7,11.4,4.5,4.2,2.8,2.2,5.3,13.7,3.5,1,2,4,2,7,3,1,逃げ,0
4,公営レーシングプレス杯,5,2020-07-03,20,若松,5,進入固定戦隊,1800,3300,3683,4390,4257,4642,4632,川崎智幸,小羽正作,松本弓雄,古川健,松尾夏海,長尾京志郎,25,23,53,42,56,24,40,56,12,13,31,20,7.03,6.99,7.04,7.04,7.02,7.05,1,2,3,4,5,6,0.13,0.16,0.15,0.14,0.15,0.13,111.7,113.0,114.5,,115.4,,1,2,3,5,4,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.3,1.0,1.1,2.0,1.8,1.1,1.8,1.4,4.3,2.4,1,1,1,3,2,1,1,逃げ,1
5,公営レーシングプレス杯,5,2020-07-03,20,若松,6,一般戦,1800,4523,4607,4958,4214,4530,5084,中村辰也,鶴田勇雄,溝口海義也,林祐介,小野生奈,末永和也,52,35,55,60,34,10,50,28,57,36,63,26,7.07,6.98,6.98,7.08,7.0,7.02,1,2,3,4,5,6,0.2,0.18,0.14,0.15,0.12,0.15,112.5,115.9,114.0,,113.6,,1,4,3,6,2,5,1,1,5,1-5,1-5,1-5,1-3,3-5,1-5-3,1-3-5,1.4,1.1,1.3,5.0,3.8,2.1,3.5,5.2,28.4,9.1,2,2,3,6,9,11,5,逃げ,1
6,公営レーシングプレス杯,5,2020-07-03,20,若松,7,一般戦,1800,4000,4678,3567,4063,5019,3841,松本博昭,水野望美,吉岡誠,市橋卓士,柴田百恵,佐々木和伸,44,18,22,11,59,14,43,22,48,46,71,55,7.06,7.08,7.13,7.04,7.02,7.08,1,2,3,4,5,6,0.23,0.18,0.17,0.16,0.14,0.15,111.8,,115.2,113.8,115.6,,1,5,3,2,4,6,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,2.2,1.1,1.1,3.0,2.2,1.2,1.9,3.7,14.1,5.3,1,1,1,2,7,5,3,逃げ,1
7,公営レーシングプレス杯,5,2020-07-03,20,若松,8,エイトビート,1800,4531,4183,4106,4890,4004,4368,武富智亮,宇野弥生,坂井康嗣,石川諒,山本浩輔,山口隆史,50,20,19,49,17,28,16,49,34,30,70,37,7.1,7.03,7.1,7.0,7.17,7.08,1,2,3,6,4,5,0.1,0.11,0.15,0.11,0.22,0.31,112.5,115.3,113.5,,116.7,,1,3,2,5,4,6,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,1.6,1.0,1.0,2.6,2.7,1.6,1.0,1.6,6.3,2.2,2,2,3,1,2,2,1,逃げ,0
8,公営レーシングプレス杯,5,2020-07-03,20,若松,9,準優勝戦,1800,3527,4193,4638,4471,4390,3683,中嶋誠一郎,郷原章平,小林遼太,新田泰章,松本弓雄,小羽正作,29,45,6,1,53,23,25,41,17,74,12,56,7.1,,7.0,7.01,7.05,7.04,1,.,2,3,4,5,0.08,,0.09,0.11,0.17,0.22,114.5,,,111.9,113.6,115.6,3,6,5,1,2,4,4,4,5,4-5,4-5,4-5,1-4,1-5,4-5-1,1-4-5,3.0,1.9,4.3,42.4,27.9,3.6,1.2,1.4,73.0,4.6,10,6,7,1,3,19,3,まくり,0
9,公営レーシングプレス杯,5,2020-07-03,20,若松,10,準優勝戦,1800,4072,4530,4214,3300,3036,4000,森永淳,小野生奈,林祐介,川崎智幸,吉本正昭,松本博昭,27,34,60,25,31,44,69,63,36,40,67,43,6.99,7.07,7.15,7.16,7.08,7.17,1,2,3,4,5,6,0.13,0.19,0.19,0.12,0.09,0.13,114.7,119.3,,116.7,122.0,,1,3,5,2,4,6,1,1,4,1-4,1-4,1-4,1-2,2-4,1-4-2,1-2-4,1.6,1.1,1.5,3.9,5.0,1.6,1.0,2.1,8.7,2.2,2,3,2,1,3,3,1,抜き,1
10,公営レーシングプレス杯,5,2020-07-03,20,若松,11,準優勝戦,1800,4063,4531,4007,4607,4222,4523,市橋卓士,武富智亮,榮田将彦,鶴田勇雄,山口高志,中村辰也,11,50,58,35,5,52,46,16,64,28,66,50,7.09,7.15,7.09,7.08,7.02,7.25,1,2,3,4,5,6,0.12,0.13,0.11,0.16,0.18,0.15,112.7,116.1,,114.3,,116.2,1,3,6,2,5,4,1,1,4,1-4,1-4,1-4,1-2,2-4,1-4-2,1-2-4,1.6,1.0,2.7,5.0,4.2,1.7,1.4,2.3,14.9,3.6,3,3,2,1,5,6,1,逃げ,1
11,公営レーシングプレス杯,5,2020-07-03,20,若松,12,一般戦,1800,4173,3841,4657,4106,4635,4958,岡谷健吾,佐々木和伸,江崎一雄,坂井康嗣,峰重力也,溝口海義也,15,14,8,19,48,55,35,55,44,34,58,57,7.04,7.06,7.21,7.07,7.01,7.0,1,2,3,4,5,6,0.18,0.14,0.11,0.14,0.14,0.15,112.9,114.1,116.4,,117.3,,1,2,3,5,4,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.8,1.0,1.2,2.1,1.6,1.2,1.6,2.3,7.4,3.0,1,1,1,3,4,2,1,抜き,1
12,スポーツニッポン杯GW特選競走,6,2021-05-04,20,若松,1,一般戦,1800,4764,4272,5104,3537,3188,4234,小池礼乃,大場広孝,山田丈,田山和広,日高逸子,野相弘司,35,22,39,11,40,60,14,27,46,38,31,28,6.94,6.86,6.87,6.92,6.92,6.93,1,2,3,4,5,6,0.12,0.12,0.13,0.13,0.14,0.17,110.3,111.5,114.5,113.4,,,1,2,4,3,5,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,3.6,1.0,1.0,5.3,3.0,1.4,2.2,2.4,13.8,5.2,1,1,1,3,4,2,1,抜き,1
13,スポーツニッポン杯GW特選競走,6,2021-05-04,20,若松,2,一般戦,1800,4765,4204,3702,4314,4403,3561,野田部宏子,柴田大輔,貞兼淳二,青木幸太郎,木下大將,池田真治,37,42,25,36,16,59,20,47,68,21,69,54,6.89,6.9,6.89,6.98,6.95,6.94,1,2,3,4,5,6,0.09,0.16,0.16,0.11,0.11,0.18,112.1,,114.0,110.4,,115.0,2,6,3,1,5,4,4,4,1,4-1,1-4,1-4,3-4,1-3,4-1-3,1-3-4,5.0,7.6,3.2,30.2,5.5,2.6,1.9,1.8,100.2,7.3,14,3,4,2,1,40,3,まくり差し,1
