,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,ルーキーシリーズ第11戦スカパー!・JLC杯,1,2020-07-03,7,蒲郡,1,予選,1800,4814,5043,4834,5090,4877,4973,加藤裕太,中村日向,浜本裕己,生方靖亜,鈴谷一平,栗原直也,73,33,48,66,34,36,71,77,69,14,76,65,6.69,6.73,6.71,6.78,6.78,6.73,1,2,3,4,5,6,0.28,0.25,0.2,0.16,0.16,0.24,111.2,,111.6,112.1,109.8,,2,5,3,4,1,6,5,5,1,5-1,1-5,1-5,3-5,1-3,5-1-3,1-3-5,4.2,3.7,1.2,14.3,8.2,2.0,1.9,1.2,39.0,3.1,6,3,3,2,1,12,1,まくり差し,1
1,ルーキーシリーズ第11戦スカパー!・JLC杯,1,2020-07-03,7,蒲郡,2,予選,1800,4892,4999,4839,4871,5044,4842,柴田直哉,沓名貴輝,四宮与寛,菊池宏志,渡邉健,山下昂大,41,53,15,21,46,11,20,18,73,19,25,12,6.76,6.79,6.74,6.74,6.77,6.83,1,2,3,4,5,6,0.16,0.11,0.03,0.1,0.11,0.07,114.0,112.3,109.9,112.4,,,4,2,1,3,6,5,3,3,2,3-2,2-3,2-3,3-4,2-4,3-2-4,2-3-4,3.2,2.3,4.6,45.0,10.7,8.7,2.6,9.5,289.7,35.4,13,3,12,3,13,63,15,差し,1
2,ルーキーシリーズ第11戦スカパー!・JLC杯,1,2020-07-03,7,蒲郡,3,予選,1800,4902,4914,5000,4883,4812,4861,山川雄大,吉田裕平,岡本翔太郎,岡部大輝,西野雄貴,田中宏樹,55,72,45,16,50,38,60,24,30,68,26,58,6.74,6.73,6.78,6.83,6.81,6.73,1,2,3,4,5,6,0.17,0.21,0.2,0.26,0.32,0.73,110.1,111.0,,112.0,113.9,,1,2,6,3,4,5,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,4.2,1.2,1.0,6.1,2.2,1.9,3.0,2.7,22.9,6.5,2,1,1,6,5,6,3,逃げ,1
3,ルーキーシリーズ第11戦スカパー!・JLC杯,1,2020-07-03,7,蒲郡,4,予選,1800,5007,4856,4939,5082,4888,4809,近藤雄一郎,豊田健士郎,宮之原輝紀,一色凌雅,金児隆太,外崎悟,19,13,35,43,18,76,56,72,27,17,59,31,6.78,6.73,6.82,6.87,6.81,6.82,6,1,2,3,4,5,0.17,0.18,0.2,0.21,0.32,0.25,,109.5,,113.7,110.6,111.8,5,1,6,4,2,3,2,2,5,2-5,2-5,2-5,2-6,5-6,2-5-6,2-5-6,1.0,1.2,2.5,8.0,5.0,1.5,3.0,6.0,22.3,13.8,3,2,2,3,10,8,5,逃げ,0
4,ルーキーシリーズ第11戦スカパー!・JLC杯,1,2020-07-03,7,蒲郡,5,予選,1800,4811,4928,4808,4952,5098,4851,向井田佑紀,栗城匠,松尾拓,吉武真也,大江純,関浩哉,40,52,47,67,75,51,75,55,57,61,22,21,6.73,6.8,6.71,6.75,6.82,6.75,1,2,3,4,6,5,0.22,0.26,0.23,0.29,0.28,0.27,109.6,110.8,112.7,,,113.3,1,2,3,6,5,4,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.0,1.6,2.5,4.7,3.8,1.7,1.4,1.5,9.8,3.0,2,2,4,1,2,3,1,逃げ,0
5,ルーキーシリーズ第11戦スカパー!・JLC杯,1,2020-07-03,7,蒲郡,6,予選,1800,4986,4959,4886,4892,5096,4831,西山祐希,井上忠政,入海馨,柴田直哉,上原崚,羽野直也,68,17,37,41,12,70,11,15,66,20,63,74,6.73,6.71,6.79,6.73,6.76,6.74,1,4,3,2,6,5,0.33,0.04,0.14,0.14,0.14,-0.03,115.0,110.6,109.5,112.9,,,4,2,1,3,5,6,3,3,2,3-2,2-3,2-3,3-4,2-4,3-2-4,2-3-4,7.6,1.1,1.1,8.3,1.6,1.2,3.1,2.0,20.5,3.0,4,1,1,5,4,9,2,恵まれ,0
6,ルーキーシリーズ第11戦スカパー!・JLC杯,1,2020-07-03,7,蒲郡,7,予選,1800,4931,4815,5043,4816,4960,5000,木谷賢太,伏島祐介,中村日向,村松修二,黒野元基,岡本翔太郎,39,54,33,32,77,45,23,13,77,16,28,30,6.73,6.75,6.75,6.78,6.71,6.72,1,2,3,4,5,6,0.21,0.21,0.19,0.12,0.11,0.13,113.3,,112.5,111.3,108.9,,4,6,3,2,1,5,5,5,4,5-4,4-5,4-5,3-5,3-4,5-4-3,3-4-5,5.2,2.3,1.5,18.0,4.1,2.5,7.9,10.3,130.0,23.9,8,2,5,8,11,37,10,まくり差し,1
7,ルーキーシリーズ第11戦スカパー!・JLC杯,1,2020-07-03,7,蒲郡,8,予選,1800,4880,4848,4902,5044,5090,4852,澤崎雄哉,仲谷颯仁,山川雄大,渡邉健,生方靖亜,川原祐明,69,49,55,46,66,14,62,70,60,25,14,54,6.73,6.79,6.74,6.77,6.79,6.76,1,2,3,4,5,6,0.04,0.05,0.1,0.11,0.09,0.14,110.3,113.0,111.1,,,111.9,1,4,2,5,6,3,1,1,3,1-3,1-3,1-3,1-6,3-6,1-3-6,1-3-6,1.8,1.7,6.4,14.3,8.0,2.8,2.6,7.3,42.9,25.8,4,3,5,4,7,15,7,逃げ,1
8,ルーキーシリーズ第11戦スカパー!・JLC杯,1,2020-07-03,7,蒲郡,9,予選特賞,1800,4832,4883,4926,4928,4973,4888,権藤俊光,岡部大輝,吉川貴仁,栗城匠,栗原直也,金児隆太,74,16,20,52,36,18,67,68,64,55,65,59,6.76,6.81,6.81,6.81,6.81,6.81,1,2,3,4,6,5,0.16,0.15,0.15,0.12,0.2,0.19,109.1,,110.2,111.9,,112.9,1,5,2,3,6,4,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.7,1.0,1.0,2.5,2.0,1.3,2.1,1.8,5.6,3.1,1,1,1,5,4,1,1,逃げ,0
9,ルーキーシリーズ第11戦スカパー!・JLC杯,1,2020-07-03,7,蒲郡,10,予選特賞,1800,4812,4952,4983,4856,4871,4959,西野雄貴,吉武真也,前田篤哉,豊田健士郎,菊池宏志,井上忠政,50,67,71,13,21,17,26,61,29,72,19,15,6.84,6.84,6.81,6.81,6.82,6.88,1,2,3,4,5,6,0.01,0.09,0.08,0.08,0.14,0.16,108.0,,109.7,112.0,,113.6,1,6,2,3,5,4,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.0,1.5,3.2,4.2,3.2,1.5,1.2,2.0,7.3,2.1,2,2,2,1,4,2,1,逃げ,1
