,date,place_cd,race_no,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari,title_y,day_y,place_y,race_type_y,distance_y,deadline,toban_1_y,toban_2_y,toban_3_y,toban_4_y,toban_5_y,toban_6_y,name_1_y,name_2_y,name_3_y,name_4_y,name_5_y,name_6_y,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1_y,moter_no_2_y,moter_no_3_y,moter_no_4_y,moter_no_5_y,moter_no_6_y,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1_y,boat_no_2_y,boat_no_3_y,boat_no_4_y,boat_no_5_y,boat_no_6_y,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,date_y,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,2021-09-28,14,1,1,2,3,4,6,5,0.17,0.09,0.09,0.12,0.17,0.11,108.3,,109.6,112.8,,109.8,1,5,2,4,6,3,1,1,3,1-3,1-3,1-3,1-6,3-6,1-3-6,1-3-6,1.1,1.4,2.5,3.3,4.0,2.1,2.5,2.6,9.5,4.6,1,2,3,4,5,1,1,逃げ,0,第4回徳島の地ビール「あらたえエール杯」競走,4,鳴門,とるならなる,1800,08:50,4368,4333,4846,4691,5179,4315,山口隆史,村田友也,佐藤駿介,水原慎,藤本元輝,山崎昂介,福岡,徳島,山口,徳島,兵庫,長崎,A2,B2,B1,B1,B2,B1,35,37,28,38,24,37,52,65,52,50,57,53,4.51,4.75,4.04,4.33,1.23,5.56,21.93,29.17,19.47,20.37,0.0,37.5,4.64,4.38,4.33,5.11,0.0,5.17,21.43,26.61,23.81,31.14,0.0,29.17,50,18,14,72,29,67,22.22,41.76,28.7,30.21,31.58,23.19,61,32,68,53,59,26,39.0,21.33,36.19,26.0,35.58,30.34,2021-9-28,6.7,6.78,6.7,6.72,6.75,6.68,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,0.13,0.07,0.09,0.2,0.14,0.17,1,2,3,4,6,5,曇り,27.0,13,4.0,24.0,4.0
1,2021-09-28,14,2,1,2,3,4,5,6,0.17,0.17,0.19,0.19,0.2,0.24,110.3,,113.2,112.0,108.7,,2,6,4,3,1,5,5,5,1,5-1,1-5,1-5,4-5,1-4,5-1-4,1-4-5,9.0,1.2,1.1,34.6,15.6,4.2,6.0,4.1,274.9,25.9,16,7,6,10,5,70,10,抜き,1,第4回徳島の地ビール「あらたえエール杯」競走,4,鳴門,どーなるなる,1800,09:19,4672,4636,3582,4382,4572,4241,守屋大地,赤池修平,吉川昭男,高山智至,渡部悟,大串重幸,岡山,徳島,滋賀,滋賀,大阪,長崎,B1,B1,A1,B1,B1,B1,35,31,48,36,33,36,52,54,54,55,55,54,3.94,4.13,6.76,4.72,5.5,5.0,13.95,25.74,55.46,21.33,39.86,31.33,2.67,4.62,6.51,5.12,5.63,4.72,6.67,31.14,43.59,23.53,38.98,27.78,58,16,20,75,64,32,30.68,29.76,29.59,25.0,25.26,25.0,33,31,67,17,50,63,19.48,31.11,18.33,36.63,37.86,35.05,2021-9-28,6.66,6.7,6.7,6.79,6.73,6.65,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.24,0.13,-0.03,0.05,0.03,-0.08,1,2,3,4,5,6,曇り,24.0,13,2.0,24.0,2.0
2,2021-09-28,14,3,1,2,3,4,5,6,0.13,0.2,0.13,0.17,0.21,0.14,108.3,,109.7,111.5,,111.9,1,6,2,3,5,4,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.2,1.5,1.9,2.4,1.8,1.3,1.3,2.8,8.3,4.2,1,1,2,1,5,2,2,逃げ,1,第4回徳島の地ビール「あらたえエール杯」競走,4,鳴門,どきどきなる,1800,09:48,3350,3879,4839,3832,3855,4540,藤本佳史,中村格,四宮与寛,下田哲也,大熊辰弥,相原利章,山口,岡山,徳島,香川,香川,東京,A2,B1,B1,B1,B1,A2,53,48,31,47,48,34,54,60,52,53,52,52,6.12,4.14,5.16,5.15,4.07,6.04,45.45,23.64,29.5,29.09,12.37,44.92,6.27,4.19,5.65,5.88,4.95,0.0,43.59,20.93,39.89,34.88,25.0,0.0,30,59,35,24,70,73,40.66,27.16,39.77,16.67,33.33,31.18,78,27,81,69,77,11,32.0,35.64,21.13,27.96,26.09,32.95,2021-9-28,6.75,6.82,6.77,6.76,6.73,6.56,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.13,1.0,0.1,-0.01,-0.14,-0.02,1,2,3,4,5,6,曇り,24.0,13,2.0,24.0,2.0
3,2021-09-28,14,4,1,2,3,4,5,6,0.08,0.12,0.15,0.13,0.13,0.12,107.6,110.7,109.2,111.3,,,1,3,2,4,6,5,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,1.7,1.0,1.5,3.9,4.4,1.7,1.0,3.6,13.5,4.7,2,3,2,1,6,6,2,逃げ,1,第4回徳島の地ビール「あらたえエール杯」競走,4,鳴門,とにかくなる,1800,10:18,4794,3951,3982,4116,3477,4958,和田拓也,石川吉鎬,福田理,川田正人,近藤稔也,溝口海義,兵庫,大阪,岡山,徳島,徳島,福岡,A2,B2,B1,B1,B1,B1,31,45,44,40,51,26,54,56,56,51,55,54,5.16,5.4,4.5,5.42,4.0,5.42,29.36,31.53,22.43,34.26,20.0,31.46,4.69,5.59,4.19,5.77,4.52,5.13,26.92,33.33,18.75,36.52,24.39,26.67,26,79,54,21,51,27,31.58,43.3,31.13,26.44,27.18,45.45,75,66,30,15,25,34,32.18,32.93,31.4,24.44,36.54,47.62,2021-9-28,6.59,6.78,6.7,6.77,6.69,6.66,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.14,0.11,0.08,0.24,0.19,0.14,1,2,3,4,5,6,曇り,25.0,13,2.0,24.0,2.0
4,2021-09-28,14,5,1,2,3,4,5,6,0.22,0.25,0.25,0.17,0.19,0.24,111.2,,112.7,109.6,108.1,,3,6,4,2,1,5,5,5,4,5-4,4-5,4-5,1-5,1-4,5-4-1,1-4-5,7.4,3.6,2.8,54.8,20.2,7.0,5.0,3.1,216.1,16.6,19,9,10,8,4,64,8,まくり差し,1,第4回徳島の地ビール「あらたえエール杯」競走,4,鳴門,一般,1800,10:48,4167,4220,4375,4846,4383,4422,片岡秀樹,深川和仁,照屋厚仁,佐藤駿介,竹田吉行,永井亮次,徳島,香川,兵庫,山口,徳島,大阪,B1,A2,A2,B1,B1,B1,39,39,37,28,36,33,57,55,52,52,51,53,4.29,5.72,5.21,4.04,5.14,4.29,21.33,41.49,32.5,19.47,30.65,22.22,4.9,4.95,5.19,4.33,5.78,5.5,29.46,24.39,31.25,23.81,35.33,37.5,12,78,65,14,28,25,30.1,36.79,31.31,28.7,34.0,31.0,55,22,14,68,80,21,26.32,17.72,29.9,36.19,36.36,39.18,2021-9-28,6.75,6.69,6.73,6.69,6.73,6.81,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.03,0.12,0.37,0.05,0.07,0.09,1,2,3,4,5,6,曇り,25.0,13,2.0,24.0,2.0
5,2021-09-28,14,6,1,2,3,4,5,6,0.08,0.13,0.11,0.17,0.12,0.16,117.9,,125.1,119.9,122.0,,1,6,4,2,3,5,1,1,4,1-4,1-4,1-4,1-5,4-5,1-4-5,1-4-5,3.3,1.2,5.4,21.0,10.1,2.3,2.1,3.6,39.3,7.8,8,6,4,3,6,16,3,逃げ,1,第4回徳島の地ビール「あらたえエール杯」競走,4,鳴門,一般,1800,11:17,4957,4691,4572,4672,4659,5179,竹之内極,水原慎,渡部悟,守屋大地,木下翔太,藤本元輝,福岡,徳島,大阪,岡山,大阪,兵庫,B1,B1,B1,B1,A1,B2,26,38,33,35,30,24,55,50,55,52,55,57,4.42,4.33,5.5,3.94,6.22,1.23,20.87,20.37,39.86,13.95,44.44,0.0,4.3,5.11,5.63,2.67,6.95,0.0,13.33,31.14,38.98,6.67,40.54,0.0,52,72,64,58,76,29,28.42,30.21,25.26,30.68,25.0,31.58,52,53,50,33,36,59,29.79,26.0,37.86,19.48,32.29,35.58,2021-9-28,6.71,6.71,6.79,6.69,6.82,6.81,-0.5,-0.5,-0.5,0.0,-0.5,0.0,0.23,0.12,0.14,0.23,0.02,0.01,1,2,3,4,5,6,曇り,25.0,13,2.0,24.0,2.0
6,2021-09-28,14,7,1,2,3,4,5,6,0.1,0.12,0.12,0.21,0.16,0.14,107.6,110.6,111.7,,,111.5,1,2,4,5,6,3,1,1,2,1-2,1-2,1-2,1-6,2-6,1-2-6,1-2-6,1.6,1.1,1.1,4.2,3.8,1.9,1.5,2.9,12.3,4.3,1,3,2,1,7,3,2,逃げ,1,第4回徳島の地ビール「あらたえエール杯」競走,4,鳴門,一般,1800,11:46,4592,3906,4241,4333,3879,4287,小林孝弘,飯山晃三,大串重幸,村田友也,中村格,今井貴士,山口,長崎,長崎,徳島,岡山,福岡,B1,B1,B1,B2,B1,A1,40,43,36,37,48,37,52,60,54,65,60,57,5.15,4.92,5.0,4.75,4.14,7.15,32.38,30.84,31.33,29.17,23.64,59.4,4.61,3.0,4.72,4.38,4.19,6.06,27.78,0.0,27.78,26.61,20.93,50.0,19,69,32,18,59,71,33.68,40.0,25.0,41.76,27.16,25.88,35,13,63,32,27,18,46.15,18.52,35.05,21.33,35.64,29.35,2021-9-28,6.64,6.78,6.69,6.75,6.81,6.73,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.02,0.08,0.28,0.06,0.04,-0.01,1,2,3,4,5,6,晴,26.0,13,3.0,24.0,3.0
7,2021-09-28,14,8,1,2,3,4,5,6,0.07,0.16,0.17,0.15,0.22,0.21,109.3,112.2,110.6,112.5,,,1,3,2,4,6,5,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,2.0,1.2,3.1,4.8,3.7,2.6,2.7,7.0,30.1,8.0,2,2,2,3,15,11,3,逃げ,1,第4回徳島の地ビール「あらたえエール杯」競走,4,鳴門,一般,1800,12:18,4875,3855,3477,3982,4368,4382,大塚康雅,大熊辰弥,近藤稔也,福田理,山口隆史,高山智至,東京,香川,徳島,岡山,福岡,滋賀,B1,B1,B1,B1,A2,B1,27,48,51,44,35,36,51,52,55,56,52,55,4.58,4.07,4.0,4.5,4.51,4.72,29.17,12.37,20.0,22.43,21.93,21.33,0.0,4.95,4.52,4.19,4.64,5.12,0.0,25.0,24.39,18.75,21.43,23.53,39,70,51,54,50,75,37.37,33.33,27.18,31.13,22.22,25.0,74,77,25,30,61,17,29.07,26.09,36.54,31.4,39.0,36.63,2021-9-28,6.7,6.75,6.75,6.74,6.72,6.75,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.07,0.23,0.14,0.1,0.25,0.13,1,2,3,4,5,6,曇り,26.0,13,3.0,24.0,3.0
8,2021-09-28,14,9,1,2,3,4,5,6,0.14,0.12,0.08,0.06,0.09,0.09,110.1,,108.2,110.3,111.6,,2,5,1,3,4,6,3,3,1,3-1,1-3,1-3,3-4,1-4,3-1-4,1-3-4,4.8,1.2,1.0,12.9,3.0,1.6,2.4,1.6,30.6,3.8,4,1,1,4,2,10,1,まくり,1,第4回徳島の地ビール「あらたえエール杯」競走,4,鳴門,なるちゃん特,1800,12:52,4958,3832,4383,4839,4636,4220,溝口海義,下田哲也,竹田吉行,四宮与寛,赤池修平,深川和仁,福岡,香川,徳島,徳島,徳島,香川,B1,B1,B1,B1,B1,A2,26,47,36,31,31,39,54,53,51,52,54,55,5.42,5.15,5.14,5.16,4.13,5.72,31.46,29.09,30.65,29.5,25.74,41.49,5.13,5.88,5.78,5.65,4.62,4.95,26.67,34.88,35.33,39.89,31.14,24.39,27,24,28,35,16,78,45.45,16.67,34.0,39.77,29.76,36.79,34,69,80,81,31,22,47.62,27.96,36.36,21.13,31.11,17.72,2021-9-28,6.63,6.74,6.75,6.67,6.74,6.67,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.03,0.02,0.08,-0.01,-0.02,0.12,1,2,3,4,5,6,曇り,26.0,13,3.0,24.0,3.0
9,2021-09-28,14,10,1,3,4,2,5,6,0.14,0.25,0.27,0.21,0.28,0.26,108.0,109.5,,112.9,111.5,,1,2,5,4,3,6,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,1.2,1.3,1.3,4.6,4.2,1.8,4.6,7.6,29.4,15.2,2,2,1,8,14,10,9,逃げ,0,第4回徳島の地ビール「あらたえエール杯」競走,4,鳴門,選抜戦,1800,13:27,4540,4315,4116,3582,3951,4375,相原利章,山崎昂介,川田正人,吉川昭男,石川吉鎬,照屋厚仁,東京,長崎,徳島,滋賀,大阪,兵庫,A2,B1,B1,A1,B2,A2,34,37,40,48,45,37,52,53,51,54,56,52,6.04,5.56,5.42,6.76,5.4,5.21,44.92,37.5,34.26,55.46,31.53,32.5,0.0,5.17,5.77,6.51,5.59,5.19,0.0,29.17,36.52,43.59,33.33,31.25,73,67,21,20,79,65,31.18,23.19,26.44,29.59,43.3,31.31,11,26,15,67,66,14,32.95,30.34,24.44,18.33,32.93,29.9,2021-9-28,6.7,6.69,6.8,6.74,6.82,6.65,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.11,0.14,0.02,0.12,0.07,0.13,1,2,4,3,5,6,曇り,26.0,13,3.0,24.0,3.0
