,date,place_cd,race_no,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,2021-7-19,1,1,6.78,6.74,6.72,6.71,6.72,6.74,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.01,0.15,-0.06,0.01,0.08,0.12,1,2,3,4,5,6,晴,28.0,6,1.0,32.0,1.0
1,2021-7-19,1,2,6.71,6.7,6.76,6.8,6.81,6.73,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.16,0.01,-0.13,-0.11,0.16,1,2,3,4,5,6,晴,31.0,10,3.0,33.0,2.0
2,2021-7-19,1,3,6.7,6.78,6.8,6.76,6.8,6.83,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.05,-0.03,-0.04,0.04,-0.01,0.01,1,2,3,4,5,6,晴,31.0,6,2.0,33.0,1.0
3,2021-7-19,1,4,6.82,6.79,6.76,6.77,6.81,6.75,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.13,-0.03,0.04,0.26,0.16,0.1,1,2,3,4,5,6,晴,31.0,6,2.0,33.0,1.0
4,2021-7-19,1,5,6.69,6.82,6.84,6.81,6.81,6.85,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.14,0.13,0.28,0.03,0.05,0.06,1,2,3,4,5,6,晴,31.0,6,1.0,33.0,1.0
5,2021-7-19,1,6,6.69,6.74,6.73,6.75,6.74,6.77,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.09,0.04,-0.06,-0.04,-0.07,0.05,1,2,3,4,5,6,曇り,31.0,4,1.0,33.0,1.0
6,2021-7-19,1,7,6.81,6.81,6.75,6.85,6.81,6.79,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.08,0.08,0.04,0.21,0.08,0.28,1,2,3,4,5,6,曇り,30.0,4,2.0,32.0,1.0
7,2021-7-19,1,8,6.72,6.88,6.78,6.82,6.84,6.8,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.13,0.19,0.08,0.05,0.07,0.21,1,2,3,4,5,6,曇り,30.0,4,2.0,32.0,1.0
8,2021-7-19,1,9,6.75,6.71,6.76,6.82,6.73,6.81,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.04,0.12,0.15,0.19,0.12,0.25,1,2,3,4,5,6,晴,29.0,4,3.0,32.0,2.0
9,2021-7-19,1,10,6.76,6.81,6.77,6.78,6.77,6.74,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.04,-0.04,-0.09,0.11,-0.05,-0.04,1,2,3,4,5,6,晴,29.0,4,3.0,32.0,2.0
10,2021-7-19,1,11,6.66,6.65,6.73,6.77,6.75,6.74,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.15,0.32,0.25,0.03,-0.03,-0.01,1,2,3,4,5,6,晴,29.0,4,1.0,32.0,1.0
11,2021-7-19,1,12,6.69,6.69,6.81,6.71,6.68,6.69,-0.5,-0.5,-0.5,0.0,-0.5,0.0,0.09,-0.1,-0.13,0.05,0.03,-0.02,1,2,3,4,5,6,晴,28.0,4,2.0,32.0,1.0
12,2021-7-19,3,1,6.87,6.79,6.68,6.69,6.75,6.71,0.0,0.0,-0.5,0.5,0.5,0.0,-0.02,-0.05,-0.13,0.0,-0.12,0.1,1,2,3,4,5,6,晴,32.0,4,8.0,26.0,30.0
13,2021-7-19,3,2,6.81,6.74,6.68,6.75,6.77,6.78,0.0,0.0,0.5,0.5,0.5,0.0,0.05,0.04,0.04,0.16,0.08,0.04,1,2,3,4,5,6,晴,31.0,4,5.0,26.0,5.0
14,2021-7-19,3,3,6.83,6.87,6.79,6.79,6.79,6.79,0.5,0.0,1.0,0.5,0.5,-0.5,0.12,0.33,0.12,0.33,0.22,0.29,1,2,3,4,5,6,晴,31.0,4,3.0,26.0,5.0
15,2021-7-19,3,4,6.7,6.68,6.68,6.76,6.89,6.74,0.5,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.2,0.17,-0.03,0.02,1,2,3,4,5,6,晴,32.0,4,5.0,26.0,5.0
16,2021-7-19,3,5,6.85,6.86,6.8,6.68,6.66,6.79,1.0,-0.5,0.0,0.0,1.0,0.0,-0.07,0.17,-0.06,-0.11,0.3,0.15,1,2,3,4,5,6,晴,32.0,4,1.0,26.0,5.0
17,2021-7-19,3,6,6.78,6.7,6.8,6.65,6.78,6.83,-0.5,0.0,0.5,0.5,0.5,1.0,0.16,0.4,0.27,0.31,0.21,0.14,1,2,3,4,5,6,晴,32.0,4,3.0,26.0,5.0
18,2021-7-19,3,7,6.75,6.67,6.76,6.69,6.77,6.72,0.5,0.5,0.0,1.0,0.0,0.5,0.03,0.04,0.13,0.07,0.27,0.08,1,2,3,4,5,6,晴,32.0,4,6.0,26.0,5.0
19,2021-7-19,3,8,7.0,6.76,6.79,6.81,6.98,6.92,0.0,0.5,0.5,0.5,0.0,0.5,0.17,0.13,0.17,0.27,0.21,0.34,1,2,3,4,5,6,晴,33.0,4,6.0,26.0,5.0
20,2021-7-19,3,9,6.96,6.92,6.92,6.86,6.92,6.94,0.5,0.5,0.0,0.5,0.0,0.5,0.14,0.25,0.29,0.19,0.31,0.19,1,2,3,4,5,6,晴,33.0,4,6.0,26.0,15.0
21,2021-7-19,3,10,6.89,6.83,6.94,6.89,6.91,7.02,0.5,1.0,0.5,0.5,0.0,0.5,0.33,0.04,0.22,0.34,0.58,0.07,1,2,3,4,5,6,晴,33.0,4,5.0,26.0,15.0
22,2021-7-19,3,11,7.13,7.06,7.07,7.2,7.15,6.95,0.5,1.0,0.5,1.0,0.5,1.0,0.22,0.24,0.39,0.2,0.12,0.01,1,2,3,4,5,6,晴,32.0,4,6.0,26.0,15.0
