,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,西日本スポーツ杯,3,2021-06-16,24,大村,1,予選,1800,4705,3122,4047,5086,3974,4789,吉川勇作,高山哲也,吉永浩則,本村大,深山祐二,古賀智之,20,23,55,37,61,35,50,75,23,29,14,25,6.99,7.00,7.02,7.01,6.95,6.98,1,2,3,4,5,6,0.12,0.19,0.16,0.13,0.21,0.24,111.4,112.1,114.5,,115.2,,1,2,3,6,4,5,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.2,1.1,1.3,2.5,2.4,1.7,1.1,1.9,5.9,2.1,1,1,2,1,4,1,1,逃げ,1
1,西日本スポーツ杯,3,2021-06-16,24,大村,2,予選,1800,4176,4498,4855,5059,4027,4553,樋口喜彦,宮本夏樹,江頭賢太,冨田祥,松江秀徳,坪口竜也,11,25,30,52,18,57,40,21,20,67,68,19,7.00,7.02,7.00,7.04,6.99,7.01,1,2,3,4,5,6,0.23,0.24,0.18,0.12,0.16,0.18,112.0,110.9,114.7,,,113.2,2,1,4,6,5,3,2,2,1,2-1,1-2,1-2,2-6,1-6,2-1-6,1-2-6,4.2,1.4,1.0,7.9,2.1,1.2,4.1,1.7,23.4,4.1,4,1,1,8,2,9,2,差し,1
2,西日本スポーツ杯,3,2021-06-16,24,大村,3,予選,1800,4919,3843,4152,4890,4324,4173,吉田翔悟,上之晃弘,深水慎一郎,石川諒,海野康志郎,岡谷健吾,46,29,34,68,49,59,37,63,61,11,76,47,6.94,6.99,7.03,7.00,6.99,6.95,1,2,3,4,5,6,0.13,0.15,0.13,0.14,0.13,0.19,111.3,112.2,113.6,,114.6,,1,2,3,5,4,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.2,1.0,2.0,3.9,2.3,1.5,1.3,2.3,6.9,4.6,2,1,2,1,4,1,1,逃げ,1
3,西日本スポーツ杯,3,2021-06-16,24,大村,4,予選,1800,4257,3081,3989,5053,5067,3499,古川健,岡本慎治,熊本英一,山口広樹,山田真聖,市川哲也,62,70,45,50,48,12,33,53,44,54,69,72,6.93,6.96,6.98,7.04,6.99,7.02,1,2,4,6,5,3,0.14,0.17,0.16,0.18,0.13,0.14,110.8,112.6,,115.0,,114.3,1,2,5,4,6,3,1,1,2,1-2,1-2,1-2,1-6,2-6,1-2-6,1-2-6,3.0,1.1,1.2,4.2,3.0,1.7,1.4,1.2,7.1,2.0,2,2,3,2,1,2,1,逃げ,0
4,西日本スポーツ杯,3,2021-06-16,24,大村,5,予選,1800,4151,4210,4705,4683,4163,3921,下河誉史,松村康太,吉川勇作,向井田直弥,山崎裕司,川村正輝,22,67,20,36,15,72,71,34,50,60,15,66,6.99,7.00,7.05,6.95,6.97,7.02,1,2,3,4,5,6,0.11,0.11,0.18,0.11,0.07,0.05,109.9,113.7,,111.7,113.6,,1,4,6,2,3,5,1,1,4,1-4,1-4,1-4,1-5,4-5,1-4-5,1-4-5,1.9,1.0,1.8,6.8,5.2,2.7,1.4,3.2,16.0,7.5,3,2,4,2,5,4,3,逃げ,1
5,西日本スポーツ杯,3,2021-06-16,24,大村,6,予選,1800,5015,5036,4184,4855,5086,4448,高橋竜矢,福田翔吾,渡邊雄一郎,江頭賢太,本村大,青木玄太,71,58,63,30,37,73,49,16,70,20,29,27,6.99,6.93,6.96,6.97,7.02,6.95,1,2,3,4,5,6,0.17,0.17,0.18,0.14,0.12,0.11,112.7,114.8,110.6,,,112.6,3,4,1,5,6,2,3,3,6,3-6,3-6,3-6,1-3,1-6,3-6-1,1-3-6,3.6,3.5,1.9,18.5,11.0,2.3,1.4,1.7,33.2,4.1,7,4,5,1,3,12,2,まくり差し,1
6,西日本スポーツ杯,3,2021-06-16,24,大村,7,予選,1800,4788,3444,4137,4789,4437,5138,小池哲也,香月大介,君島秀三,古賀智之,中田元泰,村本大成,69,26,43,35,17,13,73,51,26,25,58,39,6.97,6.92,7.00,6.98,7.03,7.05,1,2,3,4,5,6,0.01,0.08,0.07,0.09,0.11,0.28,110.1,,111.6,112.8,113.4,,1,5,2,3,4,6,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.1,1.0,1.0,1.6,1.9,1.0,2.3,4.6,11.2,7.2,1,1,1,5,7,5,3,逃げ,1
7,西日本スポーツ杯,3,2021-06-16,24,大村,8,予選,1800,4162,4140,5059,4126,3122,3081,竹本太樹,梶野学志,冨田祥,吉本玲緒,高山哲也,岡本慎治,75,38,52,14,23,70,55,35,67,64,75,53,7.00,7.02,7.00,7.05,6.99,6.99,1,2,3,4,5,6,0.15,0.17,0.21,0.15,0.11,0.10,110.7,113.4,112.5,,114.1,,1,3,2,6,4,5,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,2.5,1.1,2.9,27.7,15.2,4.4,1.3,4.5,43.9,7.0,10,6,8,1,9,14,4,逃げ,1
8,西日本スポーツ杯,3,2021-06-16,24,大村,9,予選特賞,1800,4163,4603,5067,3872,4890,4760,山崎裕司,谷川将太,山田真聖,岡田憲行,石川諒,山崎郡,15,44,48,65,68,60,15,56,69,62,11,48,6.91,6.93,7.01,6.99,6.94,6.92,1,2,3,4,5,6,0.24,0.23,0.21,0.20,0.18,0.14,110.8,113.7,,,114.5,112.1,1,3,6,5,4,2,1,1,6,1-6,1-6,1-6,1-2,2-6,1-6-2,1-2-6,1.4,1.0,1.1,3.0,2.9,1.2,1.9,2.8,9.6,3.2,1,2,1,3,5,5,2,逃げ,1
9,西日本スポーツ杯,3,2021-06-16,24,大村,10,予選特賞,1800,4324,3921,5015,3025,3989,4015,海野康志郎,川村正輝,高橋竜矢,山口哲治,熊本英一,前野竜一,49,72,71,64,45,39,76,66,49,13,44,45,6.90,6.99,6.95,6.97,6.99,6.90,1,2,3,4,5,6,0.11,0.08,0.11,0.17,0.19,0.17,111.1,114.5,113.1,,,112.1,1,4,3,5,6,2,1,1,6,1-6,1-6,1-6,1-3,3-6,1-6-3,1-3-6,1.7,1.2,3.0,5.9,5.7,1.8,1.5,2.7,14.0,4.4,3,3,3,1,5,5,2,逃げ,1
