,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,スポーツ報知杯,2,2021-02-19,24,大村,1,予選,1800,15:16,5055,5008,4919,3858,5032,3926,眞鳥章太,羽野諒,吉田翔悟,織田猛,谷口知優,大古場貴,長崎,福岡,長崎,佐賀,香川,佐賀,B1,B1,B1,B1,B1,B2,25,24,30,47,23,45,52,52,52,53,52,51,4.67,3.76,4.94,3.93,3.18,2.87,23.81,13.04,32.38,14.93,12.09,4.35,3.40,2.23,4.43,4.25,2.02,3.64,14.81,0.00,24.57,21.92,2.00,10.71,22,53,70,44,40,41,35.86,33.77,39.61,28.08,24.67,19.70,21,48,51,31,25,49,36.08,41.61,30.00,26.52,39.35,40.65
1,スポーツ報知杯,2,2021-02-19,24,大村,2,予選,1800,15:37,4122,4355,4656,3164,4424,5011,安東幸治,小川広大,大崎翔,森脇徹,松尾昂明,高木圭大,福岡,福岡,兵庫,山口,福岡,長崎,B1,B1,B1,B1,A2,B1,39,37,33,60,35,23,56,57,55,52,51,52,4.70,3.84,4.85,3.33,5.97,3.26,22.22,17.72,28.33,11.11,43.85,11.25,3.70,4.13,4.11,0.00,5.79,2.50,14.81,12.50,22.22,0.00,42.42,7.14,74,26,39,51,56,71,26.03,35.92,32.70,23.31,24.44,33.12,18,32,30,65,56,66,27.92,28.19,23.19,31.16,29.01,38.41
2,スポーツ報知杯,2,2021-02-19,24,大村,3,予選,1800,15:58,4232,4996,4743,3878,3107,5142,笠雅雄,中尾智博,木村仁紀,胡本悟志,平岡重典,常住蓮,福岡,佐賀,滋賀,山口,大阪,佐賀,B1,B1,B1,B1,A2,B1,37,27,28,43,57,20,61,52,54,51,51,51,3.93,2.32,5.20,4.33,4.87,3.02,19.00,2.44,22.52,22.47,28.72,8.06,0.00,1.12,6.07,4.04,3.36,1.47,0.00,0.00,42.86,16.00,12.82,0.00,68,45,61,35,49,11,32.73,35.63,36.60,33.33,35.29,36.11,34,22,41,16,76,60,27.14,21.49,33.33,30.92,32.45,40.91
3,スポーツ報知杯,2,2021-02-19,24,大村,4,予選,1800,16:21,3370,3523,4513,3834,3963,4614,坪内実,寳田亮治,河野真也,細川明人,原田秀弥,石倉洋行,大阪,福岡,福岡,岡山,大阪,福岡,B1,B2,A2,A2,A1,B1,54,52,31,46,42,40,55,53,53,55,55,53,4.33,4.35,5.96,5.17,5.92,6.35,22.73,20.24,40.44,29.89,38.98,45.61,2.31,4.83,6.58,5.29,6.64,6.24,0.00,33.33,50.00,28.95,48.00,47.83,69,75,67,29,52,14,29.68,50.00,31.43,40.41,32.03,34.01,12,57,38,23,29,61,26.53,27.78,27.27,27.14,36.43,37.93
4,スポーツ報知杯,2,2021-02-19,24,大村,5,予選,1800,16:51,3558,4264,4469,3926,3307,4262,山本浩次,長尾章平,土山卓也,大古場貴,上瀧和則,馬場貴也,岡山,山口,福井,佐賀,佐賀,滋賀,A2,B1,A2,B2,B2,A1,47,36,34,45,52,36,54,52,55,51,52,54,5.46,5.57,6.13,2.87,5.74,7.44,35.09,35.43,45.80,4.35,48.48,51.09,5.52,6.09,6.44,3.64,0.00,7.81,37.04,36.36,44.44,10.71,0.00,37.04,15,16,13,41,48,72,33.33,20.16,41.72,19.70,35.53,42.11,27,11,47,49,59,52,35.76,29.03,29.49,40.65,38.96,29.81
5,スポーツ報知杯,2,2021-02-19,24,大村,6,予選,1800,17:22,4121,4397,3870,5032,4096,3164,富永修一,西村拓也,寺嶋雄,谷口知優,石橋道友,森脇徹,福岡,大阪,福井,香川,長崎,山口,B1,A1,B1,B1,A1,B1,39,34,45,23,39,60,52,53,52,52,53,52,4.58,7.35,4.93,3.18,6.61,3.33,25.49,57.04,30.48,12.09,50.00,11.11,6.00,6.24,4.25,2.02,7.00,0.00,55.56,35.29,12.50,2.00,55.83,0.00,18,28,17,40,34,51,49.02,26.87,32.03,24.67,26.06,23.31,50,69,70,25,58,65,25.17,26.15,35.37,39.35,33.56,31.16
6,スポーツ報知杯,2,2021-02-19,24,大村,7,予選,1800,17:53,4079,4232,4072,4919,4122,4523,出畑孝典,笠雅雄,森永淳,吉田翔悟,安東幸治,中村辰也,福岡,福岡,佐賀,長崎,福岡,長崎,A2,B1,A1,B1,B1,A1,42,37,40,30,39,32,53,61,52,52,56,52,5.84,3.93,6.22,4.94,4.70,5.80,40.91,19.00,49.00,32.38,22.22,37.29,5.58,0.00,6.65,4.43,3.70,6.04,36.36,0.00,53.16,24.57,14.81,39.86,57,68,19,70,74,31,34.81,32.73,24.82,39.61,26.03,28.24,43,34,54,51,18,20,41.94,27.14,38.16,30.00,27.92,32.91
7,スポーツ報知杯,2,2021-02-19,24,大村,8,予選,1800,18:25,4656,3557,3858,3616,5142,3523,大崎翔,太田和美,織田猛,中村真,常住蓮,寳田亮治,兵庫,大阪,佐賀,福岡,佐賀,福岡,B1,A1,B1,A2,B1,B2,33,48,47,47,20,52,55,54,53,54,51,53,4.85,6.97,3.93,5.55,3.02,4.35,28.33,44.92,14.93,35.94,8.06,20.24,4.11,6.94,4.25,6.30,1.47,4.83,22.22,50.00,21.92,56.67,0.00,33.33,39,30,44,54,11,75,32.70,38.67,28.08,26.76,36.11,50.00,39,14,31,46,60,57,33.54,24.83,26.52,32.91,40.91,27.78
8,スポーツ報知杯,2,2021-02-19,24,大村,9,予選特賞,1800,18:55,4002,3307,4336,3600,3572,3834,古結宏,上瀧和則,松田竜馬,玄馬徹,安田政彦,細川明人,兵庫,佐賀,福岡,岡山,兵庫,岡山,A1,B2,A2,B1,A1,A2,43,52,37,50,49,46,53,52,54,51,53,55,7.34,5.74,5.71,4.62,5.11,5.17,58.26,48.48,40.00,28.57,33.33,29.89,7.83,0.00,6.97,4.57,6.87,5.29,70.83,0.00,54.84,33.33,47.37,28.95,46,48,37,47,33,29,25.19,35.53,37.11,26.06,28.97,40.41,74,59,28,19,73,23,29.05,38.96,34.78,39.58,35.37,27.14
9,スポーツ報知杯,2,2021-02-19,24,大村,10,予選特賞,1800,19:28,4096,4462,4614,3107,3849,3233,石橋道友,夏山亮平,石倉洋行,平岡重典,中岡正彦,小畑実成,長崎,大阪,福岡,大阪,香川,岡山,A1,B1,B1,A2,A1,A2,39,34,40,57,43,54,53,57,53,51,53,53,6.61,5.08,6.35,4.87,6.50,5.40,50.00,32.81,45.61,28.72,50.00,32.17,7.00,4.68,6.24,3.36,6.81,5.75,55.83,27.27,47.83,12.82,53.85,36.36,34,58,14,49,65,62,26.06,47.02,34.01,35.29,28.47,36.96,58,68,61,76,24,55,33.56,38.51,37.93,32.45,24.26,27.21
