,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,第68回九州地区選手権,2,2022-02-07,22,福岡,1,予選,1800,4424,4256,4330,4773,4155,4848,松尾昂明,渡辺浩司,奈須啓太,中川りな,長野壮志郎,仲谷颯仁,46,17,68,41,27,56,142,116,163,153,171,140,6.74,6.79,6.79,6.79,6.79,6.85,1,2,3,4,5,6,0.17,0.16,0.19,0.19,0.14,0.14,108.7,111.1,113.1,113.9,109.7,111.0,1,4,5,6,2,3,1,1,5,1-5,1-5,1-5,1-6,5-6,1-5-6,1-5-6,1.2,1.5,2.6,5.7,4.6,2.4,4.7,6.5,18.3,8.4,3,3,3,6,9,8,4,逃げ,1
1,第68回九州地区選手権,2,2022-02-07,22,福岡,2,予選,1800,3574,4102,4148,3898,4351,4193,大神康司,益田啓司,枝尾賢,平田忠則,里岡右貴,郷原章平,58,30,51,72,60,55,151,132,101,155,131,150,6.83,6.80,6.80,6.76,6.76,6.75,1,2,3,4,5,6,0.08,0.06,0.06,0.09,0.07,0.13,109.4,109.9,111.2,112.7,112.9,115.9,1,2,3,4,5,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.6,1.7,2.4,5.6,3.1,2.0,1.5,3.7,16.4,4.8,2,1,3,1,7,3,1,逃げ,1
2,第68回九州地区選手権,2,2022-02-07,22,福岡,3,予選,1800,4549,5008,4174,4892,3514,4072,小林文彦,羽野諒,赤坂俊輔,柴田直哉,山一鉄也,森永淳,35,59,36,69,19,74,169,137,103,143,161,139,6.80,6.80,6.79,6.76,6.77,6.69,1,2,3,4,5,6,0.07,0.11,0.09,0.15,0.03,0.02,107.9,110.7,112.0,113.4,111.2,108.8,1,3,5,6,4,2,1,1,6,1-6,1-6,1-6,1-2,2-6,1-6-2,1-2-6,1.5,1.1,2.2,18.7,13.3,3.5,5.6,9.4,102.3,33.8,9,7,5,11,14,42,14,逃げ,1
3,第68回九州地区選手権,2,2022-02-07,22,福岡,4,予選,1800,4624,3265,4831,4402,4336,4477,高田明,今村暢孝,羽野直也,乙藤智史,松田竜馬,篠崎仁志,12,52,15,62,23,13,133,172,157,164,158,119,6.77,6.79,6.75,6.74,6.82,6.78,1,2,3,4,5,6,-0.05,-0.01,0.04,0.08,0.12,0.08,,,109.0,110.2,114.6,111.9,5,6,1,2,4,3,3,3,4,3-4,3-4,3-4,3-6,4-6,3-4-6,3-4-6,1.3,1.0,1.0,2.8,2.0,1.0,1.1,1.6,3.5,1.0,1,1,1,3,4,1,1,恵まれ,1
4,第68回九州地区選手権,2,2022-02-07,22,福岡,5,予選,1800,4189,4590,4155,4136,4296,5029,川上剛,渡邉優美,長野壮志郎,江夏満,岡崎恭裕,中亮太,37,49,27,21,34,61,110,138,171,170,149,128,6.78,6.84,6.77,6.78,6.79,6.78,1,2,3,4,5,6,0.15,0.13,0.13,0.09,0.12,0.15,111.7,115.7,108.3,111.2,110.6,113.5,4,6,1,3,2,5,3,3,5,3-5,3-5,3-5,3-4,4-5,3-5-4,3-4-5,1.7,1.2,2.6,10.1,10.4,2.6,2.2,5.0,21.6,6.0,6,6,4,3,8,7,3,まくり,1
5,第68回九州地区選手権,2,2022-02-07,22,福岡,6,予選,1800,4566,4773,3574,4932,4802,4503,塩田北斗,中川りな,大神康司,新開航,中田達也,上野真之介,42,41,58,16,28,43,121,153,151,113,135,120,6.81,6.82,6.83,6.75,6.88,6.73,1,2,3,4,5,6,0.16,0.22,0.21,0.13,0.15,0.16,109.8,114.6,113.9,111.1,110.9,107.8,2,6,5,4,3,1,6,6,1,6-1,1-6,1-6,5-6,1-5,6-1-5,1-5-6,5.5,3.5,1.8,13.8,4.5,2.0,8.1,6.0,111.0,16.1,5,3,3,11,8,44,9,まくり,1
6,第68回九州地区選手権,2,2022-02-07,22,福岡,7,予選,1800,4174,3898,5142,4424,3473,4545,赤坂俊輔,平田忠則,常住蓮,松尾昂明,石川真二,岡村慶太,36,72,44,46,29,40,103,155,152,142,136,109,6.77,6.73,6.82,6.72,6.80,6.78,1,3,4,5,2,6,0.11,0.17,0.18,0.14,0.14,0.14,108.3,108.9,112.7,110.9,112.6,111.8,1,2,6,3,5,4,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.8,1.1,1.3,3.9,3.1,1.5,1.8,2.3,10.8,3.5,1,1,1,3,4,1,1,逃げ,0
7,第68回九州地区選手権,2,2022-02-07,22,福岡,8,予選,1800,3514,4530,4848,4148,4402,4288,山一鉄也,小野生奈,仲谷颯仁,枝尾賢,乙藤智史,永田啓二,19,73,56,51,62,39,161,160,140,101,164,134,6.76,6.75,6.79,6.84,6.84,6.81,1,2,3,4,5,6,0.16,0.11,0.16,0.14,0.12,0.16,113.2,108.3,109.7,112.2,111.6,112.5,6,1,2,4,3,5,2,2,3,2-3,2-3,2-3,2-5,3-5,2-3-5,2-3-5,3.6,1.6,2.2,19.8,10.9,3.2,3.6,7.9,80.9,25.5,7,4,4,5,12,29,10,まくり,1
8,第68回九州地区選手権,2,2022-02-07,22,福岡,9,予選,1800,4102,4296,4549,4624,3944,4330,益田啓司,岡崎恭裕,小林文彦,高田明,山口裕二,奈須啓太,30,34,35,12,75,68,132,149,169,133,146,163,6.76,6.77,6.80,6.75,6.78,6.80,1,2,3,4,5,6,0.14,0.16,0.19,0.26,0.22,0.19,107.8,109.5,111.7,115.0,110.8,113.6,1,2,4,6,3,5,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,1.9,1.0,1.1,2.5,1.9,1.5,3.3,2.9,8.2,3.9,1,1,2,7,5,3,1,逃げ,1
9,第68回九州地区選手権,2,2022-02-07,22,福岡,10,予選,1800,4522,4477,4351,4189,4614,4364,古澤光紀,篠崎仁志,里岡右貴,川上剛,石倉洋行,池永太,18,13,60,37,24,14,123,119,131,110,144,173,6.79,6.75,6.76,6.78,6.78,6.75,1,2,3,4,5,6,0.16,0.19,0.19,0.18,0.16,0.14,110.6,117.8,119.3,115.2,111.6,,1,4,5,3,2,6,1,1,5,1-5,1-5,1-5,1-4,4-5,1-5-4,1-4-5,1.3,1.0,1.2,6.1,4.6,1.8,2.6,10.2,60.9,21.3,2,2,2,5,12,22,9,逃げ,1
