,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,日本モーターボート選手会会長杯,4,2021-06-03,24,大村,1,一般,1800,5084,4081,4966,4423,3866,4268,末永和也,樋口範政,田川大貴,坂口貴彦,木山誠一,和合俊介,59,36,18,12,49,55,66,34,72,35,32,21,6.94,6.96,6.97,6.97,7.00,7.02,1,2,3,4,5,6,0.06,0.05,0.07,0.11,0.12,0.07,109.2,113.8,114.4,111.3,,,1,3,4,2,6,5,1,1,4,1-4,1-4,1-4,1-2,2-4,1-4-2,1-2-4,1.0,1.5,1.5,7.7,12.2,2.4,2.5,3.6,23.2,8.7,4,3,3,5,6,8,4,逃げ,1
1,日本モーターボート選手会会長杯,4,2021-06-03,24,大村,2,一般,1800,4562,4483,3708,3445,5119,5160,阪本勇介,北野輝季,岡部貴司,加藤高史,真田翔磨,藤森陸斗,65,72,69,35,58,21,14,26,54,69,17,39,6.91,6.87,6.84,6.95,6.87,6.98,1,2,3,4,5,6,0.15,0.11,0.16,0.14,0.15,0.06,111.5,112.3,115.6,113.7,,,1,2,4,3,5,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,2.3,1.5,1.7,3.1,2.3,1.7,1.7,1.7,7.8,2.6,1,1,3,5,3,2,1,逃げ,1
2,日本モーターボート選手会会長杯,4,2021-06-03,24,大村,3,一般,1800,4958,4129,3815,4174,4470,3755,溝口海義也,宇野博之,森岡満郎,赤坂俊輔,平田健之佑,吉村和也,14,26,70,61,11,37,30,31,58,46,24,74,6.99,6.94,7.00,6.96,7.00,7.00,1,2,3,4,5,6,0.15,0.14,0.14,0.22,0.27,0.31,110.1,,114.3,113.1,111.3,,1,5,4,3,2,6,1,1,5,1-5,1-5,1-5,1-4,4-5,1-5-4,1-4-5,1.0,1.0,2.1,15.4,12.3,2.1,1.0,1.9,26.2,3.2,6,5,4,1,3,9,1,逃げ,1
3,日本モーターボート選手会会長杯,4,2021-06-03,24,大村,4,一般,1800,4259,4189,4637,5033,4260,4164,真庭明志,川上剛,中田友也,藤原孝斗,中越博紀,岩永節也,46,25,20,53,29,23,55,49,62,60,18,19,6.93,6.93,7.03,7.00,6.98,6.89,1,2,3,4,5,6,0.13,0.15,0.15,0.24,0.23,0.23,110.3,111.9,113.8,114.6,,,1,2,3,4,5,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.0,1.0,1.0,1.4,1.6,1.1,1.7,2.2,4.0,2.5,1,1,1,3,5,2,2,逃げ,1
4,日本モーターボート選手会会長杯,4,2021-06-03,24,大村,5,一般,1800,4635,4276,4139,3941,3773,4778,峰重力也,鈴木勝博,丹下健,池田浩二,津留浩一郎,堤啓輔,67,43,60,34,73,39,73,20,11,75,27,29,7.00,6.92,6.92,6.95,6.97,6.94,1,2,3,4,5,6,0.11,0.18,0.26,0.13,0.14,0.25,111.7,113.5,,110.1,,115.1,2,3,6,1,5,4,4,4,1,4-1,1-4,1-4,2-4,1-2,4-1-2,1-2-4,1.7,1.1,1.2,6.5,2.3,1.4,1.5,2.5,12.0,1.6,4,1,1,2,6,3,1,まくり差し,1
5,日本モーターボート選手会会長杯,4,2021-06-03,24,大村,6,一般,1800,3522,4069,4081,4269,3895,5119,長溝一生,山本修一,樋口範政,杉山裕也,堀本裕也,真田翔磨,38,57,36,75,64,58,15,22,34,23,52,17,6.93,6.98,6.88,6.92,6.95,6.97,1,2,3,4,5,6,0.14,0.13,0.13,0.13,0.11,0.21,109.9,114.4,112.7,110.0,,,1,4,3,2,5,6,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.1,1.0,1.0,2.9,2.8,1.5,2.5,4.0,13.1,4.5,2,2,2,4,7,4,2,逃げ,1
6,日本モーターボート選手会会長杯,4,2021-06-03,24,大村,7,一般,1800,4156,4268,4301,3755,4066,4842,浜野孝志,和合俊介,関裕也,吉村和也,東本勝利,山下昂大,22,55,30,37,48,50,68,21,12,74,63,28,6.96,7.01,7.01,6.97,7.01,7.00,1,2,3,4,5,6,0.13,0.14,0.13,0.12,0.14,0.14,112.8,,111.0,114.1,,114.0,2,6,1,4,5,3,3,3,1,3-1,1-3,1-3,3-6,1-6,3-1-6,1-3-6,3.7,1.0,1.0,6.8,1.8,1.8,5.0,4.1,30.1,6.8,2,1,2,9,8,11,4,まくり差し,1
7,日本モーターボート選手会会長杯,4,2021-06-03,24,大村,8,一般,1800,4351,3815,4358,5160,4423,5033,里岡右貴,森岡満郎,松本庸平,藤森陸斗,坂口貴彦,藤原孝斗,44,70,45,21,12,53,53,58,48,39,35,60,6.97,6.97,6.94,7.06,6.97,7.03,1,2,3,4,5,6,0.12,0.11,0.16,0.13,0.15,0.20,110.4,111.4,112.4,,112.6,,1,2,3,5,4,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.4,1.0,1.0,2.3,2.4,1.0,1.4,2.8,4.8,2.2,1,2,1,2,6,1,1,逃げ,1
8,日本モーターボート選手会会長杯,4,2021-06-03,24,大村,9,準優勝戦,1800,4174,4966,4483,4069,4139,4958,赤坂俊輔,田川大貴,北野輝季,山本修一,丹下健,溝口海義也,61,18,72,57,60,14,46,72,26,22,11,30,6.96,6.96,6.98,7.00,6.99,6.97,1,2,3,4,5,6,0.14,0.15,0.22,0.21,0.25,0.18,110.1,111.2,113.6,,114.2,,1,2,3,5,4,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.1,1.0,2.2,2.4,2.2,1.5,1.3,2.7,5.0,2.4,2,1,3,2,4,1,1,逃げ,1
9,日本モーターボート選手会会長杯,4,2021-06-03,24,大村,10,準優勝戦,1800,4269,4470,4276,4156,4129,4189,杉山裕也,平田健之佑,鈴木勝博,浜野孝志,宇野博之,川上剛,75,11,43,22,26,25,23,24,20,68,31,49,6.90,6.95,6.98,7.00,6.94,6.96,1,2,3,4,5,6,0.11,0.13,0.12,0.18,0.16,0.22,114.7,117.2,120.4,,122.8,,1,2,3,5,4,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.0,1.0,1.3,2.4,2.0,1.3,1.3,2.3,4.7,2.2,1,1,1,2,4,1,1,逃げ,1
