,target,target_pred
0,3,1
1,3,1
2,1,1
3,2,1
4,6,1
5,4,2
6,2,2
7,1,1
8,5,5
9,5,1
10,1,4
11,1,1
12,1,1
13,1,1
14,1,1
15,2,1
16,1,1
17,2,1
18,1,1
19,4,4
20,1,2
21,2,2
22,3,1
23,1,1
24,5,1
25,4,1
26,6,1
27,1,6
28,1,1
29,3,1
30,2,1
31,3,1
32,1,3
33,1,4
34,2,1
35,2,2
36,1,1
37,2,1
38,5,1
39,2,1
40,1,4
41,1,2
42,4,1
43,3,1
44,4,1
45,4,1
46,3,6
47,2,1
48,1,1
49,1,1
50,4,1
51,1,1
52,1,3
53,4,6
54,1,6
55,5,1
56,3,1
57,1,1
58,4,4
59,1,1
60,1,1
61,1,1
62,1,1
63,2,2
64,1,1
65,1,4
66,1,1
67,2,2
68,6,1
69,3,3
70,1,1
71,1,1
72,6,1
73,2,1
74,4,4
75,1,3
76,3,1
77,1,1
78,1,6
79,5,1
80,1,1
81,1,1
82,1,1
83,2,1
84,3,1
85,1,5
86,2,2
87,3,1
88,4,1
89,2,2
90,3,1
91,1,1
92,1,1
93,1,1
94,1,1
95,5,1
96,1,1
97,1,1
98,4,3
99,1,6
100,1,1
101,5,5
102,2,2
103,2,1
104,1,1
105,1,3
106,1,1
107,2,1
108,1,1
109,2,2
110,2,1
111,1,4
112,2,2
113,1,2
114,4,1
115,1,1
116,1,1
117,1,1
118,1,1
119,3,1
120,1,1
121,2,2
122,1,1
123,1,2
124,3,2
125,4,4
126,1,1
127,4,4
128,3,1
129,1,1
130,1,1
131,2,1
132,1,1
133,3,3
134,2,1
135,4,6
136,1,2
137,1,1
138,3,1
139,1,1
140,3,1
141,1,1
142,4,1
143,6,6
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,3,3
150,1,1
151,5,1
152,1,1
153,1,1
154,1,4
155,1,1
156,1,1
157,1,3
158,3,3
159,4,1
160,1,1
161,2,1
162,1,1
163,4,1
164,1,1
165,3,1
166,1,1
167,4,1
168,2,1
169,3,3
170,5,5
171,1,1
172,3,1
173,3,2
174,3,1
175,1,1
176,1,2
177,4,1
178,3,1
179,1,3
180,5,1
181,1,2
182,4,4
183,4,4
184,1,1
185,2,1
186,4,3
187,3,1
188,3,1
189,1,1
190,4,1
191,5,1
192,1,1
193,2,2
194,1,1
195,1,2
196,1,1
197,2,2
198,3,1
199,1,4
200,1,1
201,1,1
202,1,1
203,2,1
204,2,2
205,3,1
206,1,1
207,4,4
208,2,4
209,5,1
210,2,4
211,3,1
212,1,1
213,1,1
214,1,1
215,3,2
216,4,1
217,1,1
218,5,1
219,4,1
220,1,1
221,4,1
222,1,1
223,1,1
224,3,1
225,1,1
226,3,1
227,1,1
228,1,1
229,1,1
230,4,4
231,2,1
232,1,1
233,1,1
234,1,1
235,3,6
236,1,1
237,1,1
238,1,1
239,6,1
240,1,1
241,2,3
242,4,1
243,1,1
244,2,2
245,3,3
246,1,1
247,5,1
248,4,1
249,1,1
250,1,1
251,3,3
252,2,1
253,2,3
254,4,1
255,1,6
256,1,1
257,3,1
258,2,1
259,3,1
260,1,1
261,3,1
262,5,1
263,1,1
264,2,1
265,1,1
266,1,1
267,2,1
268,1,1
269,1,1
270,1,1
271,1,1
272,1,1
273,1,1
274,3,1
275,1,1
276,1,1
277,1,1
278,1,2
279,4,4
280,1,5
281,6,3
282,4,1
283,2,1
284,6,2
285,1,1
286,1,1
287,2,2
288,4,1
289,5,1
290,2,1
291,1,1
292,1,1
293,2,1
294,1,1
295,3,1
296,1,1
297,3,1
298,2,1
299,2,1
300,1,5
301,2,2
302,2,2
303,3,3
304,1,1
305,1,3
306,3,5
307,4,1
308,2,1
309,3,4
310,2,2
311,5,1
312,1,1
313,1,1
314,1,1
315,1,1
316,2,2
317,1,1
318,3,1
319,1,1
320,1,1
321,1,1
322,3,1
323,1,1
324,1,6
325,1,1
326,1,1
327,1,1
328,1,1
329,2,1
330,1,1
331,1,1
332,1,1
333,2,2
334,1,5
335,1,1
336,6,6
337,4,1
338,4,4
339,1,6
340,1,1
341,2,1
342,1,1
343,1,1
344,1,2
345,4,4
346,1,1
347,1,4
348,3,1
349,4,4
350,6,1
351,1,4
352,1,1
353,1,1
354,1,1
355,6,1
356,2,5
357,3,3
358,6,6
359,1,1
360,2,6
361,2,1
362,2,1
363,2,1
364,1,1
365,1,2
366,3,1
367,3,1
368,3,1
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,3,1
375,3,1
376,1,1
377,4,1
378,2,1
379,4,1
380,3,1
381,2,2
382,1,1
383,4,1
384,1,1
385,1,1
386,5,1
387,3,5
388,4,1
389,1,1
390,1,1
391,1,1
392,2,1
393,3,1
394,1,1
395,4,1
396,1,1
397,1,1
398,1,1
399,1,1
400,1,1
401,3,1
402,1,1
403,3,1
404,4,1
405,1,1
406,1,1
407,3,3
408,1,6
409,1,1
410,1,1
411,1,1
412,4,1
413,1,1
414,2,1
415,1,1
416,3,1
417,1,4
418,5,5
419,1,2
420,1,2
421,5,1
422,1,1
423,1,1
424,1,1
425,2,2
426,3,1
427,1,1
428,1,4
429,5,1
430,2,2
431,1,1
432,1,4
433,1,2
434,2,1
435,3,3
436,1,4
437,4,4
438,1,1
439,3,1
440,1,1
441,2,2
442,2,6
443,1,5
444,1,1
445,3,2
446,6,6
447,1,1
448,1,1
449,2,1
450,1,1
451,1,1
452,4,1
453,1,1
454,1,4
455,2,1
456,1,5
457,1,6
458,3,1
459,1,1
460,1,1
461,3,1
462,1,1
463,2,1
464,2,3
465,2,2
466,1,1
467,3,3
468,6,6
469,1,1
470,4,2
471,4,5
472,1,1
473,1,1
474,1,1
475,2,3
476,1,1
477,6,1
478,3,1
479,1,1
480,1,1
481,1,1
482,3,4
483,1,1
484,1,1
485,1,1
486,3,4
487,1,1
488,4,1
489,4,4
490,1,6
491,3,2
492,2,2
493,1,6
494,2,1
495,2,1
496,1,1
497,4,1
498,4,4
499,6,6
500,4,4
501,1,2
502,2,1
503,2,2
504,3,1
505,1,1
506,4,3
507,1,1
508,6,1
509,1,1
510,4,2
511,3,4
512,2,2
513,2,2
514,4,2
515,4,1
516,6,1
517,1,1
518,1,1
519,1,1
520,2,1
521,3,1
522,1,1
523,1,1
524,1,1
525,1,5
526,1,1
527,2,1
528,1,1
529,2,2
530,1,1
531,1,1
532,4,1
533,1,1
534,1,1
535,1,1
536,1,1
537,1,1
538,1,1
539,2,3
540,1,1
541,4,1
542,3,2
543,6,1
544,1,3
545,1,1
546,1,1
547,2,1
548,1,3
549,5,1
550,1,1
551,2,2
552,1,1
553,3,1
554,1,1
555,1,1
556,1,1
557,1,1
558,4,1
559,3,1
560,3,1
561,1,1
562,2,6
563,1,1
564,1,1
565,2,3
566,1,1
567,1,1
568,1,1
569,1,1
570,3,1
571,1,1
572,3,3
573,1,1
574,1,2
575,4,4
576,1,3
577,3,1
578,2,2
579,4,1
580,1,1
581,4,4
582,1,1
583,1,2
584,1,1
585,3,2
586,1,1
587,1,1
588,1,1
589,3,1
590,1,1
591,1,1
592,1,1
593,4,1
594,2,1
595,3,5
596,2,1
597,3,3
598,1,6
599,2,2
600,1,1
601,1,1
602,1,1
603,1,1
604,5,1
605,2,1
606,2,1
607,2,2
608,1,2
609,1,4
610,1,1
611,1,4
612,3,3
613,1,1
614,1,1
615,1,1
616,1,1
617,1,1
618,1,4
619,1,3
620,1,1
621,1,6
622,1,1
623,2,1
624,1,1
625,1,1
626,2,1
627,1,1
628,1,1
629,1,1
630,2,1
631,2,2
632,2,1
633,6,6
634,3,1
635,1,1
636,1,1
637,2,2
638,4,6
639,1,1
640,1,1
641,4,3
642,2,2
643,3,3
644,6,1
645,4,2
646,1,1
647,4,1
648,2,2
649,5,1
650,4,4
651,2,4
652,2,5
653,2,1
654,1,1
655,4,4
656,1,1
657,2,1
658,1,1
659,1,1
660,3,1
661,2,4
662,2,3
663,3,5
664,1,1
665,6,3
666,1,1
667,1,1
668,1,1
669,2,2
670,1,1
671,2,1
672,1,1
673,1,1
674,1,1
675,1,5
676,1,1
677,1,1
678,1,1
679,1,1
680,1,1
681,4,4
682,1,1
683,1,1
684,1,1
685,1,1
686,3,1
687,1,1
688,2,5
689,2,2
690,2,3
691,1,4
692,2,3
693,2,2
694,3,1
695,1,1
696,1,1
697,2,1
698,1,1
699,2,1
700,2,1
701,1,1
702,1,1
703,1,1
704,1,1
705,1,1
706,1,3
707,1,1
708,1,5
709,1,1
710,1,1
711,1,1
712,4,1
713,1,1
714,1,1
715,1,1
716,4,5
717,1,1
718,3,1
719,1,1
720,1,1
721,4,1
722,4,1
723,4,1
724,1,1
725,2,1
726,1,1
727,1,1
728,1,1
729,1,2
730,6,6
731,1,2
732,6,1
733,4,4
734,6,6
735,1,1
736,4,1
737,1,1
738,3,1
739,1,1
740,1,1
741,1,3
742,1,1
743,1,5
744,2,4
745,2,2
746,4,1
747,3,1
748,1,1
749,4,1
750,1,2
751,1,1
752,5,5
753,2,2
754,6,1
755,5,1
756,1,1
757,2,4
758,1,4
759,1,1
760,1,1
761,5,5
762,4,4
